Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
406;onetwothreesushi.com;0;0;1824301;118;20;0;0;0;20210615
428;onetwothreesushi.com;0;0;1761143;117;27;0;0;0;20210515
429;onetwothreesushi.com;0;0;1738184;108;11;0;0;0;20210415
513;onetwothreesushi.com;0;0;1533908;114;7;0;0;0;20210315
505;onetwothreesushi.com;0;0;1560146;114;8;0;0;0;20210215
558;onetwothreesushi.com;0;0;1461081;131;43;0;0;0;20210115
548;onetwothreesushi.com;0;0;1462330;125;370;0;0;0;20201215
580;onetwothreesushi.com;0;0;1396798;120;21;0;0;0;20201115
634;onetwothreesushi.com;0;0;1307637;127;422;0;0;0;20201015
465;onetwothreesushi.com;0;0;1577722;124;28;0;0;0;20200915
687;onetwothreesushi.com;0;0;1210377;126;5;0;0;0;20200815
902;onetwothreesushi.com;0;0;985166;261;51;0;0;0;20200715
1053;onetwothreesushi.com;0;0;881763;361;498;0;0;0;20200615
944;onetwothreesushi.com;0;0;941640;361;10;0;0;0;20200515
1057;onetwothreesushi.com;0;0;856237;368;23;0;0;0;20200415
1139;onetwothreesushi.com;0;0;814101;433;52;0;0;0;20200315
1097;onetwothreesushi.com;0;0;822457;386;67;0;0;0;20200215
1105;onetwothreesushi.com;0;0;811964;408;103;0;0;0;20200115
1087;onetwothreesushi.com;0;0;814245;381;198;0;0;0;20191215
1208;onetwothreesushi.com;0;0;720865;371;880;0;0;0;20191115
1224;onetwothreesushi.com;0;0;700074;344;849;0;0;0;20191015
1076;onetwothreesushi.com;0;0;753854;328;666;0;0;0;20190915
1177;onetwothreesushi.com;0;0;705916;373;692;0;0;0;20190815
1090;onetwothreesushi.com;0;0;757891;352;664;0;0;0;20190715
1002;onetwothreesushi.com;0;0;798324;307;677;0;0;0;20190615
1426;onetwothreesushi.com;0;0;550244;338;36;0;0;0;20190515
1680;onetwothreesushi.com;0;0;488789;388;67;0;0;0;20190415
1997;onetwothreesushi.com;0;0;437573;332;114;0;0;0;20190315
1376;onetwothreesushi.com;0;0;565349;303;90;0;0;0;20190215
1362;onetwothreesushi.com;0;0;573181;342;38;0;0;0;20190115
1406;onetwothreesushi.com;0;0;561766;407;44;0;0;0;20181215
2107;onetwothreesushi.com;0;0;421486;572;194;0;0;0;20181115
1858;onetwothreesushi.com;0;0;465427;752;137;0;0;0;20181015
2083;onetwothreesushi.com;0;0;427721;731;198;0;0;0;20180915
1544;onetwothreesushi.com;0;0;539372;732;83;0;0;0;20180815
1636;onetwothreesushi.com;0;0;523813;907;115;0;0;0;20180715
1707;onetwothreesushi.com;0;0;504783;866;119;0;0;0;20180615
1594;onetwothreesushi.com;0;0;528552;896;107;0;0;0;20180515
1952;onetwothreesushi.com;0;0;453016;1051;168;0;0;0;20180415
1791;onetwothreesushi.com;0;0;485502;1067;163;0;0;0;20180315
1735;onetwothreesushi.com;0;0;504179;1374;93;0;0;0;20180215
1267;onetwothreesushi.com;0;0;595713;1312;1771;0;0;0;20180115
1340;onetwothreesushi.com;0;0;527567;1364;2078;0;0;0;20171215
1360;onetwothreesushi.com;0;0;520709;1416;2089;0;0;0;20171115
1257;onetwothreesushi.com;0;0;549802;1433;1772;0;0;0;20171015
1295;onetwothreesushi.com;0;0;541211;1707;1793;0;0;0;20170915
1757;onetwothreesushi.com;0;0;444089;1790;2065;0;0;0;20170815
