Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
35;airesdejaen.com;0;0;6712568;52;0;0;0;0;20210615
31;airesdejaen.com;0;0;7177713;60;0;0;0;0;20210515
37;airesdejaen.com;0;0;6459813;55;0;0;0;0;20210415
30;airesdejaen.com;0;0;7108219;52;0;0;0;0;20210315
34;airesdejaen.com;0;0;6721388;55;0;0;0;0;20210215
54;airesdejaen.com;0;0;5429453;61;0;0;0;0;20210115
28;airesdejaen.com;0;0;7288565;49;0;0;0;0;20201215
26;airesdejaen.com;0;0;7570683;60;0;0;0;0;20201115
31;airesdejaen.com;0;0;7099141;55;0;0;0;0;20201015
25;airesdejaen.com;0;0;7589624;53;0;0;0;0;20200915
28;airesdejaen.com;0;0;7243309;59;0;0;0;0;20200815
25;airesdejaen.com;0;0;7485641;34;0;0;0;0;20200715
6;airesdejaen.com;0;0;11083040;19;0;0;0;0;20200615
6;airesdejaen.com;0;0;10839919;7;0;0;0;0;20200515
6;airesdejaen.com;0;0;10822841;8;0;0;0;0;20200415
0;airesdejaen.com;0;0;62233571;7;0;0;0;0;20200315
29;airesdejaen.com;0;0;6750692;17;0;0;0;0;20200215
29;airesdejaen.com;0;0;6733337;23;0;0;0;0;20200115
29;airesdejaen.com;0;0;6655202;23;0;0;0;0;20191215
0;airesdejaen.com;0;0;33670163;16;0;0;0;0;20191115
0;airesdejaen.com;0;0;36850710;12;0;0;0;0;20191015
0;airesdejaen.com;0;0;25513734;10;0;0;0;0;20190915
0;airesdejaen.com;0;0;36843462;9;0;0;0;0;20190815
0;airesdejaen.com;0;0;55427668;8;0;0;0;0;20190715
0;airesdejaen.com;0;0;45121119;8;0;0;0;0;20190615
14;airesdejaen.com;0;0;6684746;4;0;0;0;0;20190515
14;airesdejaen.com;0;0;6569444;4;0;0;0;0;20190415
14;airesdejaen.com;0;0;6515113;5;0;0;0;0;20190315
15;airesdejaen.com;0;0;6568763;16;1;0;0;0;20190215
20;airesdejaen.com;0;0;5878722;24;3;0;0;0;20190115
14;airesdejaen.com;0;0;6801357;17;0;0;0;0;20181215
15;airesdejaen.com;0;0;6569079;13;1;0;0;0;20181115
14;airesdejaen.com;0;0;6949600;11;0;0;0;0;20181015
14;airesdejaen.com;0;0;7019390;14;0;0;0;0;20180915
14;airesdejaen.com;0;0;6940678;12;0;0;0;0;20180815
14;airesdejaen.com;0;0;7170589;9;0;0;0;0;20180715
2;airesdejaen.com;0;0;12500939;11;0;0;0;0;20180615
2;airesdejaen.com;0;0;12501899;10;0;0;0;0;20180515
3;airesdejaen.com;0;0;11516198;16;0;0;0;0;20180415
3;airesdejaen.com;0;0;10951961;15;0;0;0;0;20180315
3;airesdejaen.com;0;0;10355957;25;0;0;0;0;20180215
1;airesdejaen.com;0;0;13528731;15;0;0;0;0;20180115
0;airesdejaen.com;0;0;41825862;10;0;0;0;0;20171215
0;airesdejaen.com;0;0;30857367;10;0;0;0;0;20171115
0;airesdejaen.com;0;0;46890829;10;0;0;0;0;20171015
0;airesdejaen.com;0;0;16959039;11;0;0;0;0;20170915
0;airesdejaen.com;0;0;20878816;12;0;0;0;0;20170815
1;airesdejaen.com;0;0;11660591;13;0;0;0;0;20170715
0;airesdejaen.com;0;0;15830757;9;0;0;0;0;20170615
0;airesdejaen.com;0;0;37317542;9;0;0;0;0;20170515
0;airesdejaen.com;0;0;42276554;9;0;0;0;0;20170415
1;airesdejaen.com;0;0;12178311;8;0;0;0;0;20170315
0;airesdejaen.com;0;0;56373562;8;0;0;0;0;20170215
0;airesdejaen.com;0;0;14569490;12;0;0;0;0;20170115
0;airesdejaen.com;0;0;45285676;6;0;0;0;0;20161215
0;airesdejaen.com;0;0;37307499;5;0;0;0;0;20161115
0;airesdejaen.com;0;0;34873717;4;0;0;0;0;20161015
0;airesdejaen.com;0;0;28896377;5;0;0;0;0;20160915
0;airesdejaen.com;0;0;16315153;6;0;0;0;0;20160815
0;airesdejaen.com;0;0;42266406;5;0;0;0;0;20160715
0;airesdejaen.com;0;0;38208017;3;0;0;0;0;20160615
4;airesdejaen.com;0;0;6835109;6;0;0;0;0;20160515
0;airesdejaen.com;0;0;17022351;6;0;0;0;0;20160415
0;airesdejaen.com;0;0;43522543;6;0;0;0;0;20160315
0;airesdejaen.com;0;0;21331972;4;0;0;0;0;20160215
0;airesdejaen.com;0;0;25803740;4;0;0;0;0;20160115
0;airesdejaen.com;0;0;25331414;4;0;0;0;0;20151215
0;airesdejaen.com;0;0;31673842;3;0;0;0;0;20151115
0;airesdejaen.com;0;0;22404304;3;0;0;0;0;20151015
0;airesdejaen.com;0;0;0;0;0;0;0;0;20150915
0;airesdejaen.com;0;0;0;0;0;0;0;0;20150815
0;airesdejaen.com;0;0;0;0;0;0;0;0;20150715
