Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
772317;alaninu.com;50854;247;4536;6691;1464894;247;50854;96769;20210615
771291;alaninu.com;53529;419;4572;5468;1453206;419;53529;97120;20210515
173676;alaninu.com;36630;406;16632;6242;125634;406;36630;33627;20210415
162333;alaninu.com;14283;142;17173;6322;150456;142;14283;14800;20210315
161361;alaninu.com;1818;44;17203;6854;151197;44;1818;2839;20210215
149055;alaninu.com;2579;65;18349;7417;218675;65;2579;6180;20210115
149217;alaninu.com;4489;127;18154;6601;162810;127;4489;7227;20201215
160770;alaninu.com;23409;135;16977;9811;488265;135;23409;53717;20201115
142566;alaninu.com;17661;223;18724;10616;494449;223;17661;45000;20201015
147265;alaninu.com;14506;273;17903;11900;430373;273;14506;36957;20200915
136879;alaninu.com;11288;321;19166;9492;165758;321;11288;14194;20200815
158801;alaninu.com;14613;251;16328;9827;190712;251;14613;18616;20200715
152693;alaninu.com;9253;250;16863;10399;181035;250;9253;11115;20200615
150547;alaninu.com;9175;145;17035;8198;184555;145;9175;12620;20200515
138776;alaninu.com;9764;165;18430;4976;169387;165;9764;11811;20200415
149199;alaninu.com;10842;152;17229;4375;122490;152;10842;12045;20200315
129071;alaninu.com;9751;89;19428;5378;190150;89;9751;13402;20200215
128060;alaninu.com;8296;51;19141;7037;143615;51;8296;8487;20200115
118974;alaninu.com;9425;103;20374;6148;135693;103;9425;9626;20191215
97935;alaninu.com;15544;85;23488;5464;108101;85;15544;16003;20191115
45838;alaninu.com;21352;261;43511;4788;15021;261;21352;16923;20191015
46495;alaninu.com;11127;292;42604;7684;18309;292;11127;7253;20190915
52876;alaninu.com;19237;513;38089;6350;19824;513;19237;17339;20190815
60495;alaninu.com;1151;26;34242;6211;27443;26;1151;901;20190715
59434;alaninu.com;3147;101;34668;6008;25536;101;3147;3035;20190615
14448;alaninu.com;725;9;97866;5378;13945;9;725;1017;20190515
38826;alaninu.com;206;2;44616;4484;33865;2;206;217;20190415
10718;alaninu.com;1571;13;123867;3564;13276;13;1571;2369;20190315
2646;alaninu.com;1442;8;354102;466;1248;8;1442;2066;20190215
847;alaninu.com;934;7;795347;306;637;7;934;1256;20190115
269;alaninu.com;1356;15;1634689;217;144;15;1356;1928;20181215
273;alaninu.com;799;3;1631618;207;109;3;799;1113;20181115
159;alaninu.com;1158;6;2241850;189;61;6;1158;1687;20181015
202;alaninu.com;2635;7;1984302;178;61;7;2635;2953;20180915
38;alaninu.com;909;6;4700134;201;53;6;909;1129;20180815
495;alaninu.com;1033;2;1191176;450;736;2;1033;1211;20180715
322;alaninu.com;471;7;1550843;323;236;7;471;720;20180615
305;alaninu.com;0;0;1598689;272;228;0;0;0;20180515
236;alaninu.com;0;0;1874481;62;93;0;0;0;20180415
1;alaninu.com;0;0;13361911;14;1;0;0;0;20180315
0;alaninu.com;0;0;16162428;1;0;0;0;0;20180215
0;alaninu.com;0;0;0;0;0;0;0;0;20180115
0;alaninu.com;0;0;0;0;0;0;0;0;20171215
0;alaninu.com;0;0;0;0;0;0;0;0;20171115
0;alaninu.com;0;0;0;0;0;0;0;0;20171015
0;alaninu.com;0;0;0;0;0;0;0;0;20170915
0;alaninu.com;0;0;0;0;0;0;0;0;20170815
0;alaninu.com;0;0;0;0;0;0;0;0;20170715
0;alaninu.com;0;0;0;0;0;0;0;0;20170615
0;alaninu.com;0;0;0;0;0;0;0;0;20170515
0;alaninu.com;0;0;0;0;0;0;0;0;20170415
0;alaninu.com;0;0;0;0;0;0;0;0;20170315
0;alaninu.com;0;0;0;0;0;0;0;0;20170215
0;alaninu.com;0;0;0;0;0;0;0;0;20170115
0;alaninu.com;0;0;0;0;0;0;0;0;20161215
0;alaninu.com;0;0;0;0;0;0;0;0;20161115
0;alaninu.com;0;0;0;0;0;0;0;0;20161015
0;alaninu.com;0;0;0;0;0;0;0;0;20160915
0;alaninu.com;0;0;0;0;0;0;0;0;20160815
0;alaninu.com;0;0;0;0;0;0;0;0;20160715
0;alaninu.com;0;0;0;0;0;0;0;0;20160615
0;alaninu.com;0;0;0;0;0;0;0;0;20160515
0;alaninu.com;0;0;0;0;0;0;0;0;20160415
0;alaninu.com;0;0;0;0;0;0;0;0;20160315
0;alaninu.com;0;0;0;0;0;0;0;0;20160215
0;alaninu.com;0;0;0;0;0;0;0;0;20160115
0;alaninu.com;0;0;0;0;0;0;0;0;20151215
0;alaninu.com;0;0;0;0;0;0;0;0;20151115
0;alaninu.com;0;0;0;0;0;0;0;0;20151015
0;alaninu.com;0;0;0;0;0;0;0;0;20150915
0;alaninu.com;0;0;0;0;0;0;0;0;20150815
0;alaninu.com;0;0;0;0;0;0;0;0;20150715
0;alaninu.com;0;0;0;0;0;0;0;0;20150615
0;alaninu.com;0;0;0;0;0;0;0;0;20150515
0;alaninu.com;0;0;0;0;0;0;0;0;20150415
0;alaninu.com;0;0;0;0;0;0;0;0;20150315
0;alaninu.com;0;0;0;0;0;0;0;0;20150215
0;alaninu.com;0;0;0;0;0;0;0;0;20150115
0;alaninu.com;0;0;0;0;0;0;0;0;20141215
0;alaninu.com;0;0;0;0;0;0;0;0;20141115
0;alaninu.com;0;0;0;0;0;0;0;0;20141015
0;alaninu.com;0;0;0;0;0;0;0;0;20140915
0;alaninu.com;0;0;0;0;0;0;0;0;20140815
0;alaninu.com;0;0;0;0;0;0;0;0;20140715
0;alaninu.com;0;0;0;0;0;0;0;0;20140615
0;alaninu.com;0;0;0;0;0;0;0;0;20140515
0;alaninu.com;0;0;0;0;0;0;0;0;20140415
0;alaninu.com;0;0;0;0;0;0;0;0;20140315
0;alaninu.com;0;0;0;0;0;0;0;0;20140215
0;alaninu.com;0;0;0;0;0;0;0;0;20140115
0;alaninu.com;0;0;0;0;0;0;0;0;20131215
0;alaninu.com;0;0;0;0;0;0;0;0;20131115
0;alaninu.com;0;0;0;0;0;0;0;0;20131015
0;alaninu.com;0;0;0;0;0;0;0;0;20130915
0;alaninu.com;0;0;0;0;0;0;0;0;20130815
0;alaninu.com;0;0;0;0;0;0;0;0;20130715
0;alaninu.com;0;0;0;0;0;0;0;0;20130615
0;alaninu.com;0;0;0;0;0;0;0;0;20130515
0;alaninu.com;0;0;0;0;0;0;0;0;20130415
0;alaninu.com;0;0;0;0;0;0;0;0;20130315
0;alaninu.com;0;0;0;0;0;0;0;0;20130215
0;alaninu.com;0;0;0;0;0;0;0;0;20130115
0;alaninu.com;0;0;0;0;0;0;0;0;20121215
0;alaninu.com;0;0;0;0;0;0;0;0;20121115
0;alaninu.com;0;0;0;0;0;0;0;0;20121015
0;alaninu.com;0;0;0;0;0;0;0;0;20120915
0;alaninu.com;0;0;0;0;0;0;0;0;20120815
0;alaninu.com;0;0;0;0;0;0;0;0;20120715
0;alaninu.com;0;0;0;0;0;0;0;0;20120615
0;alaninu.com;0;0;0;0;0;0;0;0;20120515
0;alaninu.com;0;0;0;0;0;0;0;0;20120415
0;alaninu.com;0;0;0;0;0;0;0;0;20120315
0;alaninu.com;0;0;0;0;0;0;0;0;20120215
0;alaninu.com;0;0;0;0;0;0;0;0;20120115
