Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1068;andrewandeverett.com;0;0;976403;819;989;0;0;0;20210615
951;andrewandeverett.com;0;0;1054409;845;679;0;0;0;20210515
959;andrewandeverett.com;0;0;1032796;848;498;0;0;0;20210415
1160;andrewandeverett.com;0;0;891141;849;1261;0;0;0;20210315
1156;andrewandeverett.com;0;0;900219;890;1165;0;0;0;20210215
1020;andrewandeverett.com;0;0;977419;865;827;0;0;0;20210115
967;andrewandeverett.com;0;0;1002800;792;1172;0;0;0;20201215
444;andrewandeverett.com;0;0;1658007;605;405;0;0;0;20201115
502;andrewandeverett.com;0;0;1522141;611;464;0;0;0;20201015
551;andrewandeverett.com;0;0;1415049;627;256;0;0;0;20200915
555;andrewandeverett.com;0;0;1393032;667;351;0;0;0;20200815
498;andrewandeverett.com;0;0;1466503;640;329;0;0;0;20200715
527;andrewandeverett.com;0;0;1408725;591;290;0;0;0;20200615
487;andrewandeverett.com;0;0;1464409;516;235;0;0;0;20200515
346;andrewandeverett.com;0;0;1785326;407;49;0;0;0;20200415
292;andrewandeverett.com;0;0;1992681;351;118;0;0;0;20200315
253;andrewandeverett.com;0;0;2136136;403;68;0;0;0;20200215
317;andrewandeverett.com;0;0;1845107;557;91;0;0;0;20200115
327;andrewandeverett.com;0;0;1792910;587;100;0;0;0;20191215
222;andrewandeverett.com;0;0;2139692;557;122;0;0;0;20191115
203;andrewandeverett.com;0;0;2209929;523;64;0;0;0;20191015
216;andrewandeverett.com;0;0;2102680;479;72;0;0;0;20190915
196;andrewandeverett.com;0;0;2234343;505;80;0;0;0;20190815
217;andrewandeverett.com;0;0;2148475;548;118;0;0;0;20190715
242;andrewandeverett.com;0;0;1984985;530;113;0;0;0;20190615
54;andrewandeverett.com;0;0;3756497;435;16;0;0;0;20190515
69;andrewandeverett.com;0;0;3338091;445;20;0;0;0;20190415
59;andrewandeverett.com;0;0;3574821;373;27;0;0;0;20190315
50;andrewandeverett.com;0;0;3958875;356;26;0;0;0;20190215
36;andrewandeverett.com;0;0;4655311;210;19;0;0;0;20190115
30;andrewandeverett.com;0;0;5011396;215;13;0;0;0;20181215
33;andrewandeverett.com;0;0;4820149;216;15;0;0;0;20181115
35;andrewandeverett.com;0;0;4810844;208;15;0;0;0;20181015
59;andrewandeverett.com;0;0;3814673;285;15;0;0;0;20180915
64;andrewandeverett.com;0;0;3677159;323;18;0;0;0;20180815
71;andrewandeverett.com;0;0;3566736;258;16;0;0;0;20180715
24;andrewandeverett.com;0;0;5818336;173;13;0;0;0;20180615
26;andrewandeverett.com;0;0;5697890;139;20;0;0;0;20180515
27;andrewandeverett.com;0;0;5715747;176;22;0;0;0;20180415
30;andrewandeverett.com;0;0;5454617;215;28;0;0;0;20180315
49;andrewandeverett.com;0;0;4152740;288;43;0;0;0;20180215
55;andrewandeverett.com;0;0;3948503;280;35;0;0;0;20180115
101;andrewandeverett.com;0;0;2646189;304;41;0;0;0;20171215
59;andrewandeverett.com;0;0;3516400;310;38;0;0;0;20171115
46;andrewandeverett.com;0;0;3952891;279;29;0;0;0;20171015
75;andrewandeverett.com;0;0;3101537;321;25;0;0;0;20170915
57;andrewandeverett.com;0;0;3588707;322;18;0;0;0;20170815
33;andrewandeverett.com;0;0;4505717;310;37;0;0;0;20170715
13;andrewandeverett.com;0;0;6286756;290;15;0;0;0;20170615
20;andrewandeverett.com;0;0;5739307;287;50;0;0;0;20170515
16;andrewandeverett.com;0;0;6225569;283;51;0;0;0;20170415
33;andrewandeverett.com;0;0;4728127;264;32;0;0;0;20170315
14;andrewandeverett.com;0;0;6556196;253;9;0;0;0;20170215
17;andrewandeverett.com;0;0;6305263;283;26;0;0;0;20170115
18;andrewandeverett.com;0;0;6044016;240;23;0;0;0;20161215
13;andrewandeverett.com;0;0;5019098;174;29;0;0;0;20161115
5;andrewandeverett.com;0;0;6338010;159;9;0;0;0;20161015
8;andrewandeverett.com;0;0;5573783;147;12;0;0;0;20160915
12;andrewandeverett.com;0;0;4848688;155;21;0;0;0;20160815
13;andrewandeverett.com;0;0;4781812;157;22;0;0;0;20160715
10;andrewandeverett.com;0;0;5289427;156;22;0;0;0;20160615
11;andrewandeverett.com;0;0;5086528;158;30;0;0;0;20160515
4;andrewandeverett.com;0;0;6847954;137;5;0;0;0;20160415
7;andrewandeverett.com;0;0;5828227;133;23;0;0;0;20160315
6;andrewandeverett.com;0;0;6084283;131;15;0;0;0;20160215
10;andrewandeverett.com;0;0;5011045;140;25;0;0;0;20160115
200;andrewandeverett.com;0;0;1395615;174;674;0;0;0;20151215
14;andrewandeverett.com;0;0;4934378;199;48;0;0;0;20151115
9;andrewandeverett.com;0;0;5566304;209;28;0;0;0;20151015
28;andrewandeverett.com;0;0;3302230;8;67;0;0;0;20150915
8;andrewandeverett.com;0;0;5058816;13;20;0;0;0;20150815
145;andrewandeverett.com;0;0;1578988;8;357;0;0;0;20150715
17;andrewandeverett.com;0;0;3966666;3;45;0;0;0;20150615
27;andrewandeverett.com;0;0;3223225;4;70;0;0;0;20150515
8;andrewandeverett.com;0;0;4705786;5;12;0;0;0;20150415
14;andrewandeverett.com;0;0;3927123;2;2;0;0;0;20150315
22;andrewandeverett.com;0;0;3400676;7;3;0;0;0;20150215
15;andrewandeverett.com;0;0;3938980;8;2;0;0;0;20150115
24;andrewandeverett.com;0;0;3305300;11;43;0;0;0;20141215
14;andrewandeverett.com;0;0;4157835;13;16;0;0;0;20141115
1;andrewandeverett.com;0;0;8284016;6;1;0;0;0;20141015
0;andrewandeverett.com;0;0;0;0;0;0;0;0;20140915
1;andrewandeverett.com;0;0;7483519;2;2;0;0;0;20140815
0;andrewandeverett.com;0;0;8432293;2;0;0;0;0;20140715
1;andrewandeverett.com;0;0;5547622;2;1;0;0;0;20140615
1;andrewandeverett.com;0;0;6081369;4;1;0;0;0;20140515
2;andrewandeverett.com;0;0;5563765;2;1;0;0;0;20140415
1;andrewandeverett.com;0;0;6334122;3;1;0;0;0;20140315
4;andrewandeverett.com;0;0;4559217;6;1;0;0;0;20140215
4;andrewandeverett.com;0;0;4631571;2;1;0;0;0;20140115
1;andrewandeverett.com;0;0;6066790;1;0;0;0;0;20131215
0;andrewandeverett.com;0;0;0;0;0;0;0;0;20131115
0;andrewandeverett.com;0;0;0;0;0;0;0;0;20131015
0;andrewandeverett.com;0;0;0;0;0;0;0;0;20130915
1;andrewandeverett.com;0;0;6087813;1;2;0;0;0;20130815
0;andrewandeverett.com;0;0;11835324;1;1;0;0;0;20130715
0;andrewandeverett.com;0;0;0;0;0;0;0;0;20130615
0;andrewandeverett.com;0;0;12881819;1;0;0;0;0;20130515
0;andrewandeverett.com;0;0;7793570;1;0;0;0;0;20130415
0;andrewandeverett.com;0;0;0;0;0;0;0;0;20130315
9;andrewandeverett.com;0;0;3663779;1;15;0;0;0;20130215
0;andrewandeverett.com;0;0;0;0;0;0;0;0;20130115
0;andrewandeverett.com;0;0;0;0;0;0;0;0;20121215
0;andrewandeverett.com;0;0;0;0;0;0;0;0;20121115
0;andrewandeverett.com;0;0;6925296;1;0;0;0;0;20121015
0;andrewandeverett.com;0;0;0;0;0;0;0;0;20120915
0;andrewandeverett.com;0;0;10122715;1;0;0;0;0;20120815
6;andrewandeverett.com;0;0;4538237;5;18;0;0;0;20120715
6;andrewandeverett.com;0;0;4527541;2;18;0;0;0;20120615
0;andrewandeverett.com;0;0;10062898;4;1;0;0;0;20120515
2;andrewandeverett.com;0;0;6947700;3;4;0;0;0;20120415
0;andrewandeverett.com;0;0;0;0;0;0;0;0;20120315
0;andrewandeverett.com;0;0;0;0;0;0;0;0;20120215
0;andrewandeverett.com;0;0;0;0;0;0;0;0;20120115
