Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
128;aquanineplus.com;0;0;3489570;221;67;0;0;0;20210615
125;aquanineplus.com;0;0;3534065;181;32;0;0;0;20210515
161;aquanineplus.com;0;0;3055242;185;173;0;0;0;20210415
145;aquanineplus.com;0;0;3197293;245;114;0;0;0;20210315
336;aquanineplus.com;0;0;2002468;218;1233;0;0;0;20210215
152;aquanineplus.com;0;0;3128098;242;106;0;0;0;20210115
187;aquanineplus.com;0;0;2768882;227;581;0;0;0;20201215
152;aquanineplus.com;0;0;3092930;205;209;0;0;0;20201115
267;aquanineplus.com;0;0;2242048;227;239;0;0;0;20201015
162;aquanineplus.com;0;0;2945346;208;6;0;0;0;20200915
177;aquanineplus.com;0;0;2781462;212;25;0;0;0;20200815
166;aquanineplus.com;0;0;2840947;155;31;0;0;0;20200715
160;aquanineplus.com;0;0;2887437;155;17;0;0;0;20200615
131;aquanineplus.com;0;0;3174768;127;21;0;0;0;20200515
128;aquanineplus.com;0;0;3171852;85;12;0;0;0;20200415
134;aquanineplus.com;0;0;3125182;131;18;0;0;0;20200315
146;aquanineplus.com;0;0;2922324;228;24;0;0;0;20200215
137;aquanineplus.com;0;0;2997124;181;77;0;0;0;20200115
114;aquanineplus.com;0;0;3301038;141;11;0;0;0;20191215
118;aquanineplus.com;0;0;3051343;209;13;0;0;0;20191115
126;aquanineplus.com;0;0;2880595;190;27;0;0;0;20191015
159;aquanineplus.com;0;0;2511120;284;33;0;0;0;20190915
128;aquanineplus.com;0;0;2840295;332;17;0;0;0;20190815
108;aquanineplus.com;0;0;3187101;172;5;0;0;0;20190715
110;aquanineplus.com;0;0;3103244;73;6;0;0;0;20190615
74;aquanineplus.com;0;0;3205309;59;45;0;0;0;20190515
62;aquanineplus.com;0;0;3519232;45;19;0;0;0;20190415
51;aquanineplus.com;0;0;3864160;39;14;0;0;0;20190315
52;aquanineplus.com;0;0;3852851;24;18;0;0;0;20190215
61;aquanineplus.com;0;0;3620178;25;17;0;0;0;20190115
64;aquanineplus.com;0;0;3530326;23;22;0;0;0;20181215
66;aquanineplus.com;0;0;3511532;60;24;0;0;0;20181115
80;aquanineplus.com;0;0;3216388;154;50;0;0;0;20181015
87;aquanineplus.com;0;0;3117829;202;54;0;0;0;20180915
113;aquanineplus.com;0;0;2746140;210;112;0;0;0;20180815
87;aquanineplus.com;0;0;3227766;165;50;0;0;0;20180715
85;aquanineplus.com;0;0;3249483;170;46;0;0;0;20180615
105;aquanineplus.com;0;0;2913363;176;62;0;0;0;20180515
111;aquanineplus.com;0;0;2854391;169;96;0;0;0;20180415
71;aquanineplus.com;0;0;3616673;156;24;0;0;0;20180315
30;aquanineplus.com;0;0;5157035;146;19;0;0;0;20180215
254;aquanineplus.com;0;0;1711402;108;122;0;0;0;20180115
227;aquanineplus.com;0;0;1709798;87;105;0;0;0;20171215
234;aquanineplus.com;0;0;1669291;96;99;0;0;0;20171115
229;aquanineplus.com;0;0;1680081;93;113;0;0;0;20171015
240;aquanineplus.com;0;0;1649007;79;101;0;0;0;20170915
240;aquanineplus.com;0;0;1669993;86;99;0;0;0;20170815
239;aquanineplus.com;0;0;1625188;76;101;0;0;0;20170715
226;aquanineplus.com;0;0;1753291;59;101;0;0;0;20170615
225;aquanineplus.com;0;0;1858158;50;99;0;0;0;20170515
333;aquanineplus.com;0;0;1561554;65;145;0;0;0;20170415
336;aquanineplus.com;0;0;1428216;72;145;0;0;0;20170315
330;aquanineplus.com;0;0;1473759;79;145;0;0;0;20170215
332;aquanineplus.com;0;0;1495657;97;145;0;0;0;20170115
339;aquanineplus.com;0;0;1472660;73;146;0;0;0;20161215
3;aquanineplus.com;0;0;7865219;35;1;0;0;0;20161115
2;aquanineplus.com;0;0;8198431;23;0;0;0;0;20161015
3;aquanineplus.com;0;0;7480937;19;0;0;0;0;20160915
3;aquanineplus.com;0;0;7249714;18;0;0;0;0;20160815
3;aquanineplus.com;0;0;7227951;18;0;0;0;0;20160715
0;aquanineplus.com;0;0;41461411;19;0;0;0;0;20160615
0;aquanineplus.com;0;0;12962711;21;0;0;0;0;20160515
0;aquanineplus.com;0;0;12526525;22;0;0;0;0;20160415
0;aquanineplus.com;0;0;13430997;26;0;0;0;0;20160315
0;aquanineplus.com;0;0;27593898;28;0;0;0;0;20160215
0;aquanineplus.com;0;0;26830525;23;0;0;0;0;20160115
0;aquanineplus.com;0;0;19614140;14;0;0;0;0;20151215
0;aquanineplus.com;0;0;35314496;18;1;0;0;0;20151115
0;aquanineplus.com;0;0;32996240;15;1;0;0;0;20151015
0;aquanineplus.com;0;0;0;0;0;0;0;0;20150915
0;aquanineplus.com;0;0;0;0;0;0;0;0;20150815
0;aquanineplus.com;0;0;0;0;0;0;0;0;20150715
0;aquanineplus.com;0;0;0;0;0;0;0;0;20150615
0;aquanineplus.com;0;0;0;0;0;0;0;0;20150515
0;aquanineplus.com;0;0;0;0;0;0;0;0;20150415
0;aquanineplus.com;0;0;0;0;0;0;0;0;20150315
0;aquanineplus.com;0;0;0;0;0;0;0;0;20150215
0;aquanineplus.com;0;0;0;0;0;0;0;0;20150115
0;aquanineplus.com;0;0;0;0;0;0;0;0;20141215
0;aquanineplus.com;0;0;11239045;1;0;0;0;0;20141115
0;aquanineplus.com;0;0;11022725;1;0;0;0;0;20141015
0;aquanineplus.com;0;0;11750943;1;0;0;0;0;20140915
0;aquanineplus.com;0;0;10945715;1;0;0;0;0;20140815
0;aquanineplus.com;0;0;9437041;1;0;0;0;0;20140715
0;aquanineplus.com;0;0;8783643;1;0;0;0;0;20140615
0;aquanineplus.com;0;0;8359472;1;0;0;0;0;20140515
0;aquanineplus.com;0;0;7134440;1;0;0;0;0;20140415
0;aquanineplus.com;0;0;7522747;1;0;0;0;0;20140315
1;aquanineplus.com;0;0;6269821;1;0;0;0;0;20140215
2;aquanineplus.com;0;0;5229011;1;0;0;0;0;20140115
2;aquanineplus.com;0;0;5181948;1;0;0;0;0;20131215
0;aquanineplus.com;0;0;0;0;0;0;0;0;20131115
0;aquanineplus.com;0;0;9672270;2;0;0;0;0;20131015
0;aquanineplus.com;0;0;10457479;1;0;0;0;0;20130915
0;aquanineplus.com;0;0;6781645;1;0;0;0;0;20130815
0;aquanineplus.com;0;0;0;0;0;0;0;0;20130715
0;aquanineplus.com;0;0;0;0;0;0;0;0;20130615
0;aquanineplus.com;0;0;0;0;0;0;0;0;20130515
0;aquanineplus.com;0;0;0;0;0;0;0;0;20130415
0;aquanineplus.com;0;0;0;0;0;0;0;0;20130315
0;aquanineplus.com;0;0;0;0;0;0;0;0;20130215
0;aquanineplus.com;0;0;0;0;0;0;0;0;20130115
0;aquanineplus.com;0;0;0;0;0;0;0;0;20121215
0;aquanineplus.com;0;0;0;0;0;0;0;0;20121115
