Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
96;artesiasprings.com;0;0;4058557;126;138;0;0;0;20210615
75;artesiasprings.com;0;0;4598085;86;22;0;0;0;20210515
65;artesiasprings.com;0;0;4918582;104;12;0;0;0;20210415
71;artesiasprings.com;0;0;4713699;96;30;0;0;0;20210315
89;artesiasprings.com;0;0;4155580;111;58;0;0;0;20210215
101;artesiasprings.com;0;0;3888309;134;88;0;0;0;20210115
80;artesiasprings.com;0;0;4346790;116;59;0;0;0;20201215
81;artesiasprings.com;0;0;4337121;134;73;0;0;0;20201115
79;artesiasprings.com;0;0;4408305;121;93;0;0;0;20201015
96;artesiasprings.com;0;0;3904465;128;87;0;0;0;20200915
99;artesiasprings.com;0;0;3827822;145;55;0;0;0;20200815
102;artesiasprings.com;0;0;3717409;170;63;0;0;0;20200715
97;artesiasprings.com;0;0;3796059;167;51;0;0;0;20200615
91;artesiasprings.com;0;0;3855731;140;59;0;0;0;20200515
82;artesiasprings.com;0;0;4026327;102;34;0;0;0;20200415
90;artesiasprings.com;0;0;3858369;149;63;0;0;0;20200315
103;artesiasprings.com;0;0;3534249;148;90;0;0;0;20200215
89;artesiasprings.com;0;0;3787309;111;39;0;0;0;20200115
90;artesiasprings.com;0;0;3748367;92;48;0;0;0;20191215
54;artesiasprings.com;0;0;4639657;74;115;0;0;0;20191115
58;artesiasprings.com;0;0;4356210;68;115;0;0;0;20191015
58;artesiasprings.com;0;0;4339818;85;118;0;0;0;20190915
63;artesiasprings.com;0;0;4202641;127;199;0;0;0;20190815
87;artesiasprings.com;0;0;3585414;170;266;0;0;0;20190715
87;artesiasprings.com;0;0;3527175;142;266;0;0;0;20190615
46;artesiasprings.com;0;0;4030686;190;192;0;0;0;20190515
70;artesiasprings.com;0;0;3299637;203;338;0;0;0;20190415
63;artesiasprings.com;0;0;3471483;267;254;0;0;0;20190315
103;artesiasprings.com;0;0;2736978;257;379;0;0;0;20190215
74;artesiasprings.com;0;0;3271458;309;317;0;0;0;20190115
66;artesiasprings.com;0;0;3447933;230;266;0;0;0;20181215
47;artesiasprings.com;0;0;4151870;285;214;0;0;0;20181115
63;artesiasprings.com;0;0;3641980;365;261;0;0;0;20181015
49;artesiasprings.com;0;0;4174524;351;234;0;0;0;20180915
55;artesiasprings.com;18;2;3950677;348;226;2;18;76;20180815
56;artesiasprings.com;0;0;4035662;406;253;0;0;0;20180715
53;artesiasprings.com;0;0;4102880;279;203;0;0;0;20180615
60;artesiasprings.com;0;0;3863235;173;248;0;0;0;20180515
71;artesiasprings.com;0;0;3611994;171;229;0;0;0;20180415
74;artesiasprings.com;0;0;3552928;209;232;0;0;0;20180315
60;artesiasprings.com;0;0;3776732;449;305;0;0;0;20180215
67;artesiasprings.com;0;0;3554590;509;432;0;0;0;20180115
40;artesiasprings.com;0;0;4323770;547;313;0;0;0;20171215
34;artesiasprings.com;0;0;4592728;538;324;0;0;0;20171115
25;artesiasprings.com;0;0;5161237;658;277;0;0;0;20171015
27;artesiasprings.com;0;0;5054715;522;258;0;0;0;20170915
31;artesiasprings.com;0;0;4789938;545;246;0;0;0;20170815
28;artesiasprings.com;0;0;4839926;581;246;0;0;0;20170715
32;artesiasprings.com;0;0;4777897;676;292;0;0;0;20170615
36;artesiasprings.com;0;0;4639195;517;314;0;0;0;20170515
39;artesiasprings.com;0;0;4589393;442;322;0;0;0;20170415
26;artesiasprings.com;0;0;5155969;508;259;0;0;0;20170315
75;artesiasprings.com;0;0;3259864;604;770;0;0;0;20170215
72;artesiasprings.com;0;0;3412120;625;782;0;0;0;20170115
69;artesiasprings.com;0;0;3471893;665;772;0;0;0;20161215
54;artesiasprings.com;0;0;2838381;569;682;0;0;0;20161115
23;artesiasprings.com;0;0;3813753;454;227;0;0;0;20161015
12;artesiasprings.com;0;0;4876461;273;182;0;0;0;20160915
12;artesiasprings.com;0;0;4915109;289;176;0;0;0;20160815
11;artesiasprings.com;0;0;4994383;290;175;0;0;0;20160715
12;artesiasprings.com;0;0;5032150;285;199;0;0;0;20160615
13;artesiasprings.com;0;0;4849610;273;204;0;0;0;20160515
34;artesiasprings.com;0;0;3259530;263;495;0;0;0;20160415
33;artesiasprings.com;0;0;3268295;261;482;0;0;0;20160315
33;artesiasprings.com;0;0;3269479;258;489;0;0;0;20160215
33;artesiasprings.com;0;0;3253226;270;471;0;0;0;20160115
17;artesiasprings.com;0;0;4304000;328;176;0;0;0;20151215
8;artesiasprings.com;0;0;5933640;293;114;0;0;0;20151115
12;artesiasprings.com;0;0;4935374;291;321;0;0;0;20151015
6;artesiasprings.com;0;0;5347571;3;209;0;0;0;20150915
6;artesiasprings.com;0;0;5488324;4;212;0;0;0;20150815
7;artesiasprings.com;0;0;5265108;4;212;0;0;0;20150715
8;artesiasprings.com;0;0;4976777;7;40;0;0;0;20150615
9;artesiasprings.com;0;0;4525055;10;44;0;0;0;20150515
9;artesiasprings.com;0;0;4582006;8;87;0;0;0;20150415
5;artesiasprings.com;0;0;5291248;5;32;0;0;0;20150315
4;artesiasprings.com;0;0;5447222;4;25;0;0;0;20150215
13;artesiasprings.com;0;0;4093217;8;68;0;0;0;20150115
18;artesiasprings.com;0;0;3707497;9;152;0;0;0;20141215
3;artesiasprings.com;0;0;5966405;7;54;0;0;0;20141115
4;artesiasprings.com;0;0;6176128;9;31;0;0;0;20141015
0;artesiasprings.com;0;0;0;0;0;0;0;0;20140915
0;artesiasprings.com;0;0;0;0;0;0;0;0;20140815
0;artesiasprings.com;0;0;0;0;0;0;0;0;20140715
0;artesiasprings.com;0;0;0;0;0;0;0;0;20140615
0;artesiasprings.com;0;0;0;0;0;0;0;0;20140515
0;artesiasprings.com;0;0;0;0;0;0;0;0;20140415
0;artesiasprings.com;0;0;0;0;0;0;0;0;20140315
0;artesiasprings.com;0;0;0;0;0;0;0;0;20140215
0;artesiasprings.com;0;0;0;0;0;0;0;0;20140115
0;artesiasprings.com;0;0;0;0;0;0;0;0;20131215
0;artesiasprings.com;0;0;10269288;5;7;0;0;0;20131115
8;artesiasprings.com;0;0;3174254;21;88;0;0;0;20131015
16;artesiasprings.com;0;0;2470876;32;143;0;0;0;20130915
29;artesiasprings.com;0;0;2028106;54;195;0;0;0;20130815
31;artesiasprings.com;0;0;1985643;57;192;0;0;0;20130715
38;artesiasprings.com;0;0;1764778;53;233;0;0;0;20130615
48;artesiasprings.com;0;0;1648224;54;226;0;0;0;20130515
35;artesiasprings.com;0;0;1999777;29;123;0;0;0;20130415
48;artesiasprings.com;0;0;1742214;57;292;0;0;0;20130315
54;artesiasprings.com;0;0;1741552;49;334;0;0;0;20130215
81;artesiasprings.com;0;0;1425116;52;542;0;0;0;20130115
105;artesiasprings.com;0;0;1251274;52;748;0;0;0;20121215
50;artesiasprings.com;0;0;1825933;30;351;0;0;0;20121115
18;artesiasprings.com;0;0;2770401;19;139;0;0;0;20121015
13;artesiasprings.com;0;0;3363239;7;118;0;0;0;20120915
12;artesiasprings.com;0;0;3470708;6;100;0;0;0;20120815
2;artesiasprings.com;0;0;6224024;5;43;0;0;0;20120715
4;artesiasprings.com;0;0;4965631;7;63;0;0;0;20120615
50;artesiasprings.com;0;0;2246881;11;95;0;0;0;20120515
45;artesiasprings.com;0;0;2454808;6;56;0;0;0;20120415
31;artesiasprings.com;0;0;2846108;4;44;0;0;0;20120315
22;artesiasprings.com;0;0;3074167;4;42;0;0;0;20120215
23;artesiasprings.com;0;0;3018570;4;55;0;0;0;20120115
