Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
276;barbers.co.uk;0;0;2292566;220;143;0;0;0;20210615
246;barbers.co.uk;0;0;2436813;202;15;0;0;0;20210515
204;barbers.co.uk;0;0;2685282;180;0;0;0;0;20210415
268;barbers.co.uk;0;0;2269943;166;299;0;0;0;20210315
240;barbers.co.uk;0;0;2430730;159;158;0;0;0;20210215
251;barbers.co.uk;0;0;2367501;156;10;0;0;0;20210115
289;barbers.co.uk;0;0;2162172;161;20;0;0;0;20201215
236;barbers.co.uk;0;0;2421882;159;21;0;0;0;20201115
227;barbers.co.uk;0;0;2464925;175;0;0;0;0;20201015
268;barbers.co.uk;0;0;2208348;207;0;0;0;0;20200915
245;barbers.co.uk;0;0;2303397;183;0;0;0;0;20200815
289;barbers.co.uk;0;0;2061226;209;0;0;0;0;20200715
287;barbers.co.uk;0;0;2060633;208;0;0;0;0;20200615
266;barbers.co.uk;0;0;2126300;248;0;0;0;0;20200515
232;barbers.co.uk;0;0;2266450;216;0;0;0;0;20200415
227;barbers.co.uk;0;0;2312306;234;0;0;0;0;20200315
170;barbers.co.uk;0;0;2680755;225;15;0;0;0;20200215
138;barbers.co.uk;0;0;2993916;230;7;0;0;0;20200115
135;barbers.co.uk;0;0;3006703;220;8;0;0;0;20191215
136;barbers.co.uk;0;0;2823723;227;1;0;0;0;20191115
158;barbers.co.uk;0;0;2544641;227;0;0;0;0;20191015
102;barbers.co.uk;0;0;3208227;115;0;0;0;0;20190915
106;barbers.co.uk;0;0;3157459;114;0;0;0;0;20190815
89;barbers.co.uk;0;0;3542943;125;0;0;0;0;20190715
81;barbers.co.uk;0;0;3655174;134;0;0;0;0;20190615
40;barbers.co.uk;0;0;4358437;150;5;0;0;0;20190515
46;barbers.co.uk;0;0;4038612;140;4;0;0;0;20190415
44;barbers.co.uk;0;0;4136437;125;3;0;0;0;20190315
99;barbers.co.uk;0;0;2794597;148;8;0;0;0;20190215
115;barbers.co.uk;0;0;2616677;170;15;0;0;0;20190115
86;barbers.co.uk;0;0;3027269;194;7;0;0;0;20181215
81;barbers.co.uk;0;0;3151646;156;5;0;0;0;20181115
52;barbers.co.uk;0;0;3995226;146;5;0;0;0;20181015
55;barbers.co.uk;0;0;3927502;156;5;0;0;0;20180915
69;barbers.co.uk;0;0;3538605;156;5;0;0;0;20180815
67;barbers.co.uk;0;0;3674020;116;5;0;0;0;20180715
65;barbers.co.uk;0;0;3712442;110;5;0;0;0;20180615
67;barbers.co.uk;0;0;3661331;104;5;0;0;0;20180515
64;barbers.co.uk;0;0;3820978;105;4;0;0;0;20180415
81;barbers.co.uk;0;0;3384978;101;5;0;0;0;20180315
45;barbers.co.uk;0;0;4309525;121;6;0;0;0;20180215
70;barbers.co.uk;0;0;3476323;135;5;0;0;0;20180115
65;barbers.co.uk;0;0;3359866;137;3;0;0;0;20171215
65;barbers.co.uk;0;0;3358422;130;2;0;0;0;20171115
62;barbers.co.uk;0;0;3400852;107;2;0;0;0;20171015
55;barbers.co.uk;0;0;3653345;100;3;0;0;0;20170915
62;barbers.co.uk;0;0;3427193;131;3;0;0;0;20170815
77;barbers.co.uk;0;0;2988947;126;19;0;0;0;20170715
77;barbers.co.uk;0;0;3105186;121;21;0;0;0;20170615
68;barbers.co.uk;0;0;3433083;125;2;0;0;0;20170515
65;barbers.co.uk;0;0;3590610;111;2;0;0;0;20170415
62;barbers.co.uk;0;0;3523785;130;2;0;0;0;20170315
64;barbers.co.uk;0;0;3548590;141;1;0;0;0;20170215
89;barbers.co.uk;0;0;3056652;131;4;0;0;0;20170115
40;barbers.co.uk;0;0;4532849;118;1;0;0;0;20161215
26;barbers.co.uk;0;0;3878150;74;1;0;0;0;20161115
26;barbers.co.uk;0;0;3652556;67;1;0;0;0;20161015
27;barbers.co.uk;0;0;3618062;45;1;0;0;0;20160915
26;barbers.co.uk;0;0;3711701;43;1;0;0;0;20160815
8;barbers.co.uk;0;0;5737337;32;0;0;0;0;20160715
5;barbers.co.uk;0;0;6405058;36;0;0;0;0;20160615
1;barbers.co.uk;0;0;8743484;33;0;0;0;0;20160515
5;barbers.co.uk;0;0;6497042;36;0;0;0;0;20160415
5;barbers.co.uk;0;0;6279940;37;0;0;0;0;20160315
5;barbers.co.uk;0;0;6369760;36;0;0;0;0;20160215
7;barbers.co.uk;0;0;5744200;41;0;0;0;0;20160115
9;barbers.co.uk;0;0;5230806;46;0;0;0;0;20151215
5;barbers.co.uk;0;0;6865860;45;0;0;0;0;20151115
5;barbers.co.uk;0;0;6642079;45;0;0;0;0;20151015
5;barbers.co.uk;0;0;5489094;3;0;0;0;0;20150915
5;barbers.co.uk;0;0;5648144;3;0;0;0;0;20150815
5;barbers.co.uk;0;0;5714497;4;0;0;0;0;20150715
2;barbers.co.uk;0;0;6617067;3;0;0;0;0;20150615
0;barbers.co.uk;0;0;9729400;4;0;0;0;0;20150515
7;barbers.co.uk;0;0;4873207;4;1;0;0;0;20150415
0;barbers.co.uk;0;0;8332275;3;0;0;0;0;20150315
1;barbers.co.uk;0;0;7452716;3;0;0;0;0;20150215
1;barbers.co.uk;0;0;7242978;3;0;0;0;0;20150115
1;barbers.co.uk;0;0;7479973;3;0;0;0;0;20141215
2;barbers.co.uk;0;0;6994049;3;0;0;0;0;20141115
0;barbers.co.uk;0;0;8732998;3;0;0;0;0;20141015
1;barbers.co.uk;0;0;7990082;3;0;0;0;0;20140915
0;barbers.co.uk;0;0;9860228;2;0;0;0;0;20140815
1;barbers.co.uk;0;0;5662707;4;1;0;0;0;20140715
1;barbers.co.uk;0;0;6208452;4;1;0;0;0;20140615
1;barbers.co.uk;0;0;5935529;4;1;0;0;0;20140515
0;barbers.co.uk;0;0;9854067;2;0;0;0;0;20140415
0;barbers.co.uk;0;0;9687021;4;1;0;0;0;20140315
0;barbers.co.uk;0;0;9422309;2;0;0;0;0;20140215
2;barbers.co.uk;0;0;5264640;2;7;0;0;0;20140115
10;barbers.co.uk;0;0;3536347;2;2;0;0;0;20131215
0;barbers.co.uk;0;0;11761550;3;0;0;0;0;20131115
8;barbers.co.uk;0;0;3166837;4;2;0;0;0;20131015
8;barbers.co.uk;0;0;3225450;4;2;0;0;0;20130915
5;barbers.co.uk;0;0;3999936;2;1;0;0;0;20130815
5;barbers.co.uk;0;0;3937291;2;1;0;0;0;20130715
0;barbers.co.uk;0;0;0;0;0;0;0;0;20130615
6;barbers.co.uk;0;0;3757681;2;2;0;0;0;20130515
10;barbers.co.uk;0;0;3309157;2;3;0;0;0;20130415
0;barbers.co.uk;0;0;7488836;1;0;0;0;0;20130315
0;barbers.co.uk;0;0;0;0;0;0;0;0;20130215
0;barbers.co.uk;0;0;8452944;2;0;0;0;0;20130115
0;barbers.co.uk;0;0;8174911;3;0;0;0;0;20121215
0;barbers.co.uk;0;0;0;0;0;0;0;0;20121115
0;barbers.co.uk;0;0;11162996;2;0;0;0;0;20121015
0;barbers.co.uk;0;0;0;0;0;0;0;0;20120915
0;barbers.co.uk;0;0;0;0;0;0;0;0;20120815
0;barbers.co.uk;0;0;0;0;0;0;0;0;20120715
0;barbers.co.uk;0;0;0;0;0;0;0;0;20120615
0;barbers.co.uk;0;0;0;0;0;0;0;0;20120515
0;barbers.co.uk;0;0;0;0;0;0;0;0;20120415
1;barbers.co.uk;0;0;7200145;1;0;0;0;0;20120315
0;barbers.co.uk;0;0;10636455;1;0;0;0;0;20120215
0;barbers.co.uk;0;0;0;0;0;0;0;0;20120115
