Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
54091;barrio-tacos.com;0;0;48524;2745;49984;0;0;0;20210615
53337;barrio-tacos.com;0;0;48776;2217;48638;0;0;0;20210515
70268;barrio-tacos.com;0;0;37429;2331;47228;0;0;0;20210415
89745;barrio-tacos.com;0;0;29258;2350;77012;0;0;0;20210315
88227;barrio-tacos.com;0;0;29034;2186;74492;0;0;0;20210215
86350;barrio-tacos.com;0;0;29463;2372;57052;0;0;0;20210115
85761;barrio-tacos.com;0;0;29331;2343;23658;0;0;0;20201215
83776;barrio-tacos.com;0;0;29743;2502;31769;0;0;0;20201115
80679;barrio-tacos.com;0;0;30468;2626;66218;0;0;0;20201015
80521;barrio-tacos.com;0;0;30117;6135;43243;0;0;0;20200915
81719;barrio-tacos.com;0;0;29806;6277;80659;0;0;0;20200815
78856;barrio-tacos.com;0;0;29851;2998;65613;0;0;0;20200715
77235;barrio-tacos.com;0;0;30482;4185;62046;0;0;0;20200615
77602;barrio-tacos.com;0;0;30236;3774;87925;0;0;0;20200515
76805;barrio-tacos.com;0;0;30760;3171;85659;0;0;0;20200415
53890;barrio-tacos.com;0;0;41039;3091;39814;0;0;0;20200315
52810;barrio-tacos.com;0;0;41513;2769;39235;0;0;0;20200215
52911;barrio-tacos.com;0;0;40657;2292;108046;0;0;0;20200115
52248;barrio-tacos.com;0;0;41074;2037;105569;0;0;0;20191215
48625;barrio-tacos.com;0;0;42453;1859;104013;0;0;0;20191115
43875;barrio-tacos.com;0;0;45137;1857;25188;0;0;0;20191015
44664;barrio-tacos.com;0;0;44045;1638;25007;0;0;0;20190915
47827;barrio-tacos.com;0;0;41512;1701;26307;0;0;0;20190815
45705;barrio-tacos.com;0;0;43161;2482;23135;0;0;0;20190715
48630;barrio-tacos.com;0;0;40946;3301;25372;0;0;0;20190615
41801;barrio-tacos.com;0;0;42223;3461;3075;0;0;0;20190515
40502;barrio-tacos.com;0;0;43161;2005;2575;0;0;0;20190415
51520;barrio-tacos.com;0;0;35515;1723;2688;0;0;0;20190315
34794;barrio-tacos.com;0;0;48426;1353;2214;0;0;0;20190215
36092;barrio-tacos.com;0;0;47038;1427;2134;0;0;0;20190115
47424;barrio-tacos.com;0;0;37553;1380;2347;0;0;0;20181215
24827;barrio-tacos.com;0;0;63364;1551;2187;0;0;0;20181115
36833;barrio-tacos.com;0;0;45932;1009;2316;0;0;0;20181015
30163;barrio-tacos.com;0;0;52051;686;2530;0;0;0;20180915
35736;barrio-tacos.com;0;0;46734;792;2408;0;0;0;20180815
36534;barrio-tacos.com;0;0;45752;1154;2498;0;0;0;20180715
50283;barrio-tacos.com;0;0;35104;1136;2543;0;0;0;20180615
36596;barrio-tacos.com;0;0;45515;1097;2252;0;0;0;20180515
48608;barrio-tacos.com;0;0;35782;1065;2548;0;0;0;20180415
50217;barrio-tacos.com;0;0;34807;1021;2302;0;0;0;20180315
47727;barrio-tacos.com;0;0;37948;855;2112;0;0;0;20180215
37990;barrio-tacos.com;0;0;44004;734;1705;0;0;0;20180115
28870;barrio-tacos.com;0;0;48356;680;2600;0;0;0;20171215
28850;barrio-tacos.com;0;0;49331;738;2611;0;0;0;20171115
18564;barrio-tacos.com;0;0;70763;688;2661;0;0;0;20171015
29037;barrio-tacos.com;0;0;49689;615;2636;0;0;0;20170915
27802;barrio-tacos.com;0;0;52003;648;2791;0;0;0;20170815
15769;barrio-tacos.com;0;0;71385;646;2828;0;0;0;20170715
30849;barrio-tacos.com;0;0;48247;786;2810;0;0;0;20170615
31552;barrio-tacos.com;0;0;50478;682;2851;0;0;0;20170515
34054;barrio-tacos.com;0;0;50595;663;4242;0;0;0;20170415
27394;barrio-tacos.com;0;0;53876;695;2847;0;0;0;20170315
27454;barrio-tacos.com;0;0;53892;697;2883;0;0;0;20170215
28332;barrio-tacos.com;0;0;52436;748;2920;0;0;0;20170115
29075;barrio-tacos.com;0;0;50393;679;2862;0;0;0;20161215
14128;barrio-tacos.com;0;0;73234;510;2541;0;0;0;20161115
14272;barrio-tacos.com;0;0;72886;528;2773;0;0;0;20161015
14220;barrio-tacos.com;0;0;72663;514;2523;0;0;0;20160915
13823;barrio-tacos.com;0;0;74664;513;2651;0;0;0;20160815
16713;barrio-tacos.com;0;0;64001;511;2736;0;0;0;20160715
