Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
175769;bakerbettie.com;0;0;16680;44705;47251;0;0;0;20210615
293098;bakerbettie.com;0;0;10690;50615;80475;0;0;0;20210515
295430;bakerbettie.com;0;0;10471;53975;130967;0;0;0;20210415
269641;bakerbettie.com;0;0;11035;53243;141841;0;0;0;20210315
295526;bakerbettie.com;0;0;10210;56167;159964;0;0;0;20210215
316506;bakerbettie.com;0;0;9554;80812;144612;0;0;0;20210115
283413;bakerbettie.com;0;0;10451;80067;151597;0;0;0;20201215
227438;bakerbettie.com;0;0;12646;77102;95566;0;0;0;20201115
223848;bakerbettie.com;0;0;12729;76436;64274;0;0;0;20201015
221056;bakerbettie.com;0;0;12619;73043;76459;0;0;0;20200915
217294;bakerbettie.com;0;0;12814;74967;104666;0;0;0;20200815
175099;bakerbettie.com;0;0;14966;73648;86620;0;0;0;20200715
118123;bakerbettie.com;0;0;21098;49466;52276;0;0;0;20200615
60947;bakerbettie.com;0;0;37028;38147;18249;0;0;0;20200515
67064;bakerbettie.com;0;0;34507;36806;23222;0;0;0;20200415
70523;bakerbettie.com;0;0;32871;36372;25691;0;0;0;20200315
89537;bakerbettie.com;0;0;26626;36589;30508;0;0;0;20200215
74878;bakerbettie.com;0;0;30414;34968;22591;0;0;0;20200115
70372;bakerbettie.com;0;0;32110;33198;23273;0;0;0;20191215
97421;bakerbettie.com;0;0;23591;46886;38642;0;0;0;20191115
154012;bakerbettie.com;0;0;15449;60246;64602;0;0;0;20191015
177976;bakerbettie.com;0;0;13584;69370;76349;0;0;0;20190915
211413;bakerbettie.com;0;0;11666;69660;95443;0;0;0;20190815
194588;bakerbettie.com;0;0;12561;67745;81276;0;0;0;20190715
194129;bakerbettie.com;0;0;12484;62733;81436;0;0;0;20190615
199104;bakerbettie.com;0;0;11280;72099;139212;0;0;0;20190515
200692;bakerbettie.com;0;0;11167;71320;137409;0;0;0;20190415
185207;bakerbettie.com;0;0;11882;67577;132600;0;0;0;20190315
144599;bakerbettie.com;0;0;14775;62244;112682;0;0;0;20190215
147069;bakerbettie.com;0;0;14482;60321;106182;0;0;0;20190115
157715;bakerbettie.com;0;0;13563;59956;121407;0;0;0;20181215
160738;bakerbettie.com;0;0;13249;60441;140484;0;0;0;20181115
170900;bakerbettie.com;0;0;12532;60710;150544;0;0;0;20181015
163098;bakerbettie.com;0;0;12358;60749;146438;0;0;0;20180915
156464;bakerbettie.com;0;0;13266;59351;138524;0;0;0;20180815
120760;bakerbettie.com;0;0;16566;53719;116929;0;0;0;20180715
125359;bakerbettie.com;0;0;16031;52717;139561;0;0;0;20180615
110145;bakerbettie.com;0;0;17844;53830;106637;0;0;0;20180515
91407;bakerbettie.com;0;0;20854;49900;90098;0;0;0;20180415
79480;bakerbettie.com;0;0;23534;47831;79532;0;0;0;20180315
64867;bakerbettie.com;0;0;29297;55608;64605;0;0;0;20180215
56623;bakerbettie.com;0;0;31505;47633;40751;0;0;0;20180115
48530;bakerbettie.com;0;0;31391;47772;32564;0;0;0;20171215
49130;bakerbettie.com;0;0;31582;44574;34116;0;0;0;20171115
46742;bakerbettie.com;0;0;33202;39740;35832;0;0;0;20171015
36368;bakerbettie.com;0;0;41176;34493;29344;0;0;0;20170915
27669;bakerbettie.com;0;0;52207;29531;22926;0;0;0;20170815
24636;bakerbettie.com;0;0;48923;27253;20776;0;0;0;20170715
29205;bakerbettie.com;0;0;50523;33496;23317;0;0;0;20170615
41672;bakerbettie.com;0;0;39996;31199;31128;0;0;0;20170515
43107;bakerbettie.com;0;0;41441;31503;30249;0;0;0;20170415
32647;bakerbettie.com;0;0;46542;35021;26437;0;0;0;20170315
34286;bakerbettie.com;0;0;44762;38324;28264;0;0;0;20170215
37917;bakerbettie.com;0;0;41058;38430;33096;0;0;0;20170115
36546;bakerbettie.com;0;0;41647;35934;29318;0;0;0;20161215
32764;bakerbettie.com;0;0;36827;29256;33379;0;0;0;20161115
35213;bakerbettie.com;0;0;34824;28985;39153;0;0;0;20161015
33279;bakerbettie.com;0;0;36375;28691;35845;0;0;0;20160915
35480;bakerbettie.com;0;0;34623;30148;39351;0;0;0;20160815
36915;bakerbettie.com;0;0;33432;31497;40357;0;0;0;20160715
40410;bakerbettie.com;0;0;30960;31751;45498;0;0;0;20160615
44074;bakerbettie.com;0;0;28659;31154;52567;0;0;0;20160515
40646;bakerbettie.com;0;0;30024;31381;31060;0;0;0;20160415
42062;bakerbettie.com;0;0;28129;31970;24755;0;0;0;20160315
41757;bakerbettie.com;0;0;28309;32155;25746;0;0;0;20160215
42051;bakerbettie.com;0;0;28082;32737;25609;0;0;0;20160115
43496;bakerbettie.com;0;0;27206;35736;25607;0;0;0;20151215
47864;bakerbettie.com;0;0;25319;34246;27371;0;0;0;20151115
39058;bakerbettie.com;0;0;28464;33624;42603;0;0;0;20151015
38500;bakerbettie.com;0;0;27809;4413;38989;0;0;0;20150915
46355;bakerbettie.com;0;0;23866;4532;51972;0;0;0;20150815
48738;bakerbettie.com;0;0;22489;4671;61862;0;0;0;20150715
45903;bakerbettie.com;0;0;23245;4608;46296;0;0;0;20150615
48732;bakerbettie.com;0;0;20611;4192;52723;0;0;0;20150515
48983;bakerbettie.com;0;0;20127;4386;43703;0;0;0;20150415
48792;bakerbettie.com;0;0;19796;4215;55019;0;0;0;20150315
40936;bakerbettie.com;0;0;23068;4039;42216;0;0;0;20150215
43100;bakerbettie.com;0;0;22093;4319;47647;0;0;0;20150115
42576;bakerbettie.com;0;0;22062;4004;37274;0;0;0;20141215
48331;bakerbettie.com;0;0;21901;4187;40366;0;0;0;20141115
41656;bakerbettie.com;0;0;24546;3681;46926;0;0;0;20141015
45295;bakerbettie.com;0;0;22926;3397;55233;0;0;0;20140915
51304;bakerbettie.com;0;0;20708;3354;69844;0;0;0;20140815
47619;bakerbettie.com;0;0;19672;4023;38676;0;0;0;20140715
37983;bakerbettie.com;0;0;23580;3834;30645;0;0;0;20140615
50928;bakerbettie.com;0;0;18142;4190;40302;0;0;0;20140515
59632;bakerbettie.com;0;0;15946;4362;50882;0;0;0;20140415
53246;bakerbettie.com;0;0;17475;4327;42706;0;0;0;20140315
50632;bakerbettie.com;0;0;17722;3712;55275;0;0;0;20140215
47112;bakerbettie.com;0;0;19001;3422;53196;0;0;0;20140115
40390;bakerbettie.com;0;0;21664;2848;47633;0;0;0;20131215
28787;bakerbettie.com;0;0;25844;2526;31856;0;0;0;20131115
11672;bakerbettie.com;0;0;39669;2039;14285;0;0;0;20131015
12028;bakerbettie.com;0;0;38779;2065;15440;0;0;0;20130915
10673;bakerbettie.com;0;0;42962;1932;13405;0;0;0;20130815
14824;bakerbettie.com;0;0;32432;1647;21936;0;0;0;20130715
5327;bakerbettie.com;0;0;70690;1109;6051;0;0;0;20130615
2445;bakerbettie.com;0;0;133582;532;2633;0;0;0;20130515
1773;bakerbettie.com;0;0;177942;480;1825;0;0;0;20130415
1841;bakerbettie.com;0;0;177443;457;1828;0;0;0;20130315
929;bakerbettie.com;0;0;304159;211;885;0;0;0;20130215
495;bakerbettie.com;0;0;482845;168;391;0;0;0;20130115
282;bakerbettie.com;0;0;705206;162;251;0;0;0;20121215
246;bakerbettie.com;0;0;770773;138;190;0;0;0;20121115
180;bakerbettie.com;0;0;908364;108;145;0;0;0;20121015
177;bakerbettie.com;0;0;983334;89;141;0;0;0;20120915
271;bakerbettie.com;0;0;762863;62;218;0;0;0;20120815
351;bakerbettie.com;0;0;668503;120;325;0;0;0;20120715
334;bakerbettie.com;0;0;696906;92;296;0;0;0;20120615
295;bakerbettie.com;0;0;834457;131;258;0;0;0;20120515
195;bakerbettie.com;0;0;1133148;153;190;0;0;0;20120415
199;bakerbettie.com;0;0;1132977;128;246;0;0;0;20120315
13;bakerbettie.com;0;0;3695643;15;43;0;0;0;20120215
0;bakerbettie.com;0;0;10333074;5;0;0;0;0;20120115
