Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
97;bigfresh.com;0;0;4032311;3;0;0;0;0;20210615
84;bigfresh.com;0;0;4340411;6;0;0;0;0;20210515
145;bigfresh.com;0;0;3238441;6;0;0;0;0;20210415
145;bigfresh.com;0;0;3194208;6;0;0;0;0;20210315
145;bigfresh.com;0;0;3214588;7;0;0;0;0;20210215
145;bigfresh.com;0;0;3209749;6;0;0;0;0;20210115
145;bigfresh.com;0;0;3190790;5;0;0;0;0;20201215
159;bigfresh.com;0;0;3023878;9;0;0;0;0;20201115
158;bigfresh.com;0;0;3023656;10;0;0;0;0;20201015
163;bigfresh.com;0;0;2939994;14;0;0;0;0;20200915
163;bigfresh.com;0;0;2914332;13;0;0;0;0;20200815
139;bigfresh.com;0;0;3142771;15;0;0;0;0;20200715
140;bigfresh.com;0;0;3115839;19;0;0;0;0;20200615
140;bigfresh.com;0;0;3071487;46;1;0;0;0;20200515
140;bigfresh.com;0;0;3013491;47;1;0;0;0;20200415
141;bigfresh.com;0;0;3027879;53;1;0;0;0;20200315
152;bigfresh.com;0;0;2860292;62;1;0;0;0;20200215
116;bigfresh.com;0;0;3292721;60;1;0;0;0;20200115
116;bigfresh.com;0;0;3273465;58;2;0;0;0;20191215
116;bigfresh.com;0;0;3089354;71;13;0;0;0;20191115
117;bigfresh.com;0;0;3002629;73;14;0;0;0;20191015
117;bigfresh.com;0;0;2971170;58;16;0;0;0;20190915
136;bigfresh.com;0;0;2753491;83;30;0;0;0;20190815
152;bigfresh.com;0;0;2639592;130;121;0;0;0;20190715
140;bigfresh.com;0;0;2714973;124;209;0;0;0;20190615
292;bigfresh.com;0;0;1534909;112;85;0;0;0;20190515
300;bigfresh.com;0;0;1506531;119;119;0;0;0;20190415
291;bigfresh.com;0;0;1544539;141;183;0;0;0;20190315
370;bigfresh.com;0;0;1336279;138;149;0;0;0;20190215
400;bigfresh.com;0;0;1288042;147;187;0;0;0;20190115
379;bigfresh.com;0;0;1332505;143;167;0;0;0;20181215
295;bigfresh.com;0;0;1558202;146;128;0;0;0;20181115
285;bigfresh.com;0;0;1608259;137;121;0;0;0;20181015
339;bigfresh.com;0;0;1462539;130;139;0;0;0;20180915
361;bigfresh.com;0;0;1420224;147;146;0;0;0;20180815
359;bigfresh.com;0;0;1456288;151;138;0;0;0;20180715
360;bigfresh.com;0;0;1448253;137;103;0;0;0;20180615
359;bigfresh.com;0;0;1446017;128;104;0;0;0;20180515
288;bigfresh.com;0;0;1664265;138;109;0;0;0;20180415
297;bigfresh.com;0;0;1641520;153;199;0;0;0;20180315
286;bigfresh.com;0;0;1646322;169;165;0;0;0;20180215
343;bigfresh.com;0;0;1432236;157;71;0;0;0;20180115
385;bigfresh.com;0;0;1248864;153;46;0;0;0;20171215
453;bigfresh.com;0;0;1114459;161;211;0;0;0;20171115
133;bigfresh.com;0;0;2258378;158;130;0;0;0;20171015
408;bigfresh.com;0;0;1199414;182;130;0;0;0;20170915
151;bigfresh.com;0;0;2155999;187;168;0;0;0;20170815
377;bigfresh.com;0;0;1237313;173;175;0;0;0;20170715
82;bigfresh.com;0;0;2998887;149;93;0;0;0;20170615
145;bigfresh.com;0;0;2336775;151;59;0;0;0;20170515
110;bigfresh.com;0;0;2766018;155;60;0;0;0;20170415
101;bigfresh.com;0;0;2739112;143;61;0;0;0;20170315
