Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
12374;biosteel.com;533;21;155149;1361;54907;21;533;2801;20210615
11815;biosteel.com;636;26;160281;1144;53329;26;636;3184;20210515
11379;biosteel.com;697;29;161957;998;44235;29;697;2923;20210415
9432;biosteel.com;30615;27;182826;1035;32424;27;30615;24333;20210315
9664;biosteel.com;893;39;177736;1110;32568;39;893;6444;20210215
9009;biosteel.com;1681;53;186881;1218;77849;53;1681;9031;20210115
8213;biosteel.com;2302;63;198684;1327;27649;63;2302;7834;20201215
7364;biosteel.com;3574;74;214288;1204;55788;74;3574;11887;20201115
7231;biosteel.com;505;51;215577;1376;47259;51;505;3214;20201015
6255;biosteel.com;1456;92;239088;1370;79122;92;1456;16873;20200915
6089;biosteel.com;3758;211;243282;1595;9350;211;3758;6822;20200815
6185;biosteel.com;13238;157;233867;1367;9594;157;13238;23483;20200715
5978;biosteel.com;2701;148;240095;1298;9189;148;2701;3095;20200615
5848;biosteel.com;4910;69;242658;1170;7039;69;4910;7362;20200515
5611;biosteel.com;1889;57;249819;1157;6812;57;1889;2072;20200415
5816;biosteel.com;266;54;242304;1180;4694;54;266;237;20200315
4819;biosteel.com;24;21;277662;1205;3382;21;24;5;20200215
5041;biosteel.com;33;15;264540;1727;3401;15;33;12;20200115
4985;biosteel.com;198;31;266178;2008;3452;31;198;170;20191215
3740;biosteel.com;131;14;319989;1764;2659;14;131;94;20191115
3881;biosteel.com;29;7;303260;1002;2500;7;29;16;20191015
4028;biosteel.com;15;13;289275;1458;2667;13;15;4;20190915
4112;biosteel.com;170;28;283434;1850;2732;28;170;121;20190815
3929;biosteel.com;0;0;297647;1791;2514;0;0;0;20190715
4084;biosteel.com;0;0;288364;1786;2683;0;0;0;20190615
3066;biosteel.com;0;0;318093;2082;2340;0;0;0;20190515
3101;biosteel.com;136;1;314815;2086;2351;1;136;110;20190415
3115;biosteel.com;1130;61;317267;2209;2362;61;1130;2818;20190315
3226;biosteel.com;672;32;306307;2389;2499;32;672;1090;20190215
3225;biosteel.com;0;0;307482;2329;2458;0;0;0;20190115
3240;biosteel.com;0;0;307164;2104;2471;0;0;0;20181215
3240;biosteel.com;0;0;307438;1756;2438;0;0;0;20181115
3180;biosteel.com;0;0;313746;1842;2462;0;0;0;20181015
2972;biosteel.com;0;0;328265;1968;2328;0;0;0;20180915
2964;biosteel.com;0;0;335091;1544;2328;0;0;0;20180815
2800;biosteel.com;0;0;352413;669;2146;0;0;0;20180715
2579;biosteel.com;0;0;372778;681;1908;0;0;0;20180615
2911;biosteel.com;0;0;339390;738;2172;0;0;0;20180515
2858;biosteel.com;0;0;340995;571;2186;0;0;0;20180415
2821;biosteel.com;0;0;346234;561;2174;0;0;0;20180315
2776;biosteel.com;0;0;357786;913;2279;0;0;0;20180215
3258;biosteel.com;10;3;309466;1209;2822;3;10;0;20180115
4260;biosteel.com;0;0;226523;1265;5013;0;0;0;20171215
4367;biosteel.com;0;0;223126;1327;4959;0;0;0;20171115
3959;biosteel.com;0;0;241488;1400;4600;0;0;0;20171015
4409;biosteel.com;0;0;223274;1524;5188;0;0;0;20170915
4364;biosteel.com;0;0;227846;1426;4980;0;0;0;20170815
4400;biosteel.com;0;0;207312;1326;5049;0;0;0;20170715
4653;biosteel.com;0;0;221417;1323;5303;0;0;0;20170615
4906;biosteel.com;0;0;233051;1028;5323;0;0;0;20170515
4504;biosteel.com;0;0;277469;887;4785;0;0;0;20170415
