Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
437;bluemoonwater.com;0;0;1744242;82;40;0;0;0;20210615
434;bluemoonwater.com;0;0;1747246;67;31;0;0;0;20210515
502;bluemoonwater.com;0;0;1577061;120;228;0;0;0;20210415
439;bluemoonwater.com;0;0;1690749;136;9;0;0;0;20210315
422;bluemoonwater.com;0;0;1744579;140;20;0;0;0;20210215
341;bluemoonwater.com;0;0;1977910;155;52;0;0;0;20210115
281;bluemoonwater.com;0;0;2200627;192;24;0;0;0;20201215
137;bluemoonwater.com;0;0;3278852;138;32;0;0;0;20201115
138;bluemoonwater.com;0;0;3263197;113;105;0;0;0;20201015
124;bluemoonwater.com;0;0;3414406;112;15;0;0;0;20200915
144;bluemoonwater.com;0;0;3122871;120;7;0;0;0;20200815
151;bluemoonwater.com;0;0;2995361;104;12;0;0;0;20200715
149;bluemoonwater.com;0;0;3001576;110;12;0;0;0;20200615
152;bluemoonwater.com;0;0;2926404;118;21;0;0;0;20200515
154;bluemoonwater.com;0;0;2859190;130;14;0;0;0;20200415
154;bluemoonwater.com;0;0;2884786;171;118;0;0;0;20200315
135;bluemoonwater.com;0;0;3055250;149;122;0;0;0;20200215
120;bluemoonwater.com;0;0;3232766;145;34;0;0;0;20200115
128;bluemoonwater.com;0;0;3092102;158;62;0;0;0;20191215
92;bluemoonwater.com;0;0;3494077;134;35;0;0;0;20191115
87;bluemoonwater.com;0;0;3522520;106;15;0;0;0;20191015
80;bluemoonwater.com;0;0;3662158;95;12;0;0;0;20190915
86;bluemoonwater.com;0;0;3530418;96;19;0;0;0;20190815
90;bluemoonwater.com;0;0;3515131;91;63;0;0;0;20190715
87;bluemoonwater.com;0;0;3529186;93;58;0;0;0;20190615
98;bluemoonwater.com;0;0;2781959;138;82;0;0;0;20190515
89;bluemoonwater.com;0;0;2927000;143;72;0;0;0;20190415
92;bluemoonwater.com;0;0;2879775;142;82;0;0;0;20190315
74;bluemoonwater.com;0;0;3238547;117;43;0;0;0;20190215
88;bluemoonwater.com;0;0;2999113;100;109;0;0;0;20190115
104;bluemoonwater.com;0;0;2747158;127;132;0;0;0;20181215
118;bluemoonwater.com;0;0;2598716;118;145;0;0;0;20181115
90;bluemoonwater.com;0;0;3044457;119;111;0;0;0;20181015
109;bluemoonwater.com;0;0;2782824;125;160;0;0;0;20180915
90;bluemoonwater.com;0;0;3077529;116;111;0;0;0;20180815
82;bluemoonwater.com;0;0;3312772;121;58;0;0;0;20180715
84;bluemoonwater.com;0;0;3276053;126;74;0;0;0;20180615
77;bluemoonwater.com;0;0;3424324;125;67;0;0;0;20180515
59;bluemoonwater.com;0;0;3962680;140;68;0;0;0;20180415
76;bluemoonwater.com;0;0;3506642;157;73;0;0;0;20180315
74;bluemoonwater.com;0;0;3413105;141;50;0;0;0;20180215
88;bluemoonwater.com;0;0;3060320;127;31;0;0;0;20180115
69;bluemoonwater.com;0;0;3269158;105;13;0;0;0;20171215
93;bluemoonwater.com;0;0;2757834;110;13;0;0;0;20171115
59;bluemoonwater.com;0;0;3474433;95;12;0;0;0;20171015
53;bluemoonwater.com;0;0;3710475;125;3;0;0;0;20170915
53;bluemoonwater.com;0;0;3703721;104;4;0;0;0;20170815
51;bluemoonwater.com;0;0;3704602;111;0;0;0;0;20170715
54;bluemoonwater.com;0;0;3722920;98;1;0;0;0;20170615
52;bluemoonwater.com;0;0;3914231;83;2;0;0;0;20170515
57;bluemoonwater.com;0;0;3804233;81;5;0;0;0;20170415
66;bluemoonwater.com;0;0;3423462;74;1;0;0;0;20170315
76;bluemoonwater.com;0;0;3238927;75;11;0;0;0;20170215
93;bluemoonwater.com;0;0;2994361;119;30;0;0;0;20170115
81;bluemoonwater.com;0;0;3173082;96;3;0;0;0;20161215
57;bluemoonwater.com;0;0;2773446;66;3;0;0;0;20161115
87;bluemoonwater.com;0;0;2167258;58;39;0;0;0;20161015
55;bluemoonwater.com;0;0;2671812;50;0;0;0;0;20160915
91;bluemoonwater.com;0;0;2146493;49;0;0;0;0;20160815
89;bluemoonwater.com;0;0;2158817;52;0;0;0;0;20160715
70;bluemoonwater.com;0;0;2440110;54;0;0;0;0;20160615
89;bluemoonwater.com;0;0;2176945;31;0;0;0;0;20160515
94;bluemoonwater.com;0;0;2068375;40;9;0;0;0;20160415
92;bluemoonwater.com;0;0;2070320;43;9;0;0;0;20160315
92;bluemoonwater.com;0;0;2064337;47;9;0;0;0;20160215
92;bluemoonwater.com;0;0;2054338;45;9;0;0;0;20160115
93;bluemoonwater.com;0;0;2068363;47;9;0;0;0;20151215
84;bluemoonwater.com;0;0;2281484;57;9;0;0;0;20151115
46;bluemoonwater.com;0;0;2925336;54;30;0;0;0;20151015
12;bluemoonwater.com;0;0;4454268;9;30;0;0;0;20150915
31;bluemoonwater.com;0;0;3228252;15;24;0;0;0;20150815
41;bluemoonwater.com;0;0;2891384;16;24;0;0;0;20150715
69;bluemoonwater.com;0;0;2264312;14;19;0;0;0;20150615
15;bluemoonwater.com;0;0;3927841;12;25;0;0;0;20150515
5;bluemoonwater.com;0;0;5284957;7;5;0;0;0;20150415
7;bluemoonwater.com;0;0;4857129;6;5;0;0;0;20150315
5;bluemoonwater.com;0;0;5297545;5;3;0;0;0;20150215
5;bluemoonwater.com;0;0;5269518;7;6;0;0;0;20150115
43;bluemoonwater.com;0;0;2624207;9;155;0;0;0;20141215
56;bluemoonwater.com;0;0;2387475;10;224;0;0;0;20141115
6;bluemoonwater.com;0;0;5598673;7;1;0;0;0;20141015
38;bluemoonwater.com;0;0;3007798;8;1;0;0;0;20140915
10;bluemoonwater.com;0;0;4857155;7;0;0;0;0;20140815
0;bluemoonwater.com;0;0;10476712;3;0;0;0;0;20140715
1;bluemoonwater.com;0;0;5532318;8;3;0;0;0;20140615
0;bluemoonwater.com;0;0;8754666;6;3;0;0;0;20140515
2;bluemoonwater.com;0;0;5639756;6;0;0;0;0;20140415
2;bluemoonwater.com;0;0;5526250;5;0;0;0;0;20140315
1;bluemoonwater.com;0;0;5702141;4;2;0;0;0;20140215
3;bluemoonwater.com;0;0;4925816;4;4;0;0;0;20140115
2;bluemoonwater.com;0;0;5545178;4;6;0;0;0;20131215
0;bluemoonwater.com;0;0;10889688;6;7;0;0;0;20131115
0;bluemoonwater.com;0;0;9344256;4;3;0;0;0;20131015
0;bluemoonwater.com;0;0;7975561;4;3;0;0;0;20130915
3;bluemoonwater.com;0;0;4370740;8;13;0;0;0;20130815
1;bluemoonwater.com;0;0;6253535;6;9;0;0;0;20130715
1;bluemoonwater.com;0;0;5988248;5;5;0;0;0;20130615
2;bluemoonwater.com;0;0;4711996;7;8;0;0;0;20130515
2;bluemoonwater.com;0;0;4885970;7;7;0;0;0;20130415
1;bluemoonwater.com;0;0;6365232;4;3;0;0;0;20130315
3;bluemoonwater.com;0;0;5153890;5;6;0;0;0;20130215
4;bluemoonwater.com;0;0;4576878;5;6;0;0;0;20130115
8;bluemoonwater.com;0;0;3762521;7;16;0;0;0;20121215
4;bluemoonwater.com;0;0;4734478;7;8;0;0;0;20121115
2;bluemoonwater.com;0;0;5626429;5;5;0;0;0;20121015
8;bluemoonwater.com;0;0;3962263;8;16;0;0;0;20120915
4;bluemoonwater.com;0;0;4997646;8;7;0;0;0;20120815
2;bluemoonwater.com;0;0;6233730;5;4;0;0;0;20120715
5;bluemoonwater.com;0;0;4681111;7;11;0;0;0;20120615
10;bluemoonwater.com;0;0;4309605;8;15;0;0;0;20120515
10;bluemoonwater.com;0;0;4359300;8;16;0;0;0;20120415
10;bluemoonwater.com;0;0;4355586;5;18;0;0;0;20120315
21;bluemoonwater.com;0;0;3179588;3;19;0;0;0;20120215
32;bluemoonwater.com;0;0;2640729;3;27;0;0;0;20120115
