Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
152;bombolobiscotti.com;0;0;3186415;62;6;0;0;0;20210615
171;bombolobiscotti.com;0;0;2985030;66;3;0;0;0;20210515
163;bombolobiscotti.com;0;0;3038684;57;0;0;0;0;20210415
152;bombolobiscotti.com;0;0;3118220;57;2;0;0;0;20210315
147;bombolobiscotti.com;0;0;3192504;70;0;0;0;0;20210215
171;bombolobiscotti.com;0;0;2937178;76;2;0;0;0;20210115
162;bombolobiscotti.com;0;0;3005385;65;0;0;0;0;20201215
158;bombolobiscotti.com;0;0;3031131;49;0;0;0;0;20201115
175;bombolobiscotti.com;0;0;2860765;53;6;0;0;0;20201015
154;bombolobiscotti.com;0;0;3029172;51;0;0;0;0;20200915
149;bombolobiscotti.com;0;0;3058601;51;0;0;0;0;20200815
153;bombolobiscotti.com;0;0;2976905;52;0;0;0;0;20200715
136;bombolobiscotti.com;0;0;3163354;35;0;0;0;0;20200615
200;bombolobiscotti.com;0;0;2510921;36;0;0;0;0;20200515
200;bombolobiscotti.com;0;0;2473525;37;0;0;0;0;20200415
168;bombolobiscotti.com;0;0;2749797;42;0;0;0;0;20200315
168;bombolobiscotti.com;0;0;2706701;36;0;0;0;0;20200215
168;bombolobiscotti.com;0;0;2677600;28;0;0;0;0;20200115
165;bombolobiscotti.com;0;0;2688189;27;0;0;0;0;20191215
120;bombolobiscotti.com;0;0;3026334;35;16;0;0;0;20191115
120;bombolobiscotti.com;0;0;2966450;38;15;0;0;0;20191015
120;bombolobiscotti.com;0;0;2938736;32;15;0;0;0;20190915
122;bombolobiscotti.com;0;0;2915544;31;16;0;0;0;20190815
127;bombolobiscotti.com;0;0;2919249;34;16;0;0;0;20190715
122;bombolobiscotti.com;0;0;2927195;33;16;0;0;0;20190615
107;bombolobiscotti.com;0;0;2661335;32;0;0;0;0;20190515
104;bombolobiscotti.com;0;0;2699537;33;0;0;0;0;20190415
104;bombolobiscotti.com;0;0;2706723;17;0;0;0;0;20190315
112;bombolobiscotti.com;0;0;2632527;25;0;0;0;0;20190215
104;bombolobiscotti.com;0;0;2752894;33;0;0;0;0;20190115
112;bombolobiscotti.com;0;0;2650948;29;0;0;0;0;20181215
112;bombolobiscotti.com;0;0;2672975;48;0;0;0;0;20181115
112;bombolobiscotti.com;0;0;2707945;51;0;0;0;0;20181015
112;bombolobiscotti.com;0;0;2737145;47;0;0;0;0;20180915
116;bombolobiscotti.com;0;0;2712243;60;2;0;0;0;20180815
113;bombolobiscotti.com;0;0;2813520;87;1;0;0;0;20180715
123;bombolobiscotti.com;0;0;2688385;62;3;0;0;0;20180615
105;bombolobiscotti.com;0;0;2910073;48;2;0;0;0;20180515
107;bombolobiscotti.com;0;0;2920166;21;0;0;0;0;20180415
104;bombolobiscotti.com;0;0;2970914;21;0;0;0;0;20180315
95;bombolobiscotti.com;0;0;3019998;27;0;0;0;0;20180215
0;bombolobiscotti.com;0;0;19083958;31;0;0;0;0;20180115
0;bombolobiscotti.com;0;0;31286911;28;0;0;0;0;20171215
0;bombolobiscotti.com;0;0;33304982;27;0;0;0;0;20171115
0;bombolobiscotti.com;0;0;38464235;28;0;0;0;0;20171015
0;bombolobiscotti.com;0;0;26232889;22;0;0;0;0;20170915
0;bombolobiscotti.com;0;0;31358178;19;0;0;0;0;20170815
0;bombolobiscotti.com;0;0;13662247;19;0;0;0;0;20170715
0;bombolobiscotti.com;0;0;18621947;12;0;0;0;0;20170615
0;bombolobiscotti.com;0;0;21681307;22;0;0;0;0;20170515
0;bombolobiscotti.com;0;0;40413639;18;0;0;0;0;20170415
1;bombolobiscotti.com;0;0;12702473;20;0;0;0;0;20170315
0;bombolobiscotti.com;0;0;37720444;28;0;0;0;0;20170215
0;bombolobiscotti.com;0;0;34494268;35;0;0;0;0;20170115
0;bombolobiscotti.com;0;0;42758104;39;0;0;0;0;20161215
0;bombolobiscotti.com;0;0;15484438;36;0;0;0;0;20161115
