Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1340;brubaker-usa.com;1;2;835081;1865;465;2;1;0;20210615
1190;brubaker-usa.com;2;1;904425;1820;398;1;2;1;20210515
1824;brubaker-usa.com;0;0;655422;2199;841;0;0;0;20210415
1501;brubaker-usa.com;0;1;742333;2263;696;1;0;0;20210315
2597;brubaker-usa.com;3;2;498652;2179;1149;2;3;0;20210215
2094;brubaker-usa.com;0;1;582284;2168;8342;1;0;0;20210115
1879;brubaker-usa.com;0;0;623372;2031;702;0;0;0;20201215
1677;brubaker-usa.com;0;2;668932;2042;968;2;0;0;20201115
1529;brubaker-usa.com;0;1;708821;2056;2378;1;0;0;20201015
1500;brubaker-usa.com;0;1;709772;2005;4914;1;0;0;20200915
1116;brubaker-usa.com;0;1;868238;2055;2681;1;0;0;20200815
1223;brubaker-usa.com;2;4;794659;2072;3297;4;2;0;20200715
1037;brubaker-usa.com;0;2;891499;2074;5161;2;0;0;20200615
773;brubaker-usa.com;2;3;1081110;2139;1596;3;2;0;20200515
971;brubaker-usa.com;3;2;908274;2523;2477;2;3;0;20200415
1155;brubaker-usa.com;1;1;805845;2830;3858;1;1;0;20200315
1038;brubaker-usa.com;6;1;854503;2626;5621;1;6;3;20200215
754;brubaker-usa.com;0;0;1057729;1962;7730;0;0;0;20200115
633;brubaker-usa.com;3;3;1176618;1637;5291;3;3;0;20191215
527;brubaker-usa.com;2;4;1258671;1297;4137;4;2;0;20191115
310;brubaker-usa.com;0;1;1719768;1138;258;1;0;0;20191015
256;brubaker-usa.com;1;2;1904376;1234;240;2;1;0;20190915
212;brubaker-usa.com;4;6;2130164;1266;33;6;4;2;20190815
282;brubaker-usa.com;0;1;1835938;1284;55;1;0;0;20190715
320;brubaker-usa.com;0;0;1678864;1232;123;0;0;0;20190615
153;brubaker-usa.com;0;0;2205649;772;107;0;0;0;20190515
490;brubaker-usa.com;0;1;1117303;832;512;1;0;0;20190415
186;brubaker-usa.com;0;0;1991253;655;116;0;0;0;20190315
137;brubaker-usa.com;0;0;2352393;456;97;0;0;0;20190215
166;brubaker-usa.com;0;0;2148142;502;103;0;0;0;20190115
218;brubaker-usa.com;0;0;1843723;484;156;0;0;0;20181215
167;brubaker-usa.com;0;0;2156751;435;97;0;0;0;20181115
132;brubaker-usa.com;0;2;2484654;373;76;2;0;0;20181015
162;brubaker-usa.com;253;2;2248287;439;92;2;253;263;20180915
198;brubaker-usa.com;1;1;2022662;681;122;1;1;0;20180815
245;brubaker-usa.com;0;0;1832952;834;148;0;0;0;20180715
183;brubaker-usa.com;3;2;2156115;640;124;2;3;2;20180615
133;brubaker-usa.com;0;0;2566443;562;72;0;0;0;20180515
154;brubaker-usa.com;0;0;2390881;522;71;0;0;0;20180415
141;brubaker-usa.com;0;0;2522234;486;73;0;0;0;20180315
28;brubaker-usa.com;0;0;5326140;498;16;0;0;0;20180215
22;brubaker-usa.com;0;0;5958945;430;7;0;0;0;20180115
10;brubaker-usa.com;0;0;6956849;385;0;0;0;0;20171215
7;brubaker-usa.com;0;0;7742299;350;1;0;0;0;20171115
5;brubaker-usa.com;0;0;8681500;402;1;0;0;0;20171015
7;brubaker-usa.com;3961;44;7903023;383;1;44;3961;1265;20170915
11;brubaker-usa.com;9;2;6696646;352;0;2;9;7;20170815
3;brubaker-usa.com;0;0;9696864;337;0;0;0;0;20170715
12;brubaker-usa.com;192;1;6520910;333;3;1;192;38;20170615
17;brubaker-usa.com;0;0;6052524;316;2;0;0;0;20170515
14;brubaker-usa.com;0;0;6554255;292;1;0;0;0;20170415
8;brubaker-usa.com;0;0;7367322;236;1;0;0;0;20170315
8;brubaker-usa.com;0;0;7682371;184;1;0;0;0;20170215
7;brubaker-usa.com;0;0;8070825;184;2;0;0;0;20170115
1;brubaker-usa.com;0;0;12100627;69;1;0;0;0;20161215
0;brubaker-usa.com;0;0;16832882;37;0;0;0;0;20161115
0;brubaker-usa.com;0;0;46961402;15;0;0;0;0;20161015
0;brubaker-usa.com;0;0;42957360;3;0;0;0;0;20160915
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20160815
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20160715
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20160615
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20160515
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20160415
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20160315
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20160215
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20160115
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20151215
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20151115
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20151015
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20150915
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20150815
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20150715
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20150615
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20150515
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20150415
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20150315
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20150215
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20150115
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20141215
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20141115
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20141015
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20140915
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20140815
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20140715
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20140615
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20140515
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20140415
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20140315
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20140215
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20140115
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20131215
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20131115
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20131015
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20130915
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20130815
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20130715
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20130615
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20130515
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20130415
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20130315
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20130215
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20130115
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20121215
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20121115
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20121015
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20120915
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20120815
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20120715
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20120615
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20120515
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20120415
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20120315
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20120215
0;brubaker-usa.com;0;0;0;0;0;0;0;0;20120115
