Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
555;buckscountycoffee.com;13;2;1502548;158;201;2;13;0;20210615
447;buckscountycoffee.com;18;5;1715015;160;179;5;18;28;20210515
446;buckscountycoffee.com;1;2;1698895;128;241;2;1;0;20210415
447;buckscountycoffee.com;398;3;1672786;129;567;3;398;304;20210315
442;buckscountycoffee.com;2;3;1695333;122;557;3;2;0;20210215
445;buckscountycoffee.com;0;1;1682469;122;50;1;0;0;20210115
437;buckscountycoffee.com;0;0;1687424;126;518;0;0;0;20201215
372;buckscountycoffee.com;0;0;1850671;119;4;0;0;0;20201115
378;buckscountycoffee.com;63;5;1821038;110;5;5;63;0;20201015
373;buckscountycoffee.com;0;0;1811563;74;0;0;0;0;20200915
372;buckscountycoffee.com;0;0;1793808;65;0;0;0;0;20200815
395;buckscountycoffee.com;0;0;1700746;68;0;0;0;0;20200715
396;buckscountycoffee.com;0;0;1690733;68;0;0;0;0;20200615
365;buckscountycoffee.com;0;0;1757419;90;0;0;0;0;20200515
314;buckscountycoffee.com;0;0;1894559;69;77;0;0;0;20200415
317;buckscountycoffee.com;0;0;1895294;66;111;0;0;0;20200315
359;buckscountycoffee.com;0;0;1724592;103;0;0;0;0;20200215
359;buckscountycoffee.com;0;0;1709941;131;0;0;0;0;20200115
328;buckscountycoffee.com;0;0;1789696;123;5;0;0;0;20191215
312;buckscountycoffee.com;0;0;1748314;108;164;0;0;0;20191115
347;buckscountycoffee.com;0;0;1605927;107;167;0;0;0;20191015
349;buckscountycoffee.com;0;0;1579786;117;167;0;0;0;20190915
350;buckscountycoffee.com;0;0;1576600;110;167;0;0;0;20190815
339;buckscountycoffee.com;0;0;1640549;136;170;0;0;0;20190715
338;buckscountycoffee.com;0;0;1624155;140;170;0;0;0;20190615
275;buckscountycoffee.com;0;0;1588122;121;52;0;0;0;20190515
295;buckscountycoffee.com;0;0;1522458;113;77;0;0;0;20190415
314;buckscountycoffee.com;0;0;1479183;154;35;0;0;0;20190315
319;buckscountycoffee.com;0;0;1460710;145;119;0;0;0;20190215
261;buckscountycoffee.com;0;0;1663301;121;44;0;0;0;20190115
294;buckscountycoffee.com;0;0;1549596;115;88;0;0;0;20181215
364;buckscountycoffee.com;0;0;1374090;192;186;0;0;0;20181115
334;buckscountycoffee.com;1753;58;1462402;127;60;58;1753;4759;20181015
324;buckscountycoffee.com;312;38;1505497;129;41;38;312;860;20180915
615;buckscountycoffee.com;0;0;1013836;129;417;0;0;0;20180815
279;buckscountycoffee.com;0;0;1698226;105;58;0;0;0;20180715
267;buckscountycoffee.com;0;1;1735791;129;60;1;0;0;20180615
315;buckscountycoffee.com;0;0;1567493;150;52;0;0;0;20180515
362;buckscountycoffee.com;0;0;1445268;137;187;0;0;0;20180415
277;buckscountycoffee.com;0;0;1711920;108;69;0;0;0;20180315
305;buckscountycoffee.com;0;0;1584416;110;79;0;0;0;20180215
233;buckscountycoffee.com;0;0;1796362;95;48;0;0;0;20180115
205;buckscountycoffee.com;0;0;1809824;94;0;0;0;0;20171215
206;buckscountycoffee.com;0;0;1794190;88;0;0;0;0;20171115
204;buckscountycoffee.com;0;0;1792054;86;0;0;0;0;20171015
208;buckscountycoffee.com;0;0;1789550;77;0;0;0;0;20170915
204;buckscountycoffee.com;0;0;1827764;88;0;0;0;0;20170815
218;buckscountycoffee.com;0;0;1715125;82;5;0;0;0;20170715
212;buckscountycoffee.com;0;0;1816052;81;1;0;0;0;20170615
279;buckscountycoffee.com;0;0;1654743;72;2;0;0;0;20170515
282;buckscountycoffee.com;0;0;1712389;73;2;0;0;0;20170415
213;buckscountycoffee.com;0;0;1851339;76;2;0;0;0;20170315
216;buckscountycoffee.com;0;0;1876288;63;7;0;0;0;20170215
214;buckscountycoffee.com;0;0;1923202;63;2;0;0;0;20170115
207;buckscountycoffee.com;0;0;1951985;57;0;0;0;0;20161215
202;buckscountycoffee.com;0;0;1478153;52;0;0;0;0;20161115
198;buckscountycoffee.com;0;0;1425829;58;1;0;0;0;20161015
204;buckscountycoffee.com;0;0;1407557;55;1;0;0;0;20160915
210;buckscountycoffee.com;0;0;1400400;41;0;0;0;0;20160815
229;buckscountycoffee.com;0;0;1328374;43;0;0;0;0;20160715
252;buckscountycoffee.com;0;0;1272602;45;0;0;0;0;20160615
237;buckscountycoffee.com;0;0;1312805;39;0;0;0;0;20160515
221;buckscountycoffee.com;0;0;1330664;39;0;0;0;0;20160415
221;buckscountycoffee.com;0;0;1312671;47;52;0;0;0;20160315
