Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
10552;donpablocoffee.com;558;5;175062;809;23586;5;558;1321;20210615
8986;donpablocoffee.com;557;4;197424;835;19343;4;557;1319;20210515
8875;donpablocoffee.com;609;13;195637;921;17630;13;609;1293;20210415
10821;donpablocoffee.com;662;13;164442;1001;18123;13;662;1066;20210315
11181;donpablocoffee.com;1210;18;158065;1073;19358;18;1210;2642;20210215
10633;donpablocoffee.com;1907;20;163631;925;27954;20;1907;2943;20210115
10306;donpablocoffee.com;1926;22;165513;856;27141;22;1926;4065;20201215
10482;donpablocoffee.com;1787;34;161469;746;36377;34;1787;4666;20201115
10494;donpablocoffee.com;2157;33;160183;723;38512;33;2157;5810;20201015
10362;donpablocoffee.com;3360;61;160021;707;29017;61;3360;12601;20200915
10816;donpablocoffee.com;777;51;154391;755;68455;51;777;4011;20200815
9627;donpablocoffee.com;1281;31;164671;781;60463;31;1281;8650;20200715
9084;donpablocoffee.com;855;37;172539;675;57549;37;855;4950;20200615
8837;donpablocoffee.com;1286;27;175283;681;48828;27;1286;4553;20200515
7165;donpablocoffee.com;616;23;206680;756;37851;23;616;957;20200415
8618;donpablocoffee.com;683;29;178400;760;29520;29;683;1006;20200315
6694;donpablocoffee.com;769;15;215324;785;12405;15;769;749;20200215
10340;donpablocoffee.com;393;21;151149;1124;9883;21;393;523;20200115
10368;donpablocoffee.com;1515;16;150763;1013;9970;16;1515;2212;20191215
9755;donpablocoffee.com;362;16;153771;651;9494;16;362;720;20191115
628;donpablocoffee.com;401;11;1100858;407;489;11;401;905;20191015
535;donpablocoffee.com;1076;41;1205423;347;445;41;1076;2459;20190915
537;donpablocoffee.com;1706;77;1201247;359;419;77;1706;2225;20190815
565;donpablocoffee.com;3954;108;1183961;338;411;108;3954;7466;20190715
542;donpablocoffee.com;2656;259;1204725;329;439;259;2656;5461;20190615
322;donpablocoffee.com;2270;149;1447121;319;153;149;2270;6146;20190515
370;donpablocoffee.com;1337;60;1328921;314;149;60;1337;3720;20190415
127;donpablocoffee.com;1039;62;2439475;284;49;62;1039;2933;20190315
392;donpablocoffee.com;1447;33;1290372;391;159;33;1447;2974;20190215
444;donpablocoffee.com;1023;37;1208237;505;235;37;1023;2167;20190115
463;donpablocoffee.com;1067;58;1176341;523;273;58;1067;3044;20181215
173;donpablocoffee.com;1360;53;2115747;208;100;53;1360;3238;20181115
72;donpablocoffee.com;975;82;3409080;38;25;82;975;2679;20181015
0;donpablocoffee.com;0;0;35380767;2;0;0;0;0;20180915
0;donpablocoffee.com;0;0;0;0;0;0;0;0;20180815
0;donpablocoffee.com;0;0;0;0;0;0;0;0;20180715
0;donpablocoffee.com;0;0;0;0;0;0;0;0;20180615
0;donpablocoffee.com;0;0;0;0;0;0;0;0;20180515
0;donpablocoffee.com;0;0;0;0;0;0;0;0;20180415
0;donpablocoffee.com;0;0;0;0;0;0;0;0;20180315
0;donpablocoffee.com;0;0;0;0;0;0;0;0;20180215
