Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
2097;caferakka.com;0;0;604646;329;24;0;0;0;20210615
2073;caferakka.com;0;0;608209;258;27;0;0;0;20210515
2001;caferakka.com;0;0;612611;264;28;0;0;0;20210415
1886;caferakka.com;0;0;628816;218;27;0;0;0;20210315
1901;caferakka.com;0;0;630152;236;86;0;0;0;20210215
2085;caferakka.com;0;0;584275;284;220;0;0;0;20210115
2107;caferakka.com;0;0;572716;328;1119;0;0;0;20201215
1920;caferakka.com;0;0;605411;335;3713;0;0;0;20201115
2133;caferakka.com;0;0;554864;226;2198;0;0;0;20201015
1740;caferakka.com;0;0;636374;231;2257;0;0;0;20200915
1766;caferakka.com;0;0;623727;221;3411;0;0;0;20200815
1257;caferakka.com;0;0;779274;228;2383;0;0;0;20200715
1449;caferakka.com;0;0;701953;223;3073;0;0;0;20200615
1334;caferakka.com;0;0;737426;355;2360;0;0;0;20200515
1450;caferakka.com;0;0;684614;456;2633;0;0;0;20200415
1493;caferakka.com;0;0;670844;304;2509;0;0;0;20200315
1876;caferakka.com;0;0;559687;273;2659;0;0;0;20200215
1613;caferakka.com;0;0;619671;255;2711;0;0;0;20200115
1649;caferakka.com;0;0;605338;235;2744;0;0;0;20191215
1137;caferakka.com;0;0;751777;224;1418;0;0;0;20191115
1094;caferakka.com;0;0;757154;194;1460;0;0;0;20191015
1043;caferakka.com;0;0;770557;180;1415;0;0;0;20190915
1042;caferakka.com;0;0;768681;174;1401;0;0;0;20190815
1068;caferakka.com;0;0;768395;151;1432;0;0;0;20190715
1055;caferakka.com;0;0;769987;122;1429;0;0;0;20190615
801;caferakka.com;0;0;815399;154;1829;0;0;0;20190515
769;caferakka.com;0;0;835908;141;1802;0;0;0;20190415
913;caferakka.com;0;0;754165;156;1786;0;0;0;20190315
966;caferakka.com;0;0;721051;144;1796;0;0;0;20190215
835;caferakka.com;0;0;802679;155;1792;0;0;0;20190115
833;caferakka.com;0;0;804774;232;1821;0;0;0;20181215
946;caferakka.com;0;0;740942;202;1813;0;0;0;20181115
1045;caferakka.com;0;0;698974;214;1803;0;0;0;20181015
899;caferakka.com;0;0;778440;233;1823;0;0;0;20180915
794;caferakka.com;0;0;856521;240;1800;0;0;0;20180815
941;caferakka.com;0;0;776255;221;1798;0;0;0;20180715
1025;caferakka.com;0;0;726876;249;1801;0;0;0;20180615
805;caferakka.com;0;0;856094;244;1811;0;0;0;20180515
968;caferakka.com;0;0;751585;194;1822;0;0;0;20180415
912;caferakka.com;0;0;788114;184;1792;0;0;0;20180315
634;caferakka.com;0;0;1006486;188;1403;0;0;0;20180215
1293;caferakka.com;0;0;587394;189;356;0;0;0;20180115
1076;caferakka.com;0;0;615671;194;345;0;0;0;20171215
905;caferakka.com;0;0;691276;194;264;0;0;0;20171115
1061;caferakka.com;0;0;618892;163;328;0;0;0;20171015
1104;caferakka.com;0;0;605065;155;325;0;0;0;20170915
1118;caferakka.com;0;0;609353;162;325;0;0;0;20170815
1111;caferakka.com;0;0;581403;141;325;0;0;0;20170715
1063;caferakka.com;0;0;645095;161;335;0;0;0;20170615
4995;caferakka.com;0;0;229827;158;11149;0;0;0;20170515
4991;caferakka.com;0;0;255366;157;11149;0;0;0;20170415
931;caferakka.com;0;0;726141;157;261;0;0;0;20170315
900;caferakka.com;0;0;754184;154;261;0;0;0;20170215
949;caferakka.com;0;0;735587;163;261;0;0;0;20170115
899;caferakka.com;0;0;759091;149;261;0;0;0;20161215
969;caferakka.com;0;0;557786;108;261;0;0;0;20161115
927;caferakka.com;0;0;564616;108;255;0;0;0;20161015
920;caferakka.com;0;0;566087;114;255;0;0;0;20160915
871;caferakka.com;0;0;592803;113;255;0;0;0;20160815
898;caferakka.com;0;0;578555;123;255;0;0;0;20160715
903;caferakka.com;0;0;578657;118;257;0;0;0;20160615
924;caferakka.com;0;0;567528;111;257;0;0;0;20160515
908;caferakka.com;0;0;559612;107;1455;0;0;0;20160415
909;caferakka.com;0;0;549883;110;1453;0;0;0;20160315
909;caferakka.com;0;0;547089;105;1453;0;0;0;20160215
907;caferakka.com;0;0;547234;103;1453;0;0;0;20160115
906;caferakka.com;0;0;551958;98;1453;0;0;0;20151215
900;caferakka.com;0;0;561324;92;1453;0;0;0;20151115
824;caferakka.com;0;0;572784;100;1450;0;0;0;20151015
824;caferakka.com;0;0;544158;14;1469;0;0;0;20150915
795;caferakka.com;0;0;562827;14;1465;0;0;0;20150815
824;caferakka.com;0;0;545831;14;1435;0;0;0;20150715
813;caferakka.com;0;0;543043;10;1128;0;0;0;20150615
695;caferakka.com;0;0;570779;10;1122;0;0;0;20150515
794;caferakka.com;0;0;513405;10;1483;0;0;0;20150415
784;caferakka.com;0;0;507384;10;1510;0;0;0;20150315
784;caferakka.com;0;0;511261;10;1510;0;0;0;20150215
784;caferakka.com;0;0;509627;8;1510;0;0;0;20150115
789;caferakka.com;0;0;506263;11;1551;0;0;0;20141215
787;caferakka.com;0;0;550098;11;1551;0;0;0;20141115
639;caferakka.com;0;0;635184;9;1077;0;0;0;20141015
680;caferakka.com;0;0;614968;31;1346;0;0;0;20140915
736;caferakka.com;0;0;585725;31;1342;0;0;0;20140815
77;caferakka.com;0;0;1609314;15;6;0;0;0;20140715
91;caferakka.com;0;0;1487183;16;9;0;0;0;20140615
68;caferakka.com;0;0;1719281;5;1;0;0;0;20140515
81;caferakka.com;0;0;1586014;14;1;0;0;0;20140415
91;caferakka.com;0;0;1501784;13;1;0;0;0;20140315
81;caferakka.com;0;0;1529796;17;3;0;0;0;20140215
64;caferakka.com;0;0;1749289;15;1;0;0;0;20140115
98;caferakka.com;0;0;1407142;15;1;0;0;0;20131215
27;caferakka.com;0;0;2371380;15;5;0;0;0;20131115
89;caferakka.com;0;0;1118651;21;25;0;0;0;20131015
84;caferakka.com;0;0;1165727;21;21;0;0;0;20130915
85;caferakka.com;0;0;1190966;25;21;0;0;0;20130815
95;caferakka.com;0;0;1123672;21;26;0;0;0;20130715
26;caferakka.com;0;0;2112055;15;2;0;0;0;20130615
31;caferakka.com;0;0;2016012;12;34;0;0;0;20130515
142;caferakka.com;0;0;964180;21;52;0;0;0;20130415
101;caferakka.com;0;0;1189471;19;49;0;0;0;20130315
137;caferakka.com;0;0;1055604;37;39;0;0;0;20130215
96;caferakka.com;0;0;1302102;27;36;0;0;0;20130115
112;caferakka.com;0;0;1212919;26;46;0;0;0;20121215
89;caferakka.com;0;0;1365118;22;26;0;0;0;20121115
75;caferakka.com;0;0;1459271;17;23;0;0;0;20121015
60;caferakka.com;0;0;1761477;13;20;0;0;0;20120915
61;caferakka.com;0;0;1743830;12;21;0;0;0;20120815
101;caferakka.com;0;0;1391703;11;24;0;0;0;20120715
105;caferakka.com;0;0;1372900;14;26;0;0;0;20120615
245;caferakka.com;0;0;938154;15;148;0;0;0;20120515
241;caferakka.com;0;0;996261;21;157;0;0;0;20120415
110;caferakka.com;0;0;1572060;18;52;0;0;0;20120315
105;caferakka.com;0;0;1538307;18;46;0;0;0;20120215
96;caferakka.com;0;0;1588570;20;41;0;0;0;20120115
