Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
61;cakeryclassic.com;0;0;5137423;85;25;0;0;0;20210615
62;cakeryclassic.com;0;0;5077628;93;22;0;0;0;20210515
57;cakeryclassic.com;0;0;5274394;77;16;0;0;0;20210415
58;cakeryclassic.com;0;0;5194083;82;9;0;0;0;20210315
59;cakeryclassic.com;0;0;5150724;89;7;0;0;0;20210215
57;cakeryclassic.com;0;0;5281784;98;20;0;0;0;20210115
35;cakeryclassic.com;0;0;6617765;98;31;0;0;0;20201215
18;cakeryclassic.com;0;0;8655279;71;51;0;0;0;20201115
32;cakeryclassic.com;0;0;7078135;51;33;0;0;0;20201015
3;cakeryclassic.com;0;0;14249729;39;2;0;0;0;20200915
3;cakeryclassic.com;0;0;13509243;38;2;0;0;0;20200815
10;cakeryclassic.com;0;0;9928072;69;5;0;0;0;20200715
9;cakeryclassic.com;0;0;10259896;56;5;0;0;0;20200615
4;cakeryclassic.com;0;0;12642596;58;0;0;0;0;20200515
1;cakeryclassic.com;0;0;17313724;49;0;0;0;0;20200415
4;cakeryclassic.com;0;0;12094686;54;3;0;0;0;20200315
3;cakeryclassic.com;0;0;13254422;54;2;0;0;0;20200215
5;cakeryclassic.com;0;0;11852263;51;0;0;0;0;20200115
5;cakeryclassic.com;0;0;11966121;49;0;0;0;0;20191215
0;cakeryclassic.com;0;0;27693340;45;0;0;0;0;20191115
0;cakeryclassic.com;0;0;65241165;49;0;0;0;0;20191015
0;cakeryclassic.com;0;0;37645671;47;0;0;0;0;20190915
0;cakeryclassic.com;0;0;53083614;44;0;0;0;0;20190815
0;cakeryclassic.com;0;0;40119674;48;0;0;0;0;20190715
0;cakeryclassic.com;0;0;49167050;37;0;0;0;0;20190615
0;cakeryclassic.com;0;0;16437616;47;0;0;0;0;20190515
0;cakeryclassic.com;0;0;45540204;39;0;0;0;0;20190415
0;cakeryclassic.com;0;0;34494071;32;0;0;0;0;20190315
0;cakeryclassic.com;0;0;48413783;27;0;0;0;0;20190215
0;cakeryclassic.com;0;0;43357285;30;0;0;0;0;20190115
0;cakeryclassic.com;0;0;46063675;29;0;0;0;0;20181215
0;cakeryclassic.com;0;0;29001849;23;0;0;0;0;20181115
0;cakeryclassic.com;0;0;19797142;21;0;0;0;0;20181015
0;cakeryclassic.com;0;0;30807070;19;0;0;0;0;20180915
0;cakeryclassic.com;0;0;51325458;18;0;0;0;0;20180815
0;cakeryclassic.com;0;0;44165619;18;0;0;0;0;20180715
0;cakeryclassic.com;0;0;49377429;17;0;0;0;0;20180615
0;cakeryclassic.com;0;0;24935122;13;0;0;0;0;20180515
0;cakeryclassic.com;0;0;32326303;6;0;0;0;0;20180415
0;cakeryclassic.com;0;0;52797416;2;0;0;0;0;20180315
0;cakeryclassic.com;0;0;47944485;7;0;0;0;0;20180215
0;cakeryclassic.com;0;0;0;0;0;0;0;0;20180115
0;cakeryclassic.com;0;0;0;0;0;0;0;0;20171215
0;cakeryclassic.com;0;0;0;0;0;0;0;0;20171115
0;cakeryclassic.com;0;0;0;0;0;0;0;0;20171015
0;cakeryclassic.com;0;0;0;0;0;0;0;0;20170915
