Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
9;cdchocolates.com;0;0;10526261;37;0;0;0;0;20210615
9;cdchocolates.com;0;0;10552760;29;0;0;0;0;20210515
9;cdchocolates.com;0;0;10449309;17;0;0;0;0;20210415
9;cdchocolates.com;0;0;10294496;13;0;0;0;0;20210315
4;cdchocolates.com;0;0;12459957;10;0;0;0;0;20210215
9;cdchocolates.com;0;0;10388879;9;0;0;0;0;20210115
32;cdchocolates.com;0;0;6960888;12;0;0;0;0;20201215
32;cdchocolates.com;0;0;6992880;10;0;0;0;0;20201115
32;cdchocolates.com;0;0;7026666;10;0;0;0;0;20201015
10;cdchocolates.com;0;0;10097846;6;0;0;0;0;20200915
33;cdchocolates.com;0;0;6674511;4;0;0;0;0;20200815
10;cdchocolates.com;0;0;10023850;5;0;0;0;0;20200715
33;cdchocolates.com;0;0;6563773;2;0;0;0;0;20200615
10;cdchocolates.com;0;0;9659134;3;0;0;0;0;20200515
33;cdchocolates.com;0;0;6346768;2;0;0;0;0;20200415
2;cdchocolates.com;0;0;14315254;2;0;0;0;0;20200315
2;cdchocolates.com;0;0;15817806;3;0;0;0;0;20200215
2;cdchocolates.com;0;0;14953103;3;0;0;0;0;20200115
2;cdchocolates.com;0;0;14415284;3;0;0;0;0;20191215
9;cdchocolates.com;0;0;9865958;4;0;0;0;0;20191115
6;cdchocolates.com;0;0;10709129;4;0;0;0;0;20191015
6;cdchocolates.com;0;0;10676414;3;0;0;0;0;20190915
4;cdchocolates.com;0;0;12347560;7;0;0;0;0;20190815
6;cdchocolates.com;0;0;11091342;6;0;0;0;0;20190715
6;cdchocolates.com;0;0;10779047;6;0;0;0;0;20190615
33;cdchocolates.com;0;0;4693179;9;0;0;0;0;20190515
33;cdchocolates.com;0;0;4744356;8;0;0;0;0;20190415
29;cdchocolates.com;0;0;5021272;9;0;0;0;0;20190315
29;cdchocolates.com;0;0;5031245;22;0;0;0;0;20190215
33;cdchocolates.com;0;0;4836605;24;0;0;0;0;20190115
33;cdchocolates.com;0;0;4802239;29;0;0;0;0;20181215
29;cdchocolates.com;0;0;5164142;29;0;0;0;0;20181115
33;cdchocolates.com;0;0;4928267;25;0;0;0;0;20181015
33;cdchocolates.com;0;0;4988541;23;0;0;0;0;20180915
30;cdchocolates.com;0;0;5248250;20;0;0;0;0;20180815
34;cdchocolates.com;0;0;5083946;24;0;0;0;0;20180715
33;cdchocolates.com;0;0;5146148;22;0;0;0;0;20180615
29;cdchocolates.com;0;0;5457788;20;0;0;0;0;20180515
29;cdchocolates.com;0;0;5525552;19;0;0;0;0;20180415
23;cdchocolates.com;0;0;6058640;17;0;0;0;0;20180315
0;cdchocolates.com;0;0;16541603;23;0;0;0;0;20180215
0;cdchocolates.com;0;0;23278403;14;0;0;0;0;20180115
0;cdchocolates.com;0;0;27696591;13;0;0;0;0;20171215
0;cdchocolates.com;0;0;14726447;13;0;0;0;0;20171115
0;cdchocolates.com;0;0;13592881;10;0;0;0;0;20171015
0;cdchocolates.com;0;0;47281839;8;0;0;0;0;20170915
0;cdchocolates.com;0;0;14401322;8;0;0;0;0;20170815
0;cdchocolates.com;0;0;36158885;9;0;0;0;0;20170715
0;cdchocolates.com;0;0;44851577;6;0;0;0;0;20170615
0;cdchocolates.com;0;0;34220577;8;0;0;0;0;20170515
0;cdchocolates.com;0;0;21446222;6;0;0;0;0;20170415
0;cdchocolates.com;0;0;15233586;6;0;0;0;0;20170315
0;cdchocolates.com;0;0;31986784;4;0;0;0;0;20170215
0;cdchocolates.com;0;0;29844032;3;0;0;0;0;20170115
0;cdchocolates.com;0;0;51647728;3;0;0;0;0;20161215
0;cdchocolates.com;0;0;26697749;2;0;0;0;0;20161115
0;cdchocolates.com;0;0;45959569;2;0;0;0;0;20161015
0;cdchocolates.com;0;0;41617705;2;0;0;0;0;20160915
0;cdchocolates.com;0;0;0;0;0;0;0;0;20160815
0;cdchocolates.com;0;0;0;0;0;0;0;0;20160715
0;cdchocolates.com;0;0;25915675;1;0;0;0;0;20160615
0;cdchocolates.com;0;0;22489016;1;0;0;0;0;20160515
0;cdchocolates.com;0;0;0;0;0;0;0;0;20160415
0;cdchocolates.com;0;0;0;0;0;0;0;0;20160315
0;cdchocolates.com;0;0;0;0;0;0;0;0;20160215
0;cdchocolates.com;0;0;0;0;0;0;0;0;20160115
0;cdchocolates.com;0;0;0;0;0;0;0;0;20151215
0;cdchocolates.com;0;0;0;0;0;0;0;0;20151115
