Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
180;camerican.com;0;0;2912025;61;0;0;0;0;20210615
184;camerican.com;0;0;2868659;33;0;0;0;0;20210515
183;camerican.com;0;0;2848224;39;0;0;0;0;20210415
185;camerican.com;0;0;2798530;52;0;0;0;0;20210315
177;camerican.com;0;0;2878696;44;0;0;0;0;20210215
174;camerican.com;0;0;2907302;38;0;0;0;0;20210115
189;camerican.com;0;0;2752763;39;0;0;0;0;20201215
184;camerican.com;0;0;2782894;34;0;0;0;0;20201115
192;camerican.com;0;0;2711452;37;0;0;0;0;20201015
184;camerican.com;0;0;2738291;32;0;0;0;0;20200915
193;camerican.com;0;0;2644801;34;0;0;0;0;20200815
183;camerican.com;0;0;2693633;40;0;0;0;0;20200715
184;camerican.com;0;0;2666131;37;0;0;0;0;20200615
227;camerican.com;0;0;2333463;28;0;0;0;0;20200515
231;camerican.com;0;0;2275253;28;0;0;0;0;20200415
339;camerican.com;0;0;1816945;17;0;0;0;0;20200315
304;camerican.com;0;0;1910228;25;0;0;0;0;20200215
302;camerican.com;0;0;1900856;23;0;0;0;0;20200115
301;camerican.com;0;0;1887438;30;0;0;0;0;20191215
310;camerican.com;0;0;1755953;33;8;0;0;0;20191115
310;camerican.com;0;0;1719552;39;8;0;0;0;20191015
317;camerican.com;0;0;1674574;55;8;0;0;0;20190915
313;camerican.com;0;0;1688033;61;8;0;0;0;20190815
314;camerican.com;0;0;1719376;66;11;0;0;0;20190715
314;camerican.com;0;0;1698812;62;11;0;0;0;20190615
290;camerican.com;0;0;1541144;43;0;0;0;0;20190515
290;camerican.com;0;0;1535968;43;0;0;0;0;20190415
293;camerican.com;0;0;1538855;41;0;0;0;0;20190315
217;camerican.com;0;0;1827930;41;0;0;0;0;20190215
287;camerican.com;0;0;1574467;38;0;0;0;0;20190115
288;camerican.com;0;0;1570013;35;0;0;0;0;20181215
287;camerican.com;0;0;1583153;39;0;0;0;0;20181115
290;camerican.com;0;0;1590629;51;0;0;0;0;20181015
290;camerican.com;0;0;1606157;53;0;0;0;0;20180915
294;camerican.com;0;0;1609246;65;0;0;0;0;20180815
303;camerican.com;0;0;1615486;88;0;0;0;0;20180715
293;camerican.com;0;0;1641819;78;0;0;0;0;20180615
293;camerican.com;0;0;1638334;72;0;0;0;0;20180515
293;camerican.com;0;0;1647326;54;0;0;0;0;20180415
293;camerican.com;0;0;1653673;61;0;0;0;0;20180315
287;camerican.com;0;0;1644370;116;0;0;0;0;20180215
213;camerican.com;0;0;1890569;137;0;0;0;0;20180115
256;camerican.com;0;0;1598782;135;0;0;0;0;20171215
244;camerican.com;0;0;1628695;99;0;0;0;0;20171115
231;camerican.com;0;0;1672075;87;0;0;0;0;20171015
234;camerican.com;0;0;1673579;94;0;0;0;0;20170915
228;camerican.com;0;0;1717176;88;0;0;0;0;20170815
214;camerican.com;0;0;1730524;81;0;0;0;0;20170715
255;camerican.com;0;0;1637602;70;0;0;0;0;20170615
237;camerican.com;0;0;1807660;46;0;0;0;0;20170515
