Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
379;candytoyfactory.com;0;0;1902786;146;30;0;0;0;20210615
356;candytoyfactory.com;0;0;1966941;140;37;0;0;0;20210515
273;candytoyfactory.com;0;0;2276300;125;22;0;0;0;20210415
196;candytoyfactory.com;0;0;2708639;124;6;0;0;0;20210315
269;candytoyfactory.com;0;0;2280000;122;17;0;0;0;20210215
195;candytoyfactory.com;0;0;2728124;93;34;0;0;0;20210115
139;candytoyfactory.com;0;0;3255797;77;9;0;0;0;20201215
135;candytoyfactory.com;0;0;3309218;69;4;0;0;0;20201115
141;candytoyfactory.com;0;0;3218558;68;10;0;0;0;20201015
50;candytoyfactory.com;0;0;5550112;70;3;0;0;0;20200915
41;candytoyfactory.com;0;0;6077271;63;5;0;0;0;20200815
112;candytoyfactory.com;0;0;3537730;65;1;0;0;0;20200715
24;candytoyfactory.com;0;0;7458934;64;1;0;0;0;20200615
23;candytoyfactory.com;0;0;7535743;65;0;0;0;0;20200515
18;candytoyfactory.com;0;0;8044150;51;0;0;0;0;20200415
23;candytoyfactory.com;0;0;7610709;48;0;0;0;0;20200315
51;candytoyfactory.com;0;0;5132298;61;7;0;0;0;20200215
111;candytoyfactory.com;0;0;3375264;76;12;0;0;0;20200115
43;candytoyfactory.com;0;0;5508654;79;10;0;0;0;20191215
81;candytoyfactory.com;0;0;3741449;67;36;0;0;0;20191115
81;candytoyfactory.com;0;0;3656288;51;38;0;0;0;20191015
91;candytoyfactory.com;0;0;3415024;59;37;0;0;0;20190915
92;candytoyfactory.com;0;0;3406641;51;39;0;0;0;20190815
88;candytoyfactory.com;0;0;3573920;56;37;0;0;0;20190715
69;candytoyfactory.com;0;0;4008560;49;36;0;0;0;20190615
24;candytoyfactory.com;0;0;5418816;50;66;0;0;0;20190515
34;candytoyfactory.com;0;0;4668636;45;149;0;0;0;20190415
12;candytoyfactory.com;0;0;6964031;33;15;0;0;0;20190315
9;candytoyfactory.com;0;0;7558880;70;11;0;0;0;20190215
6;candytoyfactory.com;0;0;8609772;68;4;0;0;0;20190115
18;candytoyfactory.com;0;0;6122133;71;64;0;0;0;20181215
15;candytoyfactory.com;0;0;6570157;63;28;0;0;0;20181115
7;candytoyfactory.com;0;0;8661022;63;3;0;0;0;20181015
7;candytoyfactory.com;0;0;8741988;71;1;0;0;0;20180915
30;candytoyfactory.com;0;0;5223011;77;9;0;0;0;20180815
11;candytoyfactory.com;0;0;7698616;68;4;0;0;0;20180715
11;candytoyfactory.com;0;0;7625873;68;5;0;0;0;20180615
7;candytoyfactory.com;0;0;8893921;50;4;0;0;0;20180515
12;candytoyfactory.com;0;0;7690375;56;3;0;0;0;20180415
1;candytoyfactory.com;0;0;13745703;68;0;0;0;0;20180315
9;candytoyfactory.com;0;0;7780093;84;1;0;0;0;20180215
24;candytoyfactory.com;0;0;5765652;52;6;0;0;0;20180115
11;candytoyfactory.com;0;0;6784786;63;0;0;0;0;20171215
17;candytoyfactory.com;0;0;5988888;66;0;0;0;0;20171115
28;candytoyfactory.com;0;0;4970525;59;0;0;0;0;20171015
23;candytoyfactory.com;0;0;5427391;64;0;0;0;0;20170915
48;candytoyfactory.com;0;0;3905733;67;1;0;0;0;20170815
27;candytoyfactory.com;0;0;4890850;71;1;0;0;0;20170715
23;candytoyfactory.com;0;0;5350173;71;0;0;0;0;20170615
36;candytoyfactory.com;0;0;4661421;78;0;0;0;0;20170515
39;candytoyfactory.com;0;0;4593055;74;0;0;0;0;20170415
25;candytoyfactory.com;0;0;5251483;64;0;0;0;0;20170315
42;candytoyfactory.com;0;0;4331065;63;1;0;0;0;20170215
37;candytoyfactory.com;0;0;4743819;58;1;0;0;0;20170115
32;candytoyfactory.com;0;0;4931088;45;1;0;0;0;20161215
23;candytoyfactory.com;0;0;4076065;40;1;0;0;0;20161115
30;candytoyfactory.com;0;0;3434354;40;0;0;0;0;20161015
28;candytoyfactory.com;0;0;3546441;46;1;0;0;0;20160915
28;candytoyfactory.com;0;0;3592402;42;1;0;0;0;20160815
25;candytoyfactory.com;0;0;3731746;45;0;0;0;0;20160715
22;candytoyfactory.com;0;0;4012188;49;0;0;0;0;20160615
15;candytoyfactory.com;0;0;4571141;42;0;0;0;0;20160515
13;candytoyfactory.com;0;0;4708072;44;6;0;0;0;20160415
14;candytoyfactory.com;0;0;4585750;44;6;0;0;0;20160315
11;candytoyfactory.com;0;0;4954202;45;5;0;0;0;20160215
9;candytoyfactory.com;0;0;5187353;42;5;0;0;0;20160115
16;candytoyfactory.com;0;0;4427935;35;6;0;0;0;20151215
16;candytoyfactory.com;0;0;4677512;41;5;0;0;0;20151115
