Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1003;candyrific.com;0;0;1019218;1042;117;0;0;0;20210615
943;candyrific.com;0;0;1060277;1143;51;0;0;0;20210515
948;candyrific.com;0;0;1040401;1301;49;0;0;0;20210415
1089;candyrific.com;0;0;931192;1308;79;0;0;0;20210315
1006;candyrific.com;0;0;991392;1356;161;0;0;0;20210215
1071;candyrific.com;0;0;945119;1453;155;0;0;0;20210115
1032;candyrific.com;0;0;959114;1375;35;0;0;0;20201215
934;candyrific.com;0;0;1014656;1059;82;0;0;0;20201115
879;candyrific.com;0;0;1050183;960;43;0;0;0;20201015
930;candyrific.com;0;0;996520;869;123;0;0;0;20200915
841;candyrific.com;0;0;1056715;850;41;0;0;0;20200815
936;candyrific.com;0;0;960189;847;93;0;0;0;20200715
846;candyrific.com;0;0;1028035;857;12;0;0;0;20200615
736;candyrific.com;0;0;1117480;834;37;0;0;0;20200515
847;candyrific.com;0;0;999195;911;58;0;0;0;20200415
859;candyrific.com;0;0;991210;979;102;0;0;0;20200315
808;candyrific.com;0;0;1017215;1069;77;0;0;0;20200215
914;candyrific.com;0;0;926918;1528;43;0;0;0;20200115
893;candyrific.com;0;0;933394;1579;47;0;0;0;20191215
700;candyrific.com;0;0;1045686;1653;150;0;0;0;20191115
722;candyrific.com;0;0;1004324;1746;169;0;0;0;20191015
768;candyrific.com;0;0;949594;2103;219;0;0;0;20190915
690;candyrific.com;0;0;1018332;2004;159;0;0;0;20190815
802;candyrific.com;0;0;936806;1805;169;0;0;0;20190715
782;candyrific.com;0;0;945715;1594;181;0;0;0;20190615
728;candyrific.com;0;0;868908;1299;1207;0;0;0;20190515
610;candyrific.com;0;0;972424;1226;1158;0;0;0;20190415
570;candyrific.com;0;0;1026019;1153;1130;0;0;0;20190315
503;candyrific.com;0;0;1104098;1133;1109;0;0;0;20190215
519;candyrific.com;0;0;1094772;1190;1122;0;0;0;20190115
471;candyrific.com;0;0;1165167;1102;1106;0;0;0;20181215
528;candyrific.com;0;0;1087931;1211;1099;0;0;0;20181115
553;candyrific.com;0;0;1067168;1151;1104;0;0;0;20181015
554;candyrific.com;0;0;1073666;1053;1103;0;0;0;20180915
581;candyrific.com;0;0;1051217;1070;1126;0;0;0;20180815
533;candyrific.com;0;0;1135220;1120;1110;0;0;0;20180715
706;candyrific.com;0;0;938265;1115;1197;0;0;0;20180615
651;candyrific.com;0;0;987724;1002;1180;0;0;0;20180515
547;candyrific.com;0;0;1109170;1096;1160;0;0;0;20180415
562;candyrific.com;0;0;1093922;1075;1163;0;0;0;20180315
628;candyrific.com;0;0;1012909;1002;1447;0;0;0;20180215
528;candyrific.com;0;0;1086027;974;349;0;0;0;20180115
619;candyrific.com;0;0;909526;942;411;0;0;0;20171215
639;candyrific.com;0;0;884641;973;420;0;0;0;20171115
541;candyrific.com;0;0;988123;972;346;0;0;0;20171015
624;candyrific.com;0;0;902761;1248;386;0;0;0;20170915
625;candyrific.com;0;0;915412;1037;391;0;0;0;20170815
553;candyrific.com;0;0;958077;928;338;0;0;0;20170715
632;candyrific.com;0;0;926548;905;404;0;0;0;20170615
482;candyrific.com;0;0;1191377;990;310;0;0;0;20170515
458;candyrific.com;0;0;1287537;982;109;0;0;0;20170415
460;candyrific.com;0;0;1173342;962;95;0;0;0;20170315
411;candyrific.com;0;0;1286952;988;63;0;0;0;20170215
427;candyrific.com;0;0;1275936;1021;77;0;0;0;20170115
387;candyrific.com;0;0;1356557;853;63;0;0;0;20161215
40;candyrific.com;0;0;3240434;571;21;0;0;0;20161115
48;candyrific.com;0;0;2822977;520;19;0;0;0;20161015
45;candyrific.com;0;0;2918098;510;44;0;0;0;20160915
47;candyrific.com;0;0;2899000;476;35;0;0;0;20160815
39;candyrific.com;0;0;3122154;448;28;0;0;0;20160715
40;candyrific.com;0;0;3157708;423;24;0;0;0;20160615
36;candyrific.com;0;0;3275187;406;26;0;0;0;20160515
20;candyrific.com;0;0;4050840;424;13;0;0;0;20160415
15;candyrific.com;0;0;4473593;409;9;0;0;0;20160315
19;candyrific.com;0;0;4022807;398;11;0;0;0;20160215
16;candyrific.com;0;0;4345776;437;14;0;0;0;20160115
24;candyrific.com;0;0;3755146;550;18;0;0;0;20151215
28;candyrific.com;0;0;3752357;517;17;0;0;0;20151115
7;candyrific.com;0;0;6007423;485;12;0;0;0;20151015
11;candyrific.com;0;0;4523366;11;11;0;0;0;20150915
10;candyrific.com;0;0;4655758;11;8;0;0;0;20150815
