Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
3395;carltonfarms.com;667;3;421281;567;3005;3;667;812;20210615
1140;carltonfarms.com;0;0;931798;1283;288;0;0;0;20210515
7081;carltonfarms.com;15;1;233051;1702;4606;1;15;8;20210415
5470;carltonfarms.com;1;1;279103;1555;4260;1;1;0;20210315
8600;carltonfarms.com;243;7;195340;1564;8352;7;243;138;20210215
7162;carltonfarms.com;193;6;224342;1550;4218;6;193;0;20210115
8125;carltonfarms.com;210;10;200391;1449;8734;10;210;0;20201215
5047;carltonfarms.com;0;0;289234;1327;2751;0;0;0;20201115
5214;carltonfarms.com;0;0;279503;1266;1549;0;0;0;20201015
3603;carltonfarms.com;0;0;367436;1038;1224;0;0;0;20200915
3793;carltonfarms.com;0;0;351453;959;1096;0;0;0;20200815
3434;carltonfarms.com;0;0;368988;936;1757;0;0;0;20200715
2568;carltonfarms.com;0;0;459946;740;172;0;0;0;20200615
2866;carltonfarms.com;0;0;419247;680;275;0;0;0;20200515
3122;carltonfarms.com;0;0;390369;636;277;0;0;0;20200415
1865;carltonfarms.com;0;0;570456;848;309;0;0;0;20200315
1838;carltonfarms.com;0;0;568148;1001;308;0;0;0;20200215
2561;carltonfarms.com;0;0;441380;1232;270;0;0;0;20200115
2758;carltonfarms.com;0;0;415419;1182;119;0;0;0;20191215
2038;carltonfarms.com;0;0;498551;1053;206;0;0;0;20191115
3829;carltonfarms.com;0;0;306416;1031;742;0;0;0;20191015
2341;carltonfarms.com;0;0;432486;944;231;0;0;0;20190915
2337;carltonfarms.com;0;0;431675;1004;210;0;0;0;20190815
2352;carltonfarms.com;0;0;436139;1093;157;0;0;0;20190715
2042;carltonfarms.com;0;0;481723;934;210;0;0;0;20190615
1974;carltonfarms.com;0;0;437213;1183;252;0;0;0;20190515
1727;carltonfarms.com;0;0;479377;1276;217;0;0;0;20190415
3274;carltonfarms.com;0;0;305980;1340;901;0;0;0;20190315
2170;carltonfarms.com;0;0;409072;1021;620;0;0;0;20190215
1972;carltonfarms.com;0;0;440474;1015;252;0;0;0;20190115
1630;carltonfarms.com;0;0;505966;1056;305;0;0;0;20181215
1768;carltonfarms.com;0;0;478455;1021;413;0;0;0;20181115
1820;carltonfarms.com;0;0;472461;954;521;0;0;0;20181015
2084;carltonfarms.com;0;0;427476;849;1515;0;0;0;20180915
1994;carltonfarms.com;0;0;448402;908;250;0;0;0;20180815
2052;carltonfarms.com;0;0;443938;982;364;0;0;0;20180715
