Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
26614;carm.org;0;0;86652;25473;53886;0;0;0;20210615
33702;carm.org;0;0;71715;31854;58758;0;0;0;20210515
39905;carm.org;0;0;61215;36042;40685;0;0;0;20210415
41663;carm.org;0;0;57211;38863;36382;0;0;0;20210315
47306;carm.org;0;0;48932;41140;41324;0;0;0;20210215
47474;carm.org;0;0;48520;41814;49226;0;0;0;20210115
52423;carm.org;0;0;44248;46022;43078;0;0;0;20201215
66659;carm.org;0;0;36041;53797;44657;0;0;0;20201115
66797;carm.org;0;0;35602;56181;60759;0;0;0;20201015
69172;carm.org;0;0;34234;57735;60286;0;0;0;20200915
83204;carm.org;0;0;29347;58599;73855;0;0;0;20200815
83927;carm.org;0;0;28312;59035;71912;0;0;0;20200715
84256;carm.org;0;0;28344;56349;75557;0;0;0;20200615
94440;carm.org;0;0;25508;67361;86513;0;0;0;20200515
133986;carm.org;0;0;19012;94150;128400;0;0;0;20200415
141447;carm.org;0;0;18017;98148;151539;0;0;0;20200315
159158;carm.org;0;0;16203;104850;190770;0;0;0;20200215
199509;carm.org;0;0;13081;131036;185664;0;0;0;20200115
247524;carm.org;0;0;10843;136000;240010;0;0;0;20191215
259885;carm.org;0;0;10181;139371;326012;0;0;0;20191115
255662;carm.org;0;0;9946;135470;344153;0;0;0;20191015
240830;carm.org;0;0;10445;130436;328118;0;0;0;20190915
207887;carm.org;0;0;11839;131404;280949;0;0;0;20190815
227640;carm.org;0;0;10918;134074;324032;0;0;0;20190715
212326;carm.org;0;0;11565;121348;279141;0;0;0;20190615
294573;carm.org;0;0;8050;165468;310365;0;0;0;20190515
299164;carm.org;0;0;7905;167333;314296;0;0;0;20190415
300094;carm.org;0;0;7839;165425;320173;0;0;0;20190315
267089;carm.org;0;0;8666;155401;284817;0;0;0;20190215
256387;carm.org;0;0;8952;159712;276983;0;0;0;20190115
260047;carm.org;0;0;8858;157693;279186;0;0;0;20181215
250582;carm.org;0;0;9084;155158;268011;0;0;0;20181115
263118;carm.org;0;0;8659;143533;298177;0;0;0;20181015
231045;carm.org;0;0;9149;123420;260518;0;0;0;20180915
172697;carm.org;0;0;12205;122975;169618;0;0;0;20180815
233930;carm.org;0;0;9375;144328;250251;0;0;0;20180715
219746;carm.org;0;0;9856;143668;221905;0;0;0;20180615
219387;carm.org;0;0;9881;147289;228524;0;0;0;20180515
236403;carm.org;0;0;9248;145098;236441;0;0;0;20180415
224834;carm.org;0;0;9692;148311;221424;0;0;0;20180315
258477;carm.org;0;0;9082;193145;248213;0;0;0;20180215
289262;carm.org;0;0;7862;191863;254502;0;0;0;20180115
305828;carm.org;0;0;6410;194511;332623;0;0;0;20171215
304525;carm.org;21;1;6517;203782;335456;1;21;33;20171115
313794;carm.org;0;0;6351;202487;330888;0;0;0;20171015
266840;carm.org;0;0;7413;174077;317402;0;0;0;20170915
218379;carm.org;0;0;8866;174734;230727;0;0;0;20170815
195979;carm.org;0;0;8089;175740;137424;0;0;0;20170715
264631;carm.org;0;0;7565;206736;286095;0;0;0;20170615
276634;carm.org;0;0;7668;183297;301835;0;0;0;20170515
262703;carm.org;0;0;8516;173946;268020;0;0;0;20170415
307128;carm.org;1765;15;6677;192873;304926;15;1765;4421;20170315
361647;carm.org;1462;23;5801;212791;389044;23;1462;3358;20170215
405258;carm.org;1891;30;5240;225551;595075;30;1891;3085;20170115
457828;carm.org;123;30;4557;199988;654220;30;123;74;20161215
348497;carm.org;58;16;4809;147117;540645;16;58;33;20161115
433414;carm.org;345;50;3926;152878;634551;50;345;323;20161015
480287;carm.org;409;128;3595;155471;675792;128;409;759;20160915
499909;carm.org;685;181;3485;162724;689430;181;685;1448;20160815
574645;carm.org;1420;158;3073;178381;740008;158;1420;3288;20160715
714997;carm.org;278;126;2543;187281;865843;126;278;643;20160615
918203;carm.org;572;94;2005;185970;1167594;94;572;1274;20160515
838773;carm.org;710;75;2128;181248;1102776;75;710;1662;20160415
757612;carm.org;0;0;2236;179911;958563;0;0;0;20160315
756945;carm.org;0;0;2240;179160;822278;0;0;0;20160215
771163;carm.org;0;0;2213;177747;984844;0;0;0;20160115
682767;carm.org;0;0;2456;180733;830998;0;0;0;20151215
533300;carm.org;0;0;3152;157170;752451;0;0;0;20151115
398604;carm.org;0;0;3905;153291;472593;0;0;0;20151015
392565;carm.org;0;0;3822;26212;363510;0;0;0;20150915
421415;carm.org;0;0;3550;26355;398429;0;0;0;20150815
402066;carm.org;0;0;3642;25911;387801;0;0;0;20150715
447477;carm.org;0;0;3253;25503;415735;0;0;0;20150615
432177;carm.org;0;0;3101;23679;391291;0;0;0;20150515
489484;carm.org;0;0;2675;25406;423292;0;0;0;20150415
490847;carm.org;0;0;2655;26130;399528;0;0;0;20150315
434407;carm.org;0;0;2999;24522;355616;0;0;0;20150215
332386;carm.org;0;0;3744;20708;273793;0;0;0;20150115
469601;carm.org;0;0;2736;27783;435097;0;0;0;20141215
512729;carm.org;0;0;2772;29224;501909;0;0;0;20141115
447623;carm.org;0;0;3104;25764;422322;0;0;0;20141015
381666;carm.org;0;0;3597;24187;386624;0;0;0;20140915
359603;carm.org;0;0;3774;23544;350498;0;0;0;20140815
281590;carm.org;0;0;4172;24468;271545;0;0;0;20140715
282083;carm.org;0;0;4113;25590;269638;0;0;0;20140615
312911;carm.org;0;0;3745;26374;244073;0;0;0;20140515
304648;carm.org;0;0;3839;26298;251536;0;0;0;20140415
