Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
4946;cascalrestaurant.com;0;0;315438;318;3;0;0;0;20210615
4881;cascalrestaurant.com;0;0;317273;325;20;0;0;0;20210515
4767;cascalrestaurant.com;0;0;317222;322;32;0;0;0;20210415
5014;cascalrestaurant.com;0;0;298891;340;34;0;0;0;20210315
4942;cascalrestaurant.com;0;0;303564;367;16;0;0;0;20210215
5239;cascalrestaurant.com;0;0;288146;427;65;0;0;0;20210115
5147;cascalrestaurant.com;0;0;288243;426;69;0;0;0;20201215
5254;cascalrestaurant.com;0;0;280156;392;227;0;0;0;20201115
4780;cascalrestaurant.com;0;0;299587;343;298;0;0;0;20201015
4804;cascalrestaurant.com;0;0;294501;408;2202;0;0;0;20200915
4963;cascalrestaurant.com;0;0;285613;392;1825;0;0;0;20200815
4997;cascalrestaurant.com;0;0;276293;487;1678;0;0;0;20200715
4759;cascalrestaurant.com;0;0;287035;576;1603;0;0;0;20200615
5080;cascalrestaurant.com;0;0;270812;585;2911;0;0;0;20200515
5058;cascalrestaurant.com;0;0;270827;523;2121;0;0;0;20200415
5339;cascalrestaurant.com;0;0;258955;528;2545;0;0;0;20200315
5488;cascalrestaurant.com;0;0;251294;558;1901;0;0;0;20200215
5606;cascalrestaurant.com;0;0;243847;598;2430;0;0;0;20200115
5208;cascalrestaurant.com;0;0;257373;519;2471;0;0;0;20191215
3883;cascalrestaurant.com;0;0;311034;379;2281;0;0;0;20191115
4386;cascalrestaurant.com;0;0;276553;681;1455;0;0;0;20191015
4764;cascalrestaurant.com;0;0;254664;662;4375;0;0;0;20190915
4233;cascalrestaurant.com;0;0;277404;611;2158;0;0;0;20190815
4175;cascalrestaurant.com;0;0;284250;614;1721;0;0;0;20190715
4936;cascalrestaurant.com;0;0;249801;468;1955;0;0;0;20190615
4529;cascalrestaurant.com;0;0;237993;361;4105;0;0;0;20190515
3890;cascalrestaurant.com;0;0;266123;367;3698;0;0;0;20190415
4022;cascalrestaurant.com;0;0;262568;376;3869;0;0;0;20190315
4001;cascalrestaurant.com;0;0;261089;373;3737;0;0;0;20190215
4021;cascalrestaurant.com;0;0;260959;406;3774;0;0;0;20190115
3862;cascalrestaurant.com;0;0;269727;405;3498;0;0;0;20181215
3779;cascalrestaurant.com;0;0;274329;356;3292;0;0;0;20181115
3735;cascalrestaurant.com;0;0;278205;403;3217;0;0;0;20181015
3728;cascalrestaurant.com;0;0;276973;419;3181;0;0;0;20180915
3661;cascalrestaurant.com;0;0;285821;407;3151;0;0;0;20180815
3585;cascalrestaurant.com;0;0;292122;373;2995;0;0;0;20180715
3337;cascalrestaurant.com;0;0;307269;373;2891;0;0;0;20180615
3527;cascalrestaurant.com;0;0;293445;437;3014;0;0;0;20180515
3663;cascalrestaurant.com;0;0;282539;401;3453;0;0;0;20180415
4153;cascalrestaurant.com;0;0;257327;373;4661;0;0;0;20180315
5159;cascalrestaurant.com;0;0;223856;527;4904;0;0;0;20180215
4820;cascalrestaurant.com;0;0;230780;461;2975;0;0;0;20180115
4150;cascalrestaurant.com;0;0;231162;453;14271;0;0;0;20171215
4096;cascalrestaurant.com;0;0;234360;447;18723;0;0;0;20171115
3132;cascalrestaurant.com;0;0;287591;390;11270;0;0;0;20171015
3222;cascalrestaurant.com;0;0;282713;378;11303;0;0;0;20170915
3205;cascalrestaurant.com;0;0;287556;319;11384;0;0;0;20170815
3263;cascalrestaurant.com;0;0;262134;357;11409;0;0;0;20170715
3388;cascalrestaurant.com;0;0;281750;394;11466;0;0;0;20170615
4083;cascalrestaurant.com;0;0;268750;308;11468;0;0;0;20170515
3676;cascalrestaurant.com;0;0;323072;300;12152;0;0;0;20170415
3603;cascalrestaurant.com;0;0;275452;294;14246;0;0;0;20170315
3238;cascalrestaurant.com;0;0;300516;330;11344;0;0;0;20170215
3373;cascalrestaurant.com;0;0;291551;374;11506;0;0;0;20170115
4249;cascalrestaurant.com;0;0;240628;368;16468;0;0;0;20161215
4009;cascalrestaurant.com;0;0;196900;295;16451;0;0;0;20161115
3618;cascalrestaurant.com;0;0;212952;296;14518;0;0;0;20161015
3511;cascalrestaurant.com;0;0;216321;260;14389;0;0;0;20160915
3411;cascalrestaurant.com;0;0;222585;261;14248;0;0;0;20160815
3415;cascalrestaurant.com;0;0;221680;266;14371;0;0;0;20160715
3417;cascalrestaurant.com;0;0;221597;271;14362;0;0;0;20160615
3042;cascalrestaurant.com;0;0;241021;257;11352;0;0;0;20160515
2760;cascalrestaurant.com;0;0;253554;243;10681;0;0;0;20160415
3121;cascalrestaurant.com;0;0;225269;246;73;0;0;0;20160315
2743;cascalrestaurant.com;0;0;247417;241;76;0;0;0;20160215
2754;cascalrestaurant.com;0;0;246316;234;76;0;0;0;20160115
3204;cascalrestaurant.com;0;0;220238;245;50;0;0;0;20151215
3149;cascalrestaurant.com;0;0;225203;249;31;0;0;0;20151115
2553;cascalrestaurant.com;0;0;251612;261;38;0;0;0;20151015
2536;cascalrestaurant.com;0;0;241558;18;9;0;0;0;20150915
2538;cascalrestaurant.com;0;0;243409;19;23;0;0;0;20150815
2846;cascalrestaurant.com;0;0;220899;23;8;0;0;0;20150715
2929;cascalrestaurant.com;0;0;213359;25;8298;0;0;0;20150615
2876;cascalrestaurant.com;0;0;203032;24;8288;0;0;0;20150515
2886;cascalrestaurant.com;0;0;200828;22;14;0;0;0;20150415
2865;cascalrestaurant.com;0;0;197499;24;15;0;0;0;20150315
2873;cascalrestaurant.com;0;0;198304;29;21;0;0;0;20150215
2869;cascalrestaurant.com;0;0;197117;28;5;0;0;0;20150115
2866;cascalrestaurant.com;0;0;195973;39;5551;0;0;0;20141215
2947;cascalrestaurant.com;0;0;210762;56;5549;0;0;0;20141115
2848;cascalrestaurant.com;0;0;214451;45;4194;0;0;0;20141015
2836;cascalrestaurant.com;0;0;216708;50;4184;0;0;0;20140915
2511;cascalrestaurant.com;0;0;239474;52;3567;0;0;0;20140815
80;cascalrestaurant.com;0;0;1573716;26;5;0;0;0;20140715
95;cascalrestaurant.com;0;0;1456268;19;2;0;0;0;20140615
103;cascalrestaurant.com;0;0;1408422;30;6;0;0;0;20140515
103;cascalrestaurant.com;0;0;1411608;36;13;0;0;0;20140415
111;cascalrestaurant.com;0;0;1368182;31;19;0;0;0;20140315
319;cascalrestaurant.com;0;0;747989;32;166;0;0;0;20140215
1246;cascalrestaurant.com;0;0;315294;32;710;0;0;0;20140115
83;cascalrestaurant.com;0;0;1519558;27;25;0;0;0;20131215
82;cascalrestaurant.com;0;0;1425963;22;18;0;0;0;20131115
100;cascalrestaurant.com;0;0;1052719;27;109;0;0;0;20131015
104;cascalrestaurant.com;0;0;1039793;27;120;0;0;0;20130915
76;cascalrestaurant.com;0;0;1264486;22;123;0;0;0;20130815
68;cascalrestaurant.com;0;0;1342562;28;93;0;0;0;20130715
5;cascalrestaurant.com;0;0;3843385;10;0;0;0;0;20130615
51;cascalrestaurant.com;0;0;1581771;26;59;0;0;0;20130515
77;cascalrestaurant.com;0;0;1351844;19;77;0;0;0;20130415
77;cascalrestaurant.com;0;0;1379548;15;63;0;0;0;20130315
695;cascalrestaurant.com;0;0;373341;40;429;0;0;0;20130215
616;cascalrestaurant.com;0;0;416812;42;153;0;0;0;20130115
695;cascalrestaurant.com;0;0;389261;38;239;0;0;0;20121215
743;cascalrestaurant.com;0;0;377358;40;267;0;0;0;20121115
628;cascalrestaurant.com;0;0;413686;39;162;0;0;0;20121015
628;cascalrestaurant.com;0;0;438471;28;148;0;0;0;20120915
627;cascalrestaurant.com;0;0;441050;29;144;0;0;0;20120815
786;cascalrestaurant.com;0;0;390257;37;210;0;0;0;20120715
852;cascalrestaurant.com;0;0;372828;34;292;0;0;0;20120615
933;cascalrestaurant.com;0;0;381117;51;372;0;0;0;20120515
799;cascalrestaurant.com;0;0;446927;65;429;0;0;0;20120415
208;cascalrestaurant.com;0;0;1102642;28;220;0;0;0;20120315
195;cascalrestaurant.com;0;0;1100717;31;209;0;0;0;20120215
135;cascalrestaurant.com;0;0;1331506;24;117;0;0;0;20120115
