Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
205;chicorice.com;0;0;2708320;116;36;0;0;0;20210615
310;chicorice.com;0;0;2137432;140;109;0;0;0;20210515
340;chicorice.com;0;0;1999107;139;207;0;0;0;20210415
243;chicorice.com;0;0;2403694;135;52;0;0;0;20210315
299;chicorice.com;0;0;2142676;141;88;0;0;0;20210215
336;chicorice.com;0;0;1996098;146;166;0;0;0;20210115
285;chicorice.com;0;0;2178518;133;48;0;0;0;20201215
328;chicorice.com;0;0;1996643;140;75;0;0;0;20201115
324;chicorice.com;0;0;1999507;134;124;0;0;0;20201015
208;chicorice.com;0;0;2563678;147;31;0;0;0;20200915
213;chicorice.com;0;0;2503574;154;50;0;0;0;20200815
153;chicorice.com;0;0;2978909;127;29;0;0;0;20200715
154;chicorice.com;0;0;2951330;126;28;0;0;0;20200615
59;chicorice.com;0;0;4854894;110;31;0;0;0;20200515
66;chicorice.com;0;0;4509784;116;31;0;0;0;20200415
45;chicorice.com;0;0;5514751;111;12;0;0;0;20200315
53;chicorice.com;0;0;5072441;121;32;0;0;0;20200215
51;chicorice.com;0;0;5125274;150;142;0;0;0;20200115
22;chicorice.com;0;0;7513783;147;132;0;0;0;20191215
42;chicorice.com;0;0;5314466;122;16;0;0;0;20191115
3;chicorice.com;0;0;13651810;97;0;0;0;0;20191015
2;chicorice.com;0;0;15137569;84;2;0;0;0;20190915
2;chicorice.com;0;0;13843436;115;2;0;0;0;20190815
6;chicorice.com;0;0;11115995;95;10;0;0;0;20190715
4;chicorice.com;0;0;11937249;63;0;0;0;0;20190615
8;chicorice.com;0;0;7788060;14;1;0;0;0;20190515
8;chicorice.com;0;0;7763856;20;1;0;0;0;20190415
0;chicorice.com;0;0;14488017;6;0;0;0;0;20190315
0;chicorice.com;0;0;28469583;1;0;0;0;0;20190215
0;chicorice.com;0;0;0;0;0;0;0;0;20190115
0;chicorice.com;0;0;0;0;0;0;0;0;20181215
0;chicorice.com;0;0;0;0;0;0;0;0;20181115
0;chicorice.com;0;0;0;0;0;0;0;0;20181015
0;chicorice.com;0;0;0;0;0;0;0;0;20180915
0;chicorice.com;0;0;0;0;0;0;0;0;20180815
0;chicorice.com;0;0;0;0;0;0;0;0;20180715
0;chicorice.com;0;0;0;0;0;0;0;0;20180615
0;chicorice.com;0;0;0;0;0;0;0;0;20180515
0;chicorice.com;0;0;0;0;0;0;0;0;20180415
0;chicorice.com;0;0;0;0;0;0;0;0;20180315
0;chicorice.com;0;0;0;0;0;0;0;0;20180215
0;chicorice.com;0;0;0;0;0;0;0;0;20180115
0;chicorice.com;0;0;0;0;0;0;0;0;20171215
0;chicorice.com;0;0;0;0;0;0;0;0;20171115
0;chicorice.com;0;0;0;0;0;0;0;0;20171015
0;chicorice.com;0;0;0;0;0;0;0;0;20170915
0;chicorice.com;0;0;0;0;0;0;0;0;20170815
0;chicorice.com;0;0;0;0;0;0;0;0;20170715
0;chicorice.com;0;0;0;0;0;0;0;0;20170615
0;chicorice.com;0;0;0;0;0;0;0;0;20170515
0;chicorice.com;0;0;0;0;0;0;0;0;20170415
0;chicorice.com;0;0;0;0;0;0;0;0;20170315
0;chicorice.com;0;0;0;0;0;0;0;0;20170215
0;chicorice.com;0;0;0;0;0;0;0;0;20170115
0;chicorice.com;0;0;0;0;0;0;0;0;20161215
0;chicorice.com;0;0;0;0;0;0;0;0;20161115
0;chicorice.com;0;0;0;0;0;0;0;0;20161015
0;chicorice.com;0;0;0;0;0;0;0;0;20160915
0;chicorice.com;0;0;0;0;0;0;0;0;20160815
0;chicorice.com;0;0;0;0;0;0;0;0;20160715
0;chicorice.com;0;0;0;0;0;0;0;0;20160615
0;chicorice.com;0;0;0;0;0;0;0;0;20160515
0;chicorice.com;0;0;0;0;0;0;0;0;20160415
0;chicorice.com;0;0;0;0;0;0;0;0;20160315
0;chicorice.com;0;0;0;0;0;0;0;0;20160215
0;chicorice.com;0;0;0;0;0;0;0;0;20160115
0;chicorice.com;0;0;0;0;0;0;0;0;20151215
0;chicorice.com;0;0;0;0;0;0;0;0;20151115
0;chicorice.com;0;0;0;0;0;0;0;0;20151015
0;chicorice.com;0;0;0;0;0;0;0;0;20150915
0;chicorice.com;0;0;0;0;0;0;0;0;20150815
0;chicorice.com;0;0;0;0;0;0;0;0;20150715
0;chicorice.com;0;0;0;0;0;0;0;0;20150615
0;chicorice.com;0;0;0;0;0;0;0;0;20150515
0;chicorice.com;0;0;0;0;0;0;0;0;20150415
0;chicorice.com;0;0;0;0;0;0;0;0;20150315
0;chicorice.com;0;0;0;0;0;0;0;0;20150215
0;chicorice.com;0;0;0;0;0;0;0;0;20150115
0;chicorice.com;0;0;0;0;0;0;0;0;20141215
0;chicorice.com;0;0;0;0;0;0;0;0;20141115
0;chicorice.com;0;0;0;0;0;0;0;0;20141015
0;chicorice.com;0;0;0;0;0;0;0;0;20140915
0;chicorice.com;0;0;0;0;0;0;0;0;20140815
0;chicorice.com;0;0;0;0;0;0;0;0;20140715
0;chicorice.com;0;0;0;0;0;0;0;0;20140615
0;chicorice.com;0;0;0;0;0;0;0;0;20140515
0;chicorice.com;0;0;0;0;0;0;0;0;20140415
0;chicorice.com;0;0;0;0;0;0;0;0;20140315
0;chicorice.com;0;0;0;0;0;0;0;0;20140215
0;chicorice.com;0;0;0;0;0;0;0;0;20140115
0;chicorice.com;0;0;0;0;0;0;0;0;20131215
0;chicorice.com;0;0;0;0;0;0;0;0;20131115
0;chicorice.com;0;0;0;0;0;0;0;0;20131015
0;chicorice.com;0;0;0;0;0;0;0;0;20130915
0;chicorice.com;0;0;0;0;0;0;0;0;20130815
0;chicorice.com;0;0;0;0;0;0;0;0;20130715
0;chicorice.com;0;0;0;0;0;0;0;0;20130615
0;chicorice.com;0;0;0;0;0;0;0;0;20130515
0;chicorice.com;0;0;0;0;0;0;0;0;20130415
0;chicorice.com;0;0;0;0;0;0;0;0;20130315
0;chicorice.com;0;0;0;0;0;0;0;0;20130215
0;chicorice.com;0;0;0;0;0;0;0;0;20130115
0;chicorice.com;0;0;0;0;0;0;0;0;20121215
0;chicorice.com;0;0;0;0;0;0;0;0;20121115
0;chicorice.com;0;0;0;0;0;0;0;0;20121015
0;chicorice.com;0;0;0;0;0;0;0;0;20120915
0;chicorice.com;0;0;0;0;0;0;0;0;20120815
0;chicorice.com;0;0;0;0;0;0;0;0;20120715
0;chicorice.com;0;0;0;0;0;0;0;0;20120615
0;chicorice.com;0;0;0;0;0;0;0;0;20120515
0;chicorice.com;0;0;0;0;0;0;0;0;20120415
0;chicorice.com;0;0;0;0;0;0;0;0;20120315
0;chicorice.com;0;0;0;0;0;0;0;0;20120215
0;chicorice.com;0;0;0;0;0;0;0;0;20120115
