Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
60;chocdecor.be;0;0;5188079;64;0;0;0;0;20210615
60;chocdecor.be;0;0;5176100;54;0;0;0;0;20210515
60;chocdecor.be;0;0;5115603;42;0;0;0;0;20210415
62;chocdecor.be;0;0;5012568;43;0;0;0;0;20210315
65;chocdecor.be;0;0;4909066;33;0;0;0;0;20210215
113;chocdecor.be;0;0;3667146;43;0;0;0;0;20210115
63;chocdecor.be;0;0;4974460;64;0;0;0;0;20201215
65;chocdecor.be;0;0;4879855;62;0;0;0;0;20201115
68;chocdecor.be;0;0;4777212;64;0;0;0;0;20201015
77;chocdecor.be;0;0;4392842;89;0;0;0;0;20200915
84;chocdecor.be;0;0;4177875;87;0;0;0;0;20200815
84;chocdecor.be;0;0;4133969;88;0;0;0;0;20200715
81;chocdecor.be;0;0;4170600;91;0;0;0;0;20200615
98;chocdecor.be;0;0;3725598;107;0;0;0;0;20200515
97;chocdecor.be;0;0;3669743;83;0;0;0;0;20200415
64;chocdecor.be;0;0;4666335;79;0;0;0;0;20200315
65;chocdecor.be;0;0;4551878;91;0;0;0;0;20200215
63;chocdecor.be;0;0;4563524;135;0;0;0;0;20200115
63;chocdecor.be;0;0;4558566;121;0;0;0;0;20191215
34;chocdecor.be;0;0;5818906;91;0;0;0;0;20191115
59;chocdecor.be;0;0;4336153;83;0;0;0;0;20191015
60;chocdecor.be;0;0;4255207;95;0;0;0;0;20190915
58;chocdecor.be;0;0;4381957;95;0;0;0;0;20190815
58;chocdecor.be;0;0;4446262;114;0;0;0;0;20190715
58;chocdecor.be;0;0;4352414;127;0;0;0;0;20190615
11;chocdecor.be;0;0;7157745;126;0;0;0;0;20190515
45;chocdecor.be;0;0;4087715;118;0;0;0;0;20190415
46;chocdecor.be;0;2;4053700;107;0;2;0;0;20190315
46;chocdecor.be;0;1;4084416;145;1;1;0;0;20190215
46;chocdecor.be;0;0;4143396;149;2;0;0;0;20190115
8;chocdecor.be;0;1;7973754;128;1;1;0;0;20181215
46;chocdecor.be;0;0;4164270;112;0;0;0;0;20181115
8;chocdecor.be;0;0;8181885;89;1;0;0;0;20181015
8;chocdecor.be;0;0;8256802;68;1;0;0;0;20180915
6;chocdecor.be;0;0;8804325;65;1;0;0;0;20180815
7;chocdecor.be;0;0;8845261;62;3;0;0;0;20180715
6;chocdecor.be;0;0;8974332;70;0;0;0;0;20180615
4;chocdecor.be;0;0;10348757;70;1;0;0;0;20180515
6;chocdecor.be;0;0;9223571;63;1;0;0;0;20180415
4;chocdecor.be;0;0;10767732;65;1;0;0;0;20180315
8;chocdecor.be;0;0;8181039;81;0;0;0;0;20180215
0;chocdecor.be;0;0;42575257;82;0;0;0;0;20180115
2;chocdecor.be;0;0;10561567;88;6;0;0;0;20171215
2;chocdecor.be;0;0;11307519;95;5;0;0;0;20171115
3;chocdecor.be;0;0;9601623;43;2;0;0;0;20171015
0;chocdecor.be;0;0;42233932;19;1;0;0;0;20170915
2;chocdecor.be;0;0;10647767;21;8;0;0;0;20170815
0;chocdecor.be;0;0;18830886;17;0;0;0;0;20170715
2;chocdecor.be;0;0;10606865;19;0;0;0;0;20170615
0;chocdecor.be;0;0;38205742;12;0;0;0;0;20170515
0;chocdecor.be;0;0;51664861;12;0;0;0;0;20170415
0;chocdecor.be;0;0;13570355;11;0;0;0;0;20170315
0;chocdecor.be;0;0;18138144;11;0;0;0;0;20170215
0;chocdecor.be;0;0;43646811;7;0;0;0;0;20170115
0;chocdecor.be;0;0;42139944;3;0;0;0;0;20161215
0;chocdecor.be;0;0;21736672;1;0;0;0;0;20161115
0;chocdecor.be;0;0;24792293;1;0;0;0;0;20161015
0;chocdecor.be;0;0;43789686;1;0;0;0;0;20160915
0;chocdecor.be;0;0;46168772;2;0;0;0;0;20160815
0;chocdecor.be;0;0;46663304;2;0;0;0;0;20160715
0;chocdecor.be;0;0;21082797;2;0;0;0;0;20160615
0;chocdecor.be;0;0;45933322;2;0;0;0;0;20160515
0;chocdecor.be;0;0;14807056;2;0;0;0;0;20160415
0;chocdecor.be;0;0;23330181;2;0;0;0;0;20160315
0;chocdecor.be;0;0;42166466;2;0;0;0;0;20160215
0;chocdecor.be;0;0;39664089;4;0;0;0;0;20160115
0;chocdecor.be;0;0;16283655;2;0;0;0;0;20151215
0;chocdecor.be;0;0;39161066;2;0;0;0;0;20151115
0;chocdecor.be;0;0;22327957;1;0;0;0;0;20151015
0;chocdecor.be;0;0;0;0;0;0;0;0;20150915
0;chocdecor.be;0;0;0;0;0;0;0;0;20150815
0;chocdecor.be;0;0;0;0;0;0;0;0;20150715
0;chocdecor.be;0;0;0;0;0;0;0;0;20150615
0;chocdecor.be;0;0;0;0;0;0;0;0;20150515
0;chocdecor.be;0;0;0;0;0;0;0;0;20150415
0;chocdecor.be;0;0;0;0;0;0;0;0;20150315
0;chocdecor.be;0;0;0;0;0;0;0;0;20150215
0;chocdecor.be;0;0;0;0;0;0;0;0;20150115
0;chocdecor.be;0;0;0;0;0;0;0;0;20141215
0;chocdecor.be;0;0;0;0;0;0;0;0;20141115
0;chocdecor.be;0;0;0;0;0;0;0;0;20141015
0;chocdecor.be;0;0;0;0;0;0;0;0;20140915
0;chocdecor.be;0;0;0;0;0;0;0;0;20140815
0;chocdecor.be;0;0;0;0;0;0;0;0;20140715
0;chocdecor.be;0;0;0;0;0;0;0;0;20140615
0;chocdecor.be;0;0;0;0;0;0;0;0;20140515
0;chocdecor.be;0;0;0;0;0;0;0;0;20140415
0;chocdecor.be;0;0;0;0;0;0;0;0;20140315
0;chocdecor.be;0;0;0;0;0;0;0;0;20140215
0;chocdecor.be;0;0;0;0;0;0;0;0;20140115
0;chocdecor.be;0;0;0;0;0;0;0;0;20131215
0;chocdecor.be;0;0;0;0;0;0;0;0;20131115
0;chocdecor.be;0;0;0;0;0;0;0;0;20131015
0;chocdecor.be;0;0;0;0;0;0;0;0;20130915
0;chocdecor.be;0;0;0;0;0;0;0;0;20130815
0;chocdecor.be;0;0;0;0;0;0;0;0;20130715
0;chocdecor.be;0;0;0;0;0;0;0;0;20130615
0;chocdecor.be;0;0;0;0;0;0;0;0;20130515
0;chocdecor.be;0;0;0;0;0;0;0;0;20130415
0;chocdecor.be;0;0;0;0;0;0;0;0;20130315
0;chocdecor.be;0;0;0;0;0;0;0;0;20130215
0;chocdecor.be;0;0;0;0;0;0;0;0;20130115
0;chocdecor.be;0;0;0;0;0;0;0;0;20121215
0;chocdecor.be;0;0;0;0;0;0;0;0;20121115
0;chocdecor.be;0;0;0;0;0;0;0;0;20121015
0;chocdecor.be;0;0;0;0;0;0;0;0;20120915
0;chocdecor.be;0;0;0;0;0;0;0;0;20120815
0;chocdecor.be;0;0;0;0;0;0;0;0;20120715
0;chocdecor.be;0;0;0;0;0;0;0;0;20120615
0;chocdecor.be;0;0;0;0;0;0;0;0;20120515
0;chocdecor.be;0;0;0;0;0;0;0;0;20120415
0;chocdecor.be;0;0;0;0;0;0;0;0;20120315
0;chocdecor.be;0;0;0;0;0;0;0;0;20120215
0;chocdecor.be;0;0;0;0;0;0;0;0;20120115
