Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
106;chubbysauce.com;0;0;3861433;95;41;0;0;0;20210615
88;chubbysauce.com;0;0;4238729;91;17;0;0;0;20210515
64;chubbysauce.com;0;0;4995887;76;2;0;0;0;20210415
63;chubbysauce.com;0;0;4974204;80;15;0;0;0;20210315
143;chubbysauce.com;0;0;3234630;70;52;0;0;0;20210215
125;chubbysauce.com;0;0;3481986;55;10;0;0;0;20210115
42;chubbysauce.com;0;0;6075967;54;2;0;0;0;20201215
59;chubbysauce.com;0;0;5153299;45;8;0;0;0;20201115
36;chubbysauce.com;0;0;6581452;31;18;0;0;0;20201015
34;chubbysauce.com;0;0;6664407;7;0;0;0;0;20200915
32;chubbysauce.com;0;0;6896053;4;0;0;0;0;20200815
32;chubbysauce.com;0;0;6727821;4;0;0;0;0;20200715
32;chubbysauce.com;0;0;6652681;4;0;0;0;0;20200615
32;chubbysauce.com;0;0;6513464;2;0;0;0;0;20200515
32;chubbysauce.com;0;0;6513445;2;0;0;0;0;20200415
32;chubbysauce.com;0;0;6653954;4;0;0;0;0;20200315
0;chubbysauce.com;0;0;22229055;4;0;0;0;0;20200215
2;chubbysauce.com;0;0;15112164;4;4;0;0;0;20200115
0;chubbysauce.com;0;0;68629017;5;0;0;0;0;20191215
0;chubbysauce.com;0;0;24335377;3;0;0;0;0;20191115
0;chubbysauce.com;0;0;24267552;1;0;0;0;0;20191015
0;chubbysauce.com;0;0;53912927;2;0;0;0;0;20190915
0;chubbysauce.com;0;0;38320488;1;0;0;0;0;20190815
0;chubbysauce.com;0;0;61566297;1;0;0;0;0;20190715
0;chubbysauce.com;0;0;23237025;2;0;0;0;0;20190615
0;chubbysauce.com;0;0;44712418;2;0;0;0;0;20190515
0;chubbysauce.com;0;0;17469617;2;0;0;0;0;20190415
0;chubbysauce.com;0;0;14642189;3;0;0;0;0;20190315
0;chubbysauce.com;0;0;29740079;2;0;0;0;0;20190215
0;chubbysauce.com;0;0;43203219;2;0;0;0;0;20190115
0;chubbysauce.com;0;0;36264914;4;0;0;0;0;20181215
0;chubbysauce.com;0;0;40679966;4;0;0;0;0;20181115
1;chubbysauce.com;0;0;12757827;4;0;0;0;0;20181015
1;chubbysauce.com;0;0;12948030;4;0;0;0;0;20180915
10;chubbysauce.com;0;0;7760084;6;0;0;0;0;20180815
61;chubbysauce.com;0;0;3854738;9;0;0;0;0;20180715
6;chubbysauce.com;0;0;9031388;6;0;0;0;0;20180615
12;chubbysauce.com;0;0;7479490;10;0;0;0;0;20180515
11;chubbysauce.com;0;0;7807085;8;0;0;0;0;20180415
7;chubbysauce.com;0;0;8819140;7;0;0;0;0;20180315
1;chubbysauce.com;0;0;12903325;9;0;0;0;0;20180215
0;chubbysauce.com;0;0;33407026;10;0;0;0;0;20180115
0;chubbysauce.com;0;0;37393761;8;0;0;0;0;20171215
0;chubbysauce.com;0;0;39374975;10;0;0;0;0;20171115
0;chubbysauce.com;0;0;27766470;12;0;0;0;0;20171015
0;chubbysauce.com;0;0;32086041;6;0;0;0;0;20170915
2;chubbysauce.com;0;0;10385823;7;0;0;0;0;20170815
3;chubbysauce.com;0;0;9416249;4;0;0;0;0;20170715
3;chubbysauce.com;0;0;9601363;6;0;0;0;0;20170615
2;chubbysauce.com;0;0;10833591;7;0;0;0;0;20170515
4;chubbysauce.com;0;0;9645054;6;0;0;0;0;20170415
0;chubbysauce.com;0;0;46605256;5;0;0;0;0;20170315
0;chubbysauce.com;0;0;45346845;4;0;0;0;0;20170215
0;chubbysauce.com;0;0;52412343;5;0;0;0;0;20170115
