Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1741938;myshopify.com;195019;580;2236;1918821;1191769;580;195019;166834;20210615
1717190;myshopify.com;198992;678;2308;1821440;1156544;678;198992;151166;20210515
1640748;myshopify.com;277967;771;2378;1705520;1063530;771;277967;263671;20210415
1555795;myshopify.com;256139;1041;2411;1611807;898582;1041;256139;204717;20210315
1547838;myshopify.com;138453;830;2442;1692399;896833;830;138453;99494;20210215
1593240;myshopify.com;289751;1357;2345;1789134;918385;1357;289751;398838;20210115
1572055;myshopify.com;200211;1092;2351;1694051;959818;1092;200211;350016;20201215
1570611;myshopify.com;213464;1050;2350;1744924;945315;1050;213464;225432;20201115
1508955;myshopify.com;496234;988;2401;1726646;944016;988;496234;242623;20201015
1512352;myshopify.com;241207;1521;2329;1657829;931038;1521;241207;267439;20200915
1515065;myshopify.com;554712;8072;2338;1673791;1066823;8072;554712;799907;20200815
1455201;myshopify.com;279818;2223;2321;1669612;960602;2223;279818;261631;20200715
1396531;myshopify.com;292547;6940;2396;1577536;943904;6940;292547;402757;20200615
1394384;myshopify.com;162899;1512;2376;1681502;793750;1512;162899;133652;20200515
1421228;myshopify.com;451995;2367;2352;1888944;818243;2367;451995;379799;20200415
1457833;myshopify.com;101274;1106;2254;1861503;1164952;1106;101274;198177;20200315
1445526;myshopify.com;48328;521;2271;1788340;1058454;521;48328;60727;20200215
1463661;myshopify.com;99923;621;2199;1681583;917291;621;99923;335122;20200115
1517957;myshopify.com;99542;934;2148;1742627;1007655;934;99542;116029;20191215
1485905;myshopify.com;126817;926;2136;1874467;1051658;926;126817;114044;20191115
1440899;myshopify.com;123335;1167;2102;1887053;856151;1167;123335;108261;20191015
1373118;myshopify.com;78305;1329;2196;1908205;796061;1329;78305;83802;20190915
1403186;myshopify.com;68950;1293;2141;1887632;866711;1293;68950;79639;20190815
1439791;myshopify.com;22940;895;2109;1918101;857643;895;22940;44172;20190715
1407716;myshopify.com;62429;2760;2153;1785586;829077;2760;62429;67920;20190615
1151617;myshopify.com;35180;1259;2355;1619342;788593;1259;35180;45093;20190515
1124108;myshopify.com;76249;1129;2394;1561048;776922;1129;76249;76007;20190415
1139944;myshopify.com;83284;1247;2357;1375087;832335;1247;83284;85698;20190315
1054046;myshopify.com;60739;1225;2495;1240317;759867;1225;60739;58592;20190215
1043309;myshopify.com;83687;986;2511;1204125;759456;986;83687;84047;20190115
1052045;myshopify.com;216655;1236;2485;1158201;786141;1236;216655;196733;20181215
1061813;myshopify.com;69567;746;2460;1098463;818472;746;69567;75183;20181115
1113033;myshopify.com;81626;958;2315;1203473;817619;958;81626;83937;20181015
1238781;myshopify.com;205683;1105;1972;1417222;919986;1105;205683;245004;20180915
1378756;myshopify.com;241277;604;1899;1666812;1033535;604;241277;298325;20180815
1474722;myshopify.com;135088;241;1787;1836647;1119107;241;135088;196767;20180715
1520421;myshopify.com;51266;425;1720;1851988;1159699;425;51266;79293;20180615
1471189;myshopify.com;6017;180;1777;1822020;1147191;180;6017;45667;20180515
1485516;myshopify.com;7388;171;1769;1742578;1113181;171;7388;51844;20180415
1520706;myshopify.com;12931;118;1727;1648410;1206186;118;12931;26721;20180315
1395851;myshopify.com;1796;104;2004;1530478;1105471;104;1796;4164;20180215
1245028;myshopify.com;2381;78;2147;1176930;842974;78;2381;28048;20180115
1073717;myshopify.com;9204;105;2044;1074938;674318;105;9204;17662;20171215
1108516;myshopify.com;177999;10310;2002;1196800;705683;10310;177999;219972;20171115
942564;myshopify.com;0;0;2325;1286008;566823;0;0;0;20171015
960887;myshopify.com;277688;8066;2290;1317981;592083;8066;277688;713709;20170915
991118;myshopify.com;232854;897;2238;1355782;617182;897;232854;113519;20170815
907685;myshopify.com;9765;314;1986;1275538;572368;314;9765;16690;20170715
1002948;myshopify.com;29666;850;2213;1305971;611189;850;29666;51614;20170615
1184979;myshopify.com;33406;594;2025;1349800;778925;594;33406;34656;20170515
1334688;myshopify.com;66156;1351;1923;1336417;894409;1351;66156;71177;20170415
1189139;myshopify.com;51680;661;1927;1264676;780972;661;51680;55649;20170315
1221349;myshopify.com;22530;548;1868;1214113;777667;548;22530;40970;20170215
1393558;myshopify.com;23746;366;1651;1202645;975624;366;23746;24504;20170115
1327063;myshopify.com;48664;1698;1681;1045853;881166;1698;48664;51024;20161215
805422;myshopify.com;11740;653;2183;794936;529509;653;11740;12395;20161115
750313;myshopify.com;4626;1186;2340;754763;479952;1186;4626;4693;20161015
725793;myshopify.com;5005;2814;2448;763146;454191;2814;5005;4422;20160915
697452;myshopify.com;8004;4102;2572;785131;458029;4102;8004;5241;20160815
673057;myshopify.com;7184;4732;2657;802844;473356;4732;7184;4413;20160715
643912;myshopify.com;11037;4670;2777;785027;445467;4670;11037;6920;20160615
627226;myshopify.com;7406;4150;2842;745543;421340;4150;7406;6822;20160515
556713;myshopify.com;9429;5146;3121;685016;428068;5146;9429;9085;20160415
560600;myshopify.com;8260;5181;2965;681632;413066;5181;8260;6365;20160315
514850;myshopify.com;9612;5821;3222;673199;399722;5821;9612;9018;20160215
527839;myshopify.com;9940;5829;3122;632274;371480;5829;9940;11362;20160115
550372;myshopify.com;6956;5581;2997;636165;361504;5581;6956;6279;20151215
617205;myshopify.com;6576;4876;2744;589710;422810;4876;6576;6912;20151115
456802;myshopify.com;5504;4893;3461;583921;332363;4893;5504;5224;20151015
