Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
460;contoocookcreamery.com;0;0;1690781;156;0;0;0;0;20210615
458;contoocookcreamery.com;0;0;1690008;197;0;0;0;0;20210515
458;contoocookcreamery.com;0;0;1669812;156;0;0;0;0;20210415
458;contoocookcreamery.com;0;0;1646914;134;0;0;0;0;20210315
371;contoocookcreamery.com;0;0;1884924;140;0;0;0;0;20210215
452;contoocookcreamery.com;0;0;1666901;155;0;0;0;0;20210115
451;contoocookcreamery.com;0;0;1653433;136;0;0;0;0;20201215
352;contoocookcreamery.com;0;0;1911755;55;1;0;0;0;20201115
304;contoocookcreamery.com;0;0;2078156;58;0;0;0;0;20201015
315;contoocookcreamery.com;0;0;2005373;72;1;0;0;0;20200915
310;contoocookcreamery.com;0;0;2005668;82;2;0;0;0;20200815
257;contoocookcreamery.com;0;0;2206823;86;0;0;0;0;20200715
261;contoocookcreamery.com;0;0;2178269;83;0;0;0;0;20200615
271;contoocookcreamery.com;0;0;2104663;94;0;0;0;0;20200515
265;contoocookcreamery.com;0;0;2095558;111;0;0;0;0;20200415
258;contoocookcreamery.com;0;0;2144471;98;10;0;0;0;20200315
219;contoocookcreamery.com;0;0;2318745;92;2;0;0;0;20200215
235;contoocookcreamery.com;0;0;2207032;134;7;0;0;0;20200115
217;contoocookcreamery.com;0;0;2291559;123;9;0;0;0;20191215
106;contoocookcreamery.com;0;0;3229225;116;9;0;0;0;20191115
96;contoocookcreamery.com;0;0;3348649;107;9;0;0;0;20191015
91;contoocookcreamery.com;0;0;3411031;118;3;0;0;0;20190915
75;contoocookcreamery.com;0;0;3802944;121;9;0;0;0;20190815
98;contoocookcreamery.com;0;0;3353648;124;10;0;0;0;20190715
97;contoocookcreamery.com;0;0;3318179;105;13;0;0;0;20190615
98;contoocookcreamery.com;0;0;2788813;99;2;0;0;0;20190515
102;contoocookcreamery.com;0;0;2719361;79;2;0;0;0;20190415
