Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
4794;damatoschicago.com;0;0;323037;214;3555;0;0;0;20210615
4648;damatoschicago.com;0;0;329493;200;3624;0;0;0;20210515
4293;damatoschicago.com;0;0;343950;176;3228;0;0;0;20210415
4558;damatoschicago.com;0;0;322289;171;4108;0;0;0;20210315
4630;damatoschicago.com;0;0;319571;170;4179;0;0;0;20210215
4017;damatoschicago.com;5;1;354674;168;2171;1;5;0;20210115
4107;damatoschicago.com;0;0;344124;165;6059;0;0;0;20201215
3674;damatoschicago.com;0;0;370127;157;11226;0;0;0;20201115
3940;damatoschicago.com;0;0;347916;198;9777;0;0;0;20201015
3878;damatoschicago.com;0;0;347463;197;9686;0;0;0;20200915
3518;damatoschicago.com;0;0;372064;198;4473;0;0;0;20200815
3063;damatoschicago.com;0;0;402737;215;3819;0;0;0;20200715
3046;damatoschicago.com;0;0;404199;188;3804;0;0;0;20200615
3085;damatoschicago.com;0;0;396600;192;4115;0;0;0;20200515
3096;damatoschicago.com;0;0;392832;190;4169;0;0;0;20200415
3476;damatoschicago.com;0;0;359446;218;3355;0;0;0;20200315
2566;damatoschicago.com;0;0;445099;252;1878;0;0;0;20200215
3620;damatoschicago.com;0;0;340675;226;3977;0;0;0;20200115
3466;damatoschicago.com;0;0;350569;221;3937;0;0;0;20191215
2609;damatoschicago.com;0;0;416680;235;364;0;0;0;20191115
2592;damatoschicago.com;0;0;409015;222;508;0;0;0;20191015
2505;damatoschicago.com;0;0;411743;260;522;0;0;0;20190915
2459;damatoschicago.com;0;0;415843;253;540;0;0;0;20190815
2481;damatoschicago.com;0;0;419559;249;501;0;0;0;20190715
2481;damatoschicago.com;0;0;417953;243;501;0;0;0;20190615
1953;damatoschicago.com;0;0;440584;239;546;0;0;0;20190515
1979;damatoschicago.com;0;0;435386;259;663;0;0;0;20190415
2082;damatoschicago.com;0;0;424652;274;763;0;0;0;20190315
1936;damatoschicago.com;0;0;443793;227;547;0;0;0;20190215
1318;damatoschicago.com;0;0;586685;230;589;0;0;0;20190115
1305;damatoschicago.com;0;0;591711;210;572;0;0;0;20181215
1362;damatoschicago.com;0;0;576130;227;509;0;0;0;20181115
1261;damatoschicago.com;0;0;613894;225;503;0;0;0;20181015
1203;damatoschicago.com;0;0;635413;203;517;0;0;0;20180915
