Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
23076;dannon.com;0;0;96733;2784;59324;0;0;0;20210615
23406;dannon.com;601;7;95345;2524;60345;7;601;1864;20210515
25792;dannon.com;1434;52;86880;2693;62599;52;1434;4021;20210415
26483;dannon.com;863;12;82700;2523;54096;12;863;1600;20210315
25716;dannon.com;1719;79;80844;3048;49666;79;1719;3210;20210215
23133;dannon.com;2119;90;87513;3385;42725;90;2119;4335;20210115
22104;dannon.com;0;0;89708;3296;41036;0;0;0;20201215
14936;dannon.com;0;0;121828;4030;25808;0;0;0;20201115
15477;dannon.com;0;0;117562;3977;28467;0;0;0;20201015
15462;dannon.com;0;0;116169;3994;22313;0;0;0;20200915
15678;dannon.com;0;0;115025;4219;28135;0;0;0;20200815
14080;dannon.com;0;0;121787;3652;22746;0;0;0;20200715
14983;dannon.com;0;0;116017;4261;25416;0;0;0;20200615
15336;dannon.com;0;0;113375;4583;41407;0;0;0;20200515
10287;dannon.com;0;0;155833;4829;22821;0;0;0;20200415
14786;dannon.com;0;0;116603;4799;58056;0;0;0;20200315
15312;dannon.com;0;0;112630;4611;38139;0;0;0;20200215
15537;dannon.com;0;0;109575;4816;31405;0;0;0;20200115
15326;dannon.com;0;0;110744;4685;30510;0;0;0;20191215
12408;dannon.com;0;0;127284;4725;26636;0;0;0;20191115
13197;dannon.com;0;0;118083;4941;37486;0;0;0;20191015
15707;dannon.com;0;0;101509;4625;38795;0;0;0;20190915
16024;dannon.com;0;0;99514;4346;38745;0;0;0;20190815
15822;dannon.com;0;0;101317;4293;39056;0;0;0;20190715
15988;dannon.com;0;0;100403;3862;38989;0;0;0;20190615
20453;dannon.com;0;0;74634;4403;21667;0;0;0;20190515
21055;dannon.com;0;0;72766;4382;22423;0;0;0;20190415
21150;dannon.com;0;0;73016;4467;22939;0;0;0;20190315
20889;dannon.com;0;0;72953;4516;22279;0;0;0;20190215
21897;dannon.com;0;0;70258;4458;22855;0;0;0;20190115
22309;dannon.com;0;0;69063;4682;23249;0;0;0;20181215
21202;dannon.com;0;0;71904;4921;23391;0;0;0;20181115
22158;dannon.com;0;0;69422;4865;23167;0;0;0;20181015
23147;dannon.com;0;0;64980;4844;25568;0;0;0;20180915
22156;dannon.com;3;1;69374;4317;24766;1;3;0;20180815
19174;dannon.com;0;0;77874;4054;23159;0;0;0;20180715
