Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
5148;dearbornmarket.com;0;0;305757;1106;173;0;0;0;20210615
5574;dearbornmarket.com;0;0;286012;1194;1164;0;0;0;20210515
3940;dearbornmarket.com;0;0;367410;681;401;0;0;0;20210415
5334;dearbornmarket.com;0;0;284697;297;257;0;0;0;20210315
5316;dearbornmarket.com;0;0;286645;836;292;0;0;0;20210215
5258;dearbornmarket.com;0;0;287344;75;0;0;0;0;20210115
5335;dearbornmarket.com;0;0;280104;322;0;0;0;0;20201215
5564;dearbornmarket.com;0;0;267772;968;197;0;0;0;20201115
5658;dearbornmarket.com;0;0;262128;976;49;0;0;0;20201015
4917;dearbornmarket.com;0;0;289129;978;31;0;0;0;20200915
4704;dearbornmarket.com;0;0;297781;1027;422;0;0;0;20200815
4463;dearbornmarket.com;0;0;301708;981;629;0;0;0;20200715
4516;dearbornmarket.com;0;0;299014;967;644;0;0;0;20200615
3960;dearbornmarket.com;0;0;328147;933;66;0;0;0;20200515
4063;dearbornmarket.com;0;0;320019;1148;116;0;0;0;20200415
4193;dearbornmarket.com;0;0;311883;1382;646;0;0;0;20200315
4052;dearbornmarket.com;0;0;316903;1378;237;0;0;0;20200215
3997;dearbornmarket.com;0;0;315940;1556;156;0;0;0;20200115
3978;dearbornmarket.com;0;0;316023;1576;131;0;0;0;20191215
3802;dearbornmarket.com;0;0;316006;1537;449;0;0;0;20191115
4271;dearbornmarket.com;0;0;282141;1547;1184;0;0;0;20191015
4383;dearbornmarket.com;0;0;271348;1462;1149;0;0;0;20190915
3774;dearbornmarket.com;0;0;302303;1456;997;0;0;0;20190815
3952;dearbornmarket.com;0;0;296279;1597;1213;0;0;0;20190715
3600;dearbornmarket.com;0;0;316966;1561;942;0;0;0;20190615
3195;dearbornmarket.com;0;0;308551;1432;497;0;0;0;20190515
3457;dearbornmarket.com;0;0;290532;1479;812;0;0;0;20190415
3134;dearbornmarket.com;0;0;315854;1379;482;0;0;0;20190315
3168;dearbornmarket.com;0;0;310430;1291;497;0;0;0;20190215
3064;dearbornmarket.com;0;0;319391;1293;422;0;0;0;20190115
3046;dearbornmarket.com;0;0;321425;1357;465;0;0;0;20181215
3159;dearbornmarket.com;0;0;313232;1465;485;0;0;0;20181115
