Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
939414;ewg.org;7011;59;3847;631259;1581181;59;7011;14869;20210615
923846;ewg.org;4954;107;3915;599316;1593027;107;4954;11808;20210515
946977;ewg.org;7169;153;3799;582914;1513449;153;7169;14345;20210415
924767;ewg.org;5807;124;3753;617427;1454957;124;5807;12608;20210315
921808;ewg.org;7752;135;3766;648527;1522995;135;7752;15530;20210215
980464;ewg.org;7638;143;3553;691726;1753480;143;7638;21609;20210115
948479;ewg.org;10742;229;3597;685575;1756758;229;10742;36651;20201215
933514;ewg.org;7980;245;3666;658133;1861281;245;7980;22382;20201115
899005;ewg.org;6683;197;3740;664499;1773966;197;6683;19682;20201015
856562;ewg.org;9067;178;3839;636388;1621339;178;9067;27469;20200915
792072;ewg.org;67710;4340;4049;653700;1611716;4340;67710;162925;20200815
784266;ewg.org;62772;4011;3978;676784;1641391;4011;62772;165570;20200715
776201;ewg.org;56902;2771;3994;714811;1614930;2771;56902;184900;20200615
768374;ewg.org;10294;442;4048;730804;1518954;442;10294;30052;20200515
772502;ewg.org;9319;285;4052;736262;1452928;285;9319;17786;20200415
763862;ewg.org;8954;285;4011;724140;1515000;285;8954;24380;20200315
751863;ewg.org;10194;242;4089;713196;1363070;242;10194;30053;20200215
822670;ewg.org;11079;247;3690;741433;1501396;247;11079;34870;20200115
779213;ewg.org;34371;617;3935;729968;1390639;617;34371;94395;20191215
708065;ewg.org;10550;255;4196;672270;1187525;255;10550;31402;20191115
753046;ewg.org;9132;175;3839;661495;919912;175;9132;13452;20191015
764484;ewg.org;16199;554;3759;656021;974147;554;16199;23397;20190915
787259;ewg.org;10135;386;3683;653818;988894;386;10135;13134;20190815
786155;ewg.org;14609;206;3645;676472;989510;206;14609;21283;20190715
880978;ewg.org;11274;368;3322;647908;1107396;368;11274;14903;20190615
660933;ewg.org;8317;82;3899;551595;664912;82;8317;7129;20190515
683250;ewg.org;1672;5;3787;530719;656866;5;1672;764;20190415
689913;ewg.org;6820;49;3730;504519;674234;49;6820;5475;20190315
608437;ewg.org;11534;85;4151;421302;598248;85;11534;6520;20190215
628461;ewg.org;14290;88;4012;413329;632482;88;14290;8365;20190115
609927;ewg.org;17254;120;4115;421592;603612;120;17254;8666;20181215
624546;ewg.org;7164;96;4001;425216;602549;96;7164;4930;20181115
