Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
7841;bakersdelight.com.au;0;0;220046;5174;3085;0;0;0;20210615
7799;bakersdelight.com.au;0;0;220170;4239;3064;0;0;0;20210515
7791;bakersdelight.com.au;0;0;216597;4627;2910;0;0;0;20210415
7959;bakersdelight.com.au;0;0;208664;4863;3131;0;0;0;20210315
7979;bakersdelight.com.au;0;0;207363;4710;3152;0;0;0;20210215
8056;bakersdelight.com.au;0;0;204450;4887;2514;0;0;0;20210115
7753;bakersdelight.com.au;0;0;208021;4524;3521;0;0;0;20201215
7777;bakersdelight.com.au;0;0;205088;4154;2625;0;0;0;20201115
7504;bakersdelight.com.au;0;0;209422;4754;2854;0;0;0;20201015
8398;bakersdelight.com.au;0;0;189218;4968;3598;0;0;0;20200915
8449;bakersdelight.com.au;0;0;187827;5184;23;0;0;0;20200815
7874;bakersdelight.com.au;0;0;193346;4315;8;0;0;0;20200715
8081;bakersdelight.com.au;0;0;189227;4502;22;0;0;0;20200615
7303;bakersdelight.com.au;0;0;203580;4036;86;0;0;0;20200515
7034;bakersdelight.com.au;0;0;209699;4424;87;0;0;0;20200415
7074;bakersdelight.com.au;0;0;207998;3669;112;0;0;0;20200315
6525;bakersdelight.com.au;0;0;219673;4084;3558;0;0;0;20200215
6668;bakersdelight.com.au;0;0;213111;5667;1395;0;0;0;20200115
6572;bakersdelight.com.au;0;0;215131;5526;1384;0;0;0;20191215
3892;bakersdelight.com.au;0;0;310506;4550;212;0;0;0;20191115
4333;bakersdelight.com.au;0;0;279079;3052;226;0;0;0;20191015
3859;bakersdelight.com.au;0;0;298626;3201;199;0;0;0;20190915
3756;bakersdelight.com.au;1273;1;303404;3265;212;1;1273;1108;20190815
3704;bakersdelight.com.au;3768;5;311236;3223;197;5;3768;2545;20190715
3458;bakersdelight.com.au;0;0;326785;2926;173;0;0;0;20190615
2404;bakersdelight.com.au;0;0;379717;3049;935;0;0;0;20190515
2649;bakersdelight.com.au;0;0;352650;5391;962;0;0;0;20190415
2663;bakersdelight.com.au;0;0;355502;3752;968;0;0;0;20190315
2771;bakersdelight.com.au;0;0;342525;4945;935;0;0;0;20190215
2834;bakersdelight.com.au;0;0;338254;3771;942;0;0;0;20190115
2662;bakersdelight.com.au;0;0;354760;3248;947;0;0;0;20181215
2801;bakersdelight.com.au;0;0;342281;3010;959;0;0;0;20181115
2923;bakersdelight.com.au;0;0;334115;4352;975;0;0;0;20181015
3230;bakersdelight.com.au;0;0;308459;5092;1038;0;0;0;20180915
3218;bakersdelight.com.au;0;0;315058;5401;1040;0;0;0;20180815
3495;bakersdelight.com.au;0;0;297836;6417;1115;0;0;0;20180715
3103;bakersdelight.com.au;0;0;324746;6200;1203;0;0;0;20180615
2907;bakersdelight.com.au;0;0;339785;6290;1177;0;0;0;20180515
2897;bakersdelight.com.au;0;0;337595;5956;1027;0;0;0;20180415
2889;bakersdelight.com.au;0;0;340164;5907;1067;0;0;0;20180315
2908;bakersdelight.com.au;0;0;345744;8689;1282;0;0;0;20180215
1463;bakersdelight.com.au;0;0;539956;8100;487;0;0;0;20180115
1171;bakersdelight.com.au;0;0;579800;7858;556;0;0;0;20171215
1232;bakersdelight.com.au;0;0;557669;7697;356;0;0;0;20171115
1255;bakersdelight.com.au;0;0;550361;7356;418;0;0;0;20171015
1391;bakersdelight.com.au;0;7;514843;7709;378;7;0;0;20170915
1204;bakersdelight.com.au;0;0;578561;6629;160;0;0;0;20170815
1233;bakersdelight.com.au;0;0;539188;6213;96;0;0;0;20170715
1435;bakersdelight.com.au;0;4;522914;6414;185;4;0;0;20170615
1569;bakersdelight.com.au;0;9;530783;5199;159;9;0;0;20170515
1436;bakersdelight.com.au;2;11;603321;4603;175;11;2;0;20170415
1123;bakersdelight.com.au;0;3;637888;4467;146;3;0;0;20170315
1174;bakersdelight.com.au;4;6;625820;4924;187;6;4;0;20170215
1272;bakersdelight.com.au;0;1;597011;5431;217;1;0;0;20170115
1084;bakersdelight.com.au;3;20;664038;4705;511;20;3;0;20161215
768;bakersdelight.com.au;0;9;654685;3458;31;9;0;0;20161115
787;bakersdelight.com.au;0;14;630012;3184;38;14;0;0;20161015
684;bakersdelight.com.au;0;10;688294;3284;32;10;0;0;20160915
844;bakersdelight.com.au;0;8;605441;3991;25;8;0;0;20160815
886;bakersdelight.com.au;0;12;584006;3867;55;12;0;0;20160715
790;bakersdelight.com.au;0;6;633156;3696;27;6;0;0;20160615
828;bakersdelight.com.au;0;0;611747;3590;29;0;0;0;20160515
886;bakersdelight.com.au;0;0;569268;3447;368;0;0;0;20160415
876;bakersdelight.com.au;0;0;564285;3437;368;0;0;0;20160315
874;bakersdelight.com.au;0;0;562548;3419;388;0;0;0;20160215
869;bakersdelight.com.au;0;0;563649;3224;388;0;0;0;20160115
739;bakersdelight.com.au;0;94;634225;2652;396;94;0;0;20151215
763;bakersdelight.com.au;0;95;629070;2460;265;95;0;0;20151115
775;bakersdelight.com.au;0;12;597742;2274;247;12;0;0;20151015
314;bakersdelight.com.au;0;0;1012398;41;136;0;0;0;20150915
358;bakersdelight.com.au;0;0;945968;52;218;0;0;0;20150815
376;bakersdelight.com.au;0;0;914948;44;200;0;0;0;20150715
412;bakersdelight.com.au;0;0;853884;48;164;0;0;0;20150615
453;bakersdelight.com.au;0;0;758436;43;243;0;0;0;20150515
472;bakersdelight.com.au;0;0;727728;38;756;0;0;0;20150415
481;bakersdelight.com.au;0;0;703432;36;1142;0;0;0;20150315
513;bakersdelight.com.au;0;0;680333;37;1140;0;0;0;20150215
441;bakersdelight.com.au;0;0;751010;33;1146;0;0;0;20150115
346;bakersdelight.com.au;0;0;874772;29;1250;0;0;0;20141215
411;bakersdelight.com.au;0;0;837747;38;1318;0;0;0;20141115
431;bakersdelight.com.au;0;0;825175;47;699;0;0;0;20141015
563;bakersdelight.com.au;0;0;698476;51;732;0;0;0;20140915
547;bakersdelight.com.au;0;0;715839;46;701;0;0;0;20140815
560;bakersdelight.com.au;0;0;548788;80;532;0;0;0;20140715
554;bakersdelight.com.au;0;0;550102;76;525;0;0;0;20140615
565;bakersdelight.com.au;0;0;538626;65;412;0;0;0;20140515
570;bakersdelight.com.au;0;0;537503;69;400;0;0;0;20140415
546;bakersdelight.com.au;0;0;555599;60;406;0;0;0;20140315
597;bakersdelight.com.au;0;24;509007;69;864;24;0;0;20140215
728;bakersdelight.com.au;0;19;453138;68;840;19;0;0;20140115
725;bakersdelight.com.au;0;0;446680;60;841;0;0;0;20131215
665;bakersdelight.com.au;0;0;429594;68;577;0;0;0;20131115
215;bakersdelight.com.au;0;0;680486;75;576;0;0;0;20131015
210;bakersdelight.com.au;0;0;695448;69;568;0;0;0;20130915
250;bakersdelight.com.au;0;0;638373;81;621;0;0;0;20130815
214;bakersdelight.com.au;0;0;705010;79;579;0;0;0;20130715
192;bakersdelight.com.au;0;0;735970;63;323;0;0;0;20130615
249;bakersdelight.com.au;0;0;653112;46;375;0;0;0;20130515
224;bakersdelight.com.au;0;0;735278;49;417;0;0;0;20130415
269;bakersdelight.com.au;0;0;669130;43;379;0;0;0;20130315
271;bakersdelight.com.au;0;0;700094;34;426;0;0;0;20130215
254;bakersdelight.com.au;0;0;743943;45;328;0;0;0;20130115
205;bakersdelight.com.au;0;0;857419;43;259;0;0;0;20121215
192;bakersdelight.com.au;0;0;893747;43;233;0;0;0;20121115
227;bakersdelight.com.au;0;0;790797;59;245;0;0;0;20121015
181;bakersdelight.com.au;0;0;970140;56;124;0;0;0;20120915
173;bakersdelight.com.au;0;0;996849;56;80;0;0;0;20120815
152;bakersdelight.com.au;0;0;1108425;39;50;0;0;0;20120715
155;bakersdelight.com.au;0;0;1109320;35;49;0;0;0;20120615
186;bakersdelight.com.au;0;0;1108682;49;163;0;0;0;20120515
157;bakersdelight.com.au;0;0;1284159;48;146;0;0;0;20120415
125;bakersdelight.com.au;0;0;1468504;36;46;0;0;0;20120315
121;bakersdelight.com.au;0;0;1429742;32;40;0;0;0;20120215
117;bakersdelight.com.au;0;0;1439698;26;37;0;0;0;20120115
