Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
11;dioneicecream.com;0;0;10033553;9;0;0;0;0;20210615
8;dioneicecream.com;0;0;10898081;7;0;0;0;0;20210515
8;dioneicecream.com;0;0;10691772;8;0;0;0;0;20210415
6;dioneicecream.com;0;0;11495832;6;0;0;0;0;20210315
4;dioneicecream.com;0;0;12243452;6;0;0;0;0;20210215
6;dioneicecream.com;0;0;11228434;6;0;0;0;0;20210115
10;dioneicecream.com;0;0;9891058;12;0;0;0;0;20201215
10;dioneicecream.com;0;0;10211715;24;0;0;0;0;20201115
6;dioneicecream.com;0;0;11374922;17;0;0;0;0;20201015
0;dioneicecream.com;0;0;62981267;21;9;0;0;0;20200915
0;dioneicecream.com;0;0;46352177;23;0;0;0;0;20200815
2;dioneicecream.com;0;0;15253557;28;0;0;0;0;20200715
0;dioneicecream.com;0;0;35495535;23;0;0;0;0;20200615
0;dioneicecream.com;0;0;31880299;26;0;0;0;0;20200515
3;dioneicecream.com;0;0;13301969;22;0;0;0;0;20200415
4;dioneicecream.com;0;0;12222778;40;0;0;0;0;20200315
0;dioneicecream.com;0;0;23148120;46;0;0;0;0;20200215
0;dioneicecream.com;0;0;64737279;38;0;0;0;0;20200115
8;dioneicecream.com;0;0;10520222;42;11;0;0;0;20191215
8;dioneicecream.com;0;0;10151299;41;2;0;0;0;20191115
0;dioneicecream.com;0;0;39326269;29;0;0;0;0;20191015
0;dioneicecream.com;0;0;50682594;26;0;0;0;0;20190915
0;dioneicecream.com;0;0;29896677;22;0;0;0;0;20190815
0;dioneicecream.com;0;0;54864906;17;0;0;0;0;20190715
1;dioneicecream.com;0;0;16784550;18;0;0;0;0;20190615
0;dioneicecream.com;0;0;53046944;3;0;0;0;0;20190515
0;dioneicecream.com;0;0;20757874;2;0;0;0;0;20190415
0;dioneicecream.com;0;0;49952732;1;0;0;0;0;20190315
0;dioneicecream.com;0;0;20056234;2;0;0;0;0;20190215
0;dioneicecream.com;0;0;38968469;4;0;0;0;0;20190115
0;dioneicecream.com;0;0;46390031;4;0;0;0;0;20181215
0;dioneicecream.com;0;0;37259948;3;0;0;0;0;20181115
0;dioneicecream.com;0;0;25843057;4;0;0;0;0;20181015
1;dioneicecream.com;0;0;13499189;5;0;0;0;0;20180915
2;dioneicecream.com;0;0;12710434;7;0;0;0;0;20180815
22;dioneicecream.com;0;0;6098556;19;3;0;0;0;20180715
104;dioneicecream.com;0;0;2934383;103;59;0;0;0;20180615
103;dioneicecream.com;0;0;2944781;148;59;0;0;0;20180515
22;dioneicecream.com;0;0;6208139;148;4;0;0;0;20180415
22;dioneicecream.com;0;0;6178602;119;4;0;0;0;20180315
9;dioneicecream.com;0;0;7782988;132;1;0;0;0;20180215
10;dioneicecream.com;0;0;7678932;122;8;0;0;0;20180115
6;dioneicecream.com;0;0;8197731;111;6;0;0;0;20171215
35;dioneicecream.com;0;0;4561294;131;9;0;0;0;20171115
14;dioneicecream.com;0;0;6244911;121;5;0;0;0;20171015
47;dioneicecream.com;0;0;3947620;128;72;0;0;0;20170915
21;dioneicecream.com;0;0;5476664;146;5;0;0;0;20170815
9;dioneicecream.com;0;0;6941178;156;2;0;0;0;20170715
15;dioneicecream.com;0;0;6069703;106;17;0;0;0;20170615
96;dioneicecream.com;0;0;2873396;88;24;0;0;0;20170515
72;dioneicecream.com;0;0;3425574;55;18;0;0;0;20170415
112;dioneicecream.com;0;0;2596671;11;28;0;0;0;20170315
0;dioneicecream.com;0;0;31151867;1;0;0;0;0;20170215
0;dioneicecream.com;0;0;0;0;0;0;0;0;20170115
0;dioneicecream.com;0;0;0;0;0;0;0;0;20161215
0;dioneicecream.com;0;0;0;0;0;0;0;0;20161115
0;dioneicecream.com;0;0;0;0;0;0;0;0;20161015
0;dioneicecream.com;0;0;0;0;0;0;0;0;20160915
0;dioneicecream.com;0;0;0;0;0;0;0;0;20160815
0;dioneicecream.com;0;0;0;0;0;0;0;0;20160715
0;dioneicecream.com;0;0;0;0;0;0;0;0;20160615
0;dioneicecream.com;0;0;0;0;0;0;0;0;20160515
0;dioneicecream.com;0;0;0;0;0;0;0;0;20160415
0;dioneicecream.com;0;0;0;0;0;0;0;0;20160315
0;dioneicecream.com;0;0;0;0;0;0;0;0;20160215
0;dioneicecream.com;0;0;0;0;0;0;0;0;20160115
0;dioneicecream.com;0;0;0;0;0;0;0;0;20151215
0;dioneicecream.com;0;0;0;0;0;0;0;0;20151115
0;dioneicecream.com;0;0;0;0;0;0;0;0;20151015
0;dioneicecream.com;0;0;0;0;0;0;0;0;20150915
0;dioneicecream.com;0;0;0;0;0;0;0;0;20150815
0;dioneicecream.com;0;0;0;0;0;0;0;0;20150715
0;dioneicecream.com;0;0;0;0;0;0;0;0;20150615
0;dioneicecream.com;0;0;0;0;0;0;0;0;20150515
0;dioneicecream.com;0;0;0;0;0;0;0;0;20150415
0;dioneicecream.com;0;0;0;0;0;0;0;0;20150315
0;dioneicecream.com;0;0;0;0;0;0;0;0;20150215
0;dioneicecream.com;0;0;0;0;0;0;0;0;20150115
0;dioneicecream.com;0;0;0;0;0;0;0;0;20141215
0;dioneicecream.com;0;0;0;0;0;0;0;0;20141115
0;dioneicecream.com;0;0;0;0;0;0;0;0;20141015
0;dioneicecream.com;0;0;0;0;0;0;0;0;20140915
0;dioneicecream.com;0;0;0;0;0;0;0;0;20140815
0;dioneicecream.com;0;0;0;0;0;0;0;0;20140715
0;dioneicecream.com;0;0;0;0;0;0;0;0;20140615
0;dioneicecream.com;0;0;0;0;0;0;0;0;20140515
0;dioneicecream.com;0;0;0;0;0;0;0;0;20140415
0;dioneicecream.com;0;0;0;0;0;0;0;0;20140315
0;dioneicecream.com;0;0;0;0;0;0;0;0;20140215
0;dioneicecream.com;0;0;0;0;0;0;0;0;20140115
0;dioneicecream.com;0;0;0;0;0;0;0;0;20131215
0;dioneicecream.com;0;0;0;0;0;0;0;0;20131115
0;dioneicecream.com;0;0;0;0;0;0;0;0;20131015
0;dioneicecream.com;0;0;0;0;0;0;0;0;20130915
0;dioneicecream.com;0;0;0;0;0;0;0;0;20130815
0;dioneicecream.com;0;0;0;0;0;0;0;0;20130715
0;dioneicecream.com;0;0;0;0;0;0;0;0;20130615
0;dioneicecream.com;0;0;0;0;0;0;0;0;20130515
0;dioneicecream.com;0;0;0;0;0;0;0;0;20130415
0;dioneicecream.com;0;0;0;0;0;0;0;0;20130315
0;dioneicecream.com;0;0;0;0;0;0;0;0;20130215
0;dioneicecream.com;0;0;0;0;0;0;0;0;20130115
0;dioneicecream.com;0;0;0;0;0;0;0;0;20121215
0;dioneicecream.com;0;0;0;0;0;0;0;0;20121115
0;dioneicecream.com;0;0;0;0;0;0;0;0;20121015
0;dioneicecream.com;0;0;0;0;0;0;0;0;20120915
0;dioneicecream.com;0;0;0;0;0;0;0;0;20120815
0;dioneicecream.com;0;0;0;0;0;0;0;0;20120715
0;dioneicecream.com;0;0;0;0;0;0;0;0;20120615
0;dioneicecream.com;0;0;0;0;0;0;0;0;20120515
0;dioneicecream.com;0;0;0;0;0;0;0;0;20120415
0;dioneicecream.com;0;0;0;0;0;0;0;0;20120315
0;dioneicecream.com;0;0;0;0;0;0;0;0;20120215
0;dioneicecream.com;0;0;0;0;0;0;0;0;20120115
