Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
14;donbernardomanchego.com;0;0;9485413;12;0;0;0;0;20210615
14;donbernardomanchego.com;0;0;9417139;5;0;0;0;0;20210515
10;donbernardomanchego.com;0;0;10026033;6;0;0;0;0;20210415
10;donbernardomanchego.com;0;0;9958315;7;0;0;0;0;20210315
14;donbernardomanchego.com;0;0;9165542;9;0;0;0;0;20210215
10;donbernardomanchego.com;0;0;10001606;9;0;0;0;0;20210115
11;donbernardomanchego.com;0;0;9630001;6;0;0;0;0;20201215
11;donbernardomanchego.com;0;0;9984838;6;0;0;0;0;20201115
11;donbernardomanchego.com;0;0;9861926;4;0;0;0;0;20201015
19;donbernardomanchego.com;0;0;8411426;4;0;0;0;0;20200915
19;donbernardomanchego.com;0;0;8336590;4;0;0;0;0;20200815
19;donbernardomanchego.com;0;0;8277441;7;0;0;0;0;20200715
11;donbernardomanchego.com;0;0;9558275;3;0;0;0;0;20200615
11;donbernardomanchego.com;0;0;9481533;5;0;0;0;0;20200515
11;donbernardomanchego.com;0;0;9414943;4;0;0;0;0;20200415
19;donbernardomanchego.com;0;0;7955113;4;0;0;0;0;20200315
11;donbernardomanchego.com;0;0;9285851;4;0;0;0;0;20200215
14;donbernardomanchego.com;0;0;8693910;5;0;0;0;0;20200115
14;donbernardomanchego.com;0;0;8892913;7;0;0;0;0;20191215
14;donbernardomanchego.com;0;0;8386536;5;0;0;0;0;20191115
8;donbernardomanchego.com;0;0;9912870;4;0;0;0;0;20191015
8;donbernardomanchego.com;0;0;10139135;5;0;0;0;0;20190915
6;donbernardomanchego.com;0;0;10991945;5;0;0;0;0;20190815
8;donbernardomanchego.com;0;0;10259249;5;0;0;0;0;20190715
8;donbernardomanchego.com;0;0;9886868;1;0;0;0;0;20190615
42;donbernardomanchego.com;0;0;4240156;2;77;0;0;0;20190515
42;donbernardomanchego.com;0;0;4260232;2;77;0;0;0;20190415
