Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
0;drscobii.com;0;0;65820712;43;0;0;0;0;20210615
0;drscobii.com;0;0;46921237;51;0;0;0;0;20210515
0;drscobii.com;0;0;40827207;41;0;0;0;0;20210415
0;drscobii.com;0;0;34712755;61;0;0;0;0;20210315
0;drscobii.com;0;0;24539265;59;0;0;0;0;20210215
0;drscobii.com;0;0;44896625;54;0;0;0;0;20210115
0;drscobii.com;0;0;59989692;53;0;0;0;0;20201215
0;drscobii.com;0;0;48266962;41;0;0;0;0;20201115
0;drscobii.com;0;0;23851489;39;0;0;0;0;20201015
0;drscobii.com;0;0;42370923;38;0;0;0;0;20200915
0;drscobii.com;0;0;30380912;31;2;0;0;0;20200815
0;drscobii.com;0;0;25892878;38;0;0;0;0;20200715
0;drscobii.com;0;0;19926948;27;0;0;0;0;20200615
0;drscobii.com;0;0;51825788;19;0;0;0;0;20200515
0;drscobii.com;0;0;44901094;10;0;0;0;0;20200415
0;drscobii.com;0;0;34788778;4;0;0;0;0;20200315
0;drscobii.com;0;0;54352973;2;0;0;0;0;20200215
0;drscobii.com;0;0;65861069;1;0;0;0;0;20200115
0;drscobii.com;0;0;0;0;0;0;0;0;20191215
0;drscobii.com;0;0;0;0;0;0;0;0;20191115
0;drscobii.com;0;0;0;0;0;0;0;0;20191015
0;drscobii.com;0;0;0;0;0;0;0;0;20190915
0;drscobii.com;0;0;0;0;0;0;0;0;20190815
0;drscobii.com;0;0;0;0;0;0;0;0;20190715
0;drscobii.com;0;0;0;0;0;0;0;0;20190615
0;drscobii.com;0;0;0;0;0;0;0;0;20190515
0;drscobii.com;0;0;0;0;0;0;0;0;20190415
0;drscobii.com;0;0;0;0;0;0;0;0;20190315
0;drscobii.com;0;0;0;0;0;0;0;0;20190215
0;drscobii.com;0;0;0;0;0;0;0;0;20190115
0;drscobii.com;0;0;0;0;0;0;0;0;20181215
0;drscobii.com;0;0;0;0;0;0;0;0;20181115
0;drscobii.com;0;0;0;0;0;0;0;0;20181015
0;drscobii.com;0;0;0;0;0;0;0;0;20180915
0;drscobii.com;0;0;0;0;0;0;0;0;20180815
0;drscobii.com;0;0;0;0;0;0;0;0;20180715
0;drscobii.com;0;0;0;0;0;0;0;0;20180615
0;drscobii.com;0;0;0;0;0;0;0;0;20180515
0;drscobii.com;0;0;0;0;0;0;0;0;20180415
0;drscobii.com;0;0;0;0;0;0;0;0;20180315
0;drscobii.com;0;0;0;0;0;0;0;0;20180215
0;drscobii.com;0;0;0;0;0;0;0;0;20180115
0;drscobii.com;0;0;0;0;0;0;0;0;20171215
0;drscobii.com;0;0;0;0;0;0;0;0;20171115
0;drscobii.com;0;0;0;0;0;0;0;0;20171015
0;drscobii.com;0;0;0;0;0;0;0;0;20170915
0;drscobii.com;0;0;0;0;0;0;0;0;20170815
0;drscobii.com;0;0;0;0;0;0;0;0;20170715
0;drscobii.com;0;0;0;0;0;0;0;0;20170615
0;drscobii.com;0;0;0;0;0;0;0;0;20170515
0;drscobii.com;0;0;0;0;0;0;0;0;20170415
0;drscobii.com;0;0;0;0;0;0;0;0;20170315
0;drscobii.com;0;0;0;0;0;0;0;0;20170215
0;drscobii.com;0;0;0;0;0;0;0;0;20170115
0;drscobii.com;0;0;0;0;0;0;0;0;20161215
0;drscobii.com;0;0;0;0;0;0;0;0;20161115
0;drscobii.com;0;0;0;0;0;0;0;0;20161015
0;drscobii.com;0;0;0;0;0;0;0;0;20160915
0;drscobii.com;0;0;0;0;0;0;0;0;20160815
0;drscobii.com;0;0;0;0;0;0;0;0;20160715
0;drscobii.com;0;0;0;0;0;0;0;0;20160615
0;drscobii.com;0;0;0;0;0;0;0;0;20160515
0;drscobii.com;0;0;0;0;0;0;0;0;20160415
0;drscobii.com;0;0;0;0;0;0;0;0;20160315
0;drscobii.com;0;0;0;0;0;0;0;0;20160215
0;drscobii.com;0;0;0;0;0;0;0;0;20160115
0;drscobii.com;0;0;0;0;0;0;0;0;20151215
0;drscobii.com;0;0;0;0;0;0;0;0;20151115
0;drscobii.com;0;0;0;0;0;0;0;0;20151015
0;drscobii.com;0;0;0;0;0;0;0;0;20150915
0;drscobii.com;0;0;0;0;0;0;0;0;20150815
0;drscobii.com;0;0;0;0;0;0;0;0;20150715
0;drscobii.com;0;0;0;0;0;0;0;0;20150615
0;drscobii.com;0;0;0;0;0;0;0;0;20150515
0;drscobii.com;0;0;0;0;0;0;0;0;20150415
0;drscobii.com;0;0;0;0;0;0;0;0;20150315
0;drscobii.com;0;0;0;0;0;0;0;0;20150215
0;drscobii.com;0;0;0;0;0;0;0;0;20150115
0;drscobii.com;0;0;0;0;0;0;0;0;20141215
0;drscobii.com;0;0;0;0;0;0;0;0;20141115
0;drscobii.com;0;0;0;0;0;0;0;0;20141015
0;drscobii.com;0;0;0;0;0;0;0;0;20140915
0;drscobii.com;0;0;0;0;0;0;0;0;20140815
0;drscobii.com;0;0;0;0;0;0;0;0;20140715
0;drscobii.com;0;0;0;0;0;0;0;0;20140615
0;drscobii.com;0;0;0;0;0;0;0;0;20140515
0;drscobii.com;0;0;0;0;0;0;0;0;20140415
0;drscobii.com;0;0;0;0;0;0;0;0;20140315
0;drscobii.com;0;0;0;0;0;0;0;0;20140215
0;drscobii.com;0;0;0;0;0;0;0;0;20140115
0;drscobii.com;0;0;0;0;0;0;0;0;20131215
0;drscobii.com;0;0;0;0;0;0;0;0;20131115
0;drscobii.com;0;0;0;0;0;0;0;0;20131015
0;drscobii.com;0;0;0;0;0;0;0;0;20130915
0;drscobii.com;0;0;0;0;0;0;0;0;20130815
0;drscobii.com;0;0;0;0;0;0;0;0;20130715
0;drscobii.com;0;0;0;0;0;0;0;0;20130615
0;drscobii.com;0;0;0;0;0;0;0;0;20130515
0;drscobii.com;0;0;0;0;0;0;0;0;20130415
0;drscobii.com;0;0;0;0;0;0;0;0;20130315
0;drscobii.com;0;0;0;0;0;0;0;0;20130215
0;drscobii.com;0;0;0;0;0;0;0;0;20130115
0;drscobii.com;0;0;0;0;0;0;0;0;20121215
0;drscobii.com;0;0;0;0;0;0;0;0;20121115
0;drscobii.com;0;0;0;0;0;0;0;0;20121015
0;drscobii.com;0;0;0;0;0;0;0;0;20120915
0;drscobii.com;0;0;0;0;0;0;0;0;20120815
0;drscobii.com;0;0;0;0;0;0;0;0;20120715
0;drscobii.com;0;0;0;0;0;0;0;0;20120615
0;drscobii.com;0;0;0;0;0;0;0;0;20120515
0;drscobii.com;0;0;0;0;0;0;0;0;20120415
0;drscobii.com;0;0;0;0;0;0;0;0;20120315
0;drscobii.com;0;0;0;0;0;0;0;0;20120215
0;drscobii.com;0;0;0;0;0;0;0;0;20120115
