Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
56;drapervalleyvineyard.com;0;0;5354107;7;0;0;0;0;20210615
59;drapervalleyvineyard.com;0;0;5230851;11;0;0;0;0;20210515
56;drapervalleyvineyard.com;0;0;5299326;9;0;0;0;0;20210415
56;drapervalleyvineyard.com;0;0;5338686;7;0;0;0;0;20210315
57;drapervalleyvineyard.com;0;0;5262628;8;0;0;0;0;20210215
56;drapervalleyvineyard.com;0;0;5331703;8;0;0;0;0;20210115
56;drapervalleyvineyard.com;0;0;5307782;6;0;0;0;0;20201215
59;drapervalleyvineyard.com;0;0;5129195;13;0;0;0;0;20201115
57;drapervalleyvineyard.com;0;0;5222348;12;0;0;0;0;20201015
57;drapervalleyvineyard.com;0;0;5209909;11;0;0;0;0;20200915
56;drapervalleyvineyard.com;0;0;5254974;12;0;0;0;0;20200815
56;drapervalleyvineyard.com;0;0;5130999;15;0;0;0;0;20200715
56;drapervalleyvineyard.com;0;0;5178385;11;0;0;0;0;20200615
56;drapervalleyvineyard.com;0;0;5041271;11;0;0;0;0;20200515
60;drapervalleyvineyard.com;0;0;4749135;11;0;0;0;0;20200415
57;drapervalleyvineyard.com;0;0;4940906;12;0;0;0;0;20200315
57;drapervalleyvineyard.com;0;0;4871635;17;0;0;0;0;20200215
57;drapervalleyvineyard.com;0;0;4805210;21;0;0;0;0;20200115
49;drapervalleyvineyard.com;0;0;5214115;23;0;0;0;0;20191215
51;drapervalleyvineyard.com;0;0;4790104;25;11;0;0;0;20191115
52;drapervalleyvineyard.com;0;0;4630189;22;10;0;0;0;20191015
52;drapervalleyvineyard.com;0;0;4593172;20;9;0;0;0;20190915
52;drapervalleyvineyard.com;0;0;4648686;22;9;0;0;0;20190815
53;drapervalleyvineyard.com;0;0;4669561;28;9;0;0;0;20190715
53;drapervalleyvineyard.com;0;0;4577545;24;9;0;0;0;20190615
8;drapervalleyvineyard.com;0;0;7838179;41;2;0;0;0;20190515
12;drapervalleyvineyard.com;0;0;6995806;47;1;0;0;0;20190415
12;drapervalleyvineyard.com;0;0;6921774;32;1;0;0;0;20190315
6;drapervalleyvineyard.com;0;0;8783088;26;1;0;0;0;20190215
10;drapervalleyvineyard.com;0;0;7351166;22;0;0;0;0;20190115
9;drapervalleyvineyard.com;0;0;7652019;22;0;0;0;0;20181215
13;drapervalleyvineyard.com;0;0;6916235;21;0;0;0;0;20181115
13;drapervalleyvineyard.com;0;0;7097248;20;0;0;0;0;20181015
13;drapervalleyvineyard.com;0;0;7117059;17;0;0;0;0;20180915
9;drapervalleyvineyard.com;0;0;7881691;15;0;0;0;0;20180815
4;drapervalleyvineyard.com;0;0;10182814;12;0;0;0;0;20180715
4;drapervalleyvineyard.com;0;0;10085534;6;0;0;0;0;20180615
4;drapervalleyvineyard.com;0;0;10063801;5;0;0;0;0;20180515
4;drapervalleyvineyard.com;0;0;10310339;8;0;0;0;0;20180415
0;drapervalleyvineyard.com;0;0;41476830;3;0;0;0;0;20180315
0;drapervalleyvineyard.com;0;0;50808705;1;0;0;0;0;20180215
0;drapervalleyvineyard.com;0;0;0;0;0;0;0;0;20180115
0;drapervalleyvineyard.com;0;0;0;0;0;0;0;0;20171215
0;drapervalleyvineyard.com;0;0;0;0;0;0;0;0;20171115
0;drapervalleyvineyard.com;0;0;0;0;0;0;0;0;20171015
0;drapervalleyvineyard.com;0;0;0;0;0;0;0;0;20170915
0;drapervalleyvineyard.com;0;0;0;0;0;0;0;0;20170815
0;drapervalleyvineyard.com;0;0;0;0;0;0;0;0;20170715
0;drapervalleyvineyard.com;0;0;25995358;1;0;0;0;0;20170615
0;drapervalleyvineyard.com;0;0;38393358;1;0;0;0;0;20170515
0;drapervalleyvineyard.com;0;0;35899663;1;0;0;0;0;20170415
0;drapervalleyvineyard.com;0;0;32193000;1;0;0;0;0;20170315
0;drapervalleyvineyard.com;0;0;55861204;1;0;0;0;0;20170215
0;drapervalleyvineyard.com;0;0;17502705;10;0;0;0;0;20170115
15;drapervalleyvineyard.com;0;0;6332573;12;0;0;0;0;20161215
15;drapervalleyvineyard.com;0;0;4747560;20;0;0;0;0;20161115
9;drapervalleyvineyard.com;0;0;5255810;58;0;0;0;0;20161015
62;drapervalleyvineyard.com;0;0;2531447;156;2;0;0;0;20160915
89;drapervalleyvineyard.com;0;0;2164123;230;2;0;0;0;20160815
118;drapervalleyvineyard.com;0;0;1885813;256;7;0;0;0;20160715
131;drapervalleyvineyard.com;0;0;1801128;279;14;0;0;0;20160615
147;drapervalleyvineyard.com;0;0;1701789;284;14;0;0;0;20160515
145;drapervalleyvineyard.com;0;0;1663078;287;15;0;0;0;20160415
136;drapervalleyvineyard.com;0;0;1702234;297;15;0;0;0;20160315
139;drapervalleyvineyard.com;0;0;1676435;304;21;0;0;0;20160215
132;drapervalleyvineyard.com;0;0;1718865;301;16;0;0;0;20160115
147;drapervalleyvineyard.com;0;0;1642655;361;83;0;0;0;20151215
121;drapervalleyvineyard.com;0;0;1900271;350;90;0;0;0;20151115
116;drapervalleyvineyard.com;0;0;1879767;397;87;0;0;0;20151015
82;drapervalleyvineyard.com;0;0;2077730;11;24;0;0;0;20150915
63;drapervalleyvineyard.com;0;0;2384774;12;6;0;0;0;20150815
73;drapervalleyvineyard.com;0;0;2221704;14;10;0;0;0;20150715
87;drapervalleyvineyard.com;0;0;2029963;15;17;0;0;0;20150615
63;drapervalleyvineyard.com;0;0;2249083;11;8;0;0;0;20150515
57;drapervalleyvineyard.com;0;0;2309627;12;11;0;0;0;20150415
60;drapervalleyvineyard.com;0;0;2226916;13;26;0;0;0;20150315
60;drapervalleyvineyard.com;0;0;2232216;13;20;0;0;0;20150215
62;drapervalleyvineyard.com;0;0;2213773;12;16;0;0;0;20150115
62;drapervalleyvineyard.com;0;0;2229664;13;12;0;0;0;20141215
89;drapervalleyvineyard.com;0;0;1927708;17;18;0;0;0;20141115
76;drapervalleyvineyard.com;0;0;2182298;16;7;0;0;0;20141015
72;drapervalleyvineyard.com;0;0;2266412;16;8;0;0;0;20140915
73;drapervalleyvineyard.com;0;0;2249352;18;7;0;0;0;20140815
65;drapervalleyvineyard.com;0;0;1732671;15;14;0;0;0;20140715
57;drapervalleyvineyard.com;0;0;1847652;15;10;0;0;0;20140615
59;drapervalleyvineyard.com;0;0;1834434;14;14;0;0;0;20140515
59;drapervalleyvineyard.com;0;0;1845383;19;15;0;0;0;20140415
71;drapervalleyvineyard.com;0;0;1691197;20;20;0;0;0;20140315
63;drapervalleyvineyard.com;0;0;1725484;13;12;0;0;0;20140215
64;drapervalleyvineyard.com;0;1;1749580;14;12;1;0;0;20140115
56;drapervalleyvineyard.com;4;27;1833437;9;8;27;4;1;20131215
50;drapervalleyvineyard.com;29;66;1802765;11;3;66;29;20;20131115
7;drapervalleyvineyard.com;47;39;3381467;15;5;39;47;70;20131015
11;drapervalleyvineyard.com;47;39;2874296;16;6;39;47;70;20130915
13;drapervalleyvineyard.com;101;83;2836118;20;11;83;101;105;20130815
5;drapervalleyvineyard.com;158;55;3920388;13;4;55;158;201;20130715
50;drapervalleyvineyard.com;5;47;1553746;32;20;47;5;2;20130615
22;drapervalleyvineyard.com;0;0;2355608;25;18;0;0;0;20130515
50;drapervalleyvineyard.com;11;38;1677846;33;19;38;11;7;20130415
16;drapervalleyvineyard.com;0;0;2852019;27;13;0;0;0;20130315
49;drapervalleyvineyard.com;0;0;1833429;22;27;0;0;0;20130215
38;drapervalleyvineyard.com;0;0;2072528;10;44;0;0;0;20130115
51;drapervalleyvineyard.com;0;0;1811468;8;54;0;0;0;20121215
42;drapervalleyvineyard.com;9;49;1976123;7;49;49;9;7;20121115
36;drapervalleyvineyard.com;10;54;2070893;5;37;54;10;8;20121015
42;drapervalleyvineyard.com;1;13;2088495;8;36;13;1;0;20120915
42;drapervalleyvineyard.com;9;4;2076342;7;37;4;9;6;20120815
57;drapervalleyvineyard.com;12;47;1869727;9;48;47;12;7;20120715
12;drapervalleyvineyard.com;18;31;3640705;5;26;31;18;12;20120615
24;drapervalleyvineyard.com;24;26;3120960;8;34;26;24;22;20120515
24;drapervalleyvineyard.com;7;37;3217945;10;33;37;7;6;20120415
28;drapervalleyvineyard.com;64;103;2963293;16;35;103;64;46;20120315
23;drapervalleyvineyard.com;274;277;3046986;13;22;277;274;331;20120215
2;drapervalleyvineyard.com;29;95;6300293;5;3;95;29;33;20120115
