Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
2541;earthbar.com;0;0;524205;1030;4145;0;0;0;20210615
2348;earthbar.com;0;0;554568;769;4094;0;0;0;20210515
2685;earthbar.com;0;0;491696;635;2227;0;0;0;20210415
3365;earthbar.com;0;0;406866;948;5816;0;0;0;20210315
3384;earthbar.com;0;0;407856;770;6004;0;0;0;20210215
3459;earthbar.com;0;0;398298;754;6288;0;0;0;20210115
3431;earthbar.com;0;0;395743;713;9441;0;0;0;20201215
5804;earthbar.com;0;0;258935;1111;5356;0;0;0;20201115
5910;earthbar.com;0;0;253251;1045;4711;0;0;0;20201015
5980;earthbar.com;0;0;247801;1487;10980;0;0;0;20200915
7382;earthbar.com;0;0;209049;1709;1202;0;0;0;20200815
7400;earthbar.com;0;0;202925;1649;502;0;0;0;20200715
7281;earthbar.com;0;0;205462;1373;498;0;0;0;20200615
7640;earthbar.com;0;0;196368;988;19023;0;0;0;20200515
7858;earthbar.com;0;0;192361;1332;21080;0;0;0;20200415
7861;earthbar.com;0;0;191634;1246;9760;0;0;0;20200315
7883;earthbar.com;0;0;189507;2051;8426;0;0;0;20200215
8029;earthbar.com;0;0;184342;2801;6175;0;0;0;20200115
8179;earthbar.com;0;0;181575;3274;6490;0;0;0;20191215
7506;earthbar.com;0;0;188166;3598;6572;0;0;0;20191115
8162;earthbar.com;0;0;171720;2562;14822;0;0;0;20191015
8199;earthbar.com;0;1;167962;2131;14762;1;0;0;20190915
7929;earthbar.com;0;0;171552;2040;14735;0;0;0;20190815
8121;earthbar.com;0;0;170386;2048;14717;0;0;0;20190715
8174;earthbar.com;0;0;169459;1890;14890;0;0;0;20190615
6619;earthbar.com;0;0;178601;2106;3477;0;0;0;20190515
6461;earthbar.com;0;0;181497;1987;3728;0;0;0;20190415
6412;earthbar.com;0;0;184383;1538;3321;0;0;0;20190315
5922;earthbar.com;0;0;193969;466;2892;0;0;0;20190215
5783;earthbar.com;0;0;198005;439;2890;0;0;0;20190115
4674;earthbar.com;0;0;233507;379;778;0;0;0;20181215
4750;earthbar.com;0;0;230621;403;808;0;0;0;20181115
5137;earthbar.com;0;0;218613;549;1092;0;0;0;20181015
5939;earthbar.com;0;0;193316;720;3192;0;0;0;20180915
6320;earthbar.com;0;0;187769;815;3254;0;0;0;20180815
5164;earthbar.com;0;0;220587;818;1249;0;0;0;20180715
4780;earthbar.com;0;0;233269;807;1220;0;0;0;20180615
3724;earthbar.com;0;0;281515;840;748;0;0;0;20180515
5093;earthbar.com;0;0;219057;805;1857;0;0;0;20180415
5080;earthbar.com;0;0;220506;766;1880;0;0;0;20180315
4619;earthbar.com;0;0;243677;852;865;0;0;0;20180215
5267;earthbar.com;0;0;215704;814;526;0;0;0;20180115
3684;earthbar.com;0;0;253188;749;505;0;0;0;20171215
3796;earthbar.com;0;0;248497;727;506;0;0;0;20171115
3674;earthbar.com;0;0;255471;657;439;0;0;0;20171015
3634;earthbar.com;0;0;258694;588;379;0;0;0;20170915
3660;earthbar.com;0;0;260592;555;380;0;0;0;20170815
1494;earthbar.com;0;0;469227;482;345;0;0;0;20170715
3414;earthbar.com;0;0;280208;409;427;0;0;0;20170615
3422;earthbar.com;0;0;306922;317;332;0;0;0;20170515
3594;earthbar.com;0;0;328307;320;1015;0;0;0;20170415
3822;earthbar.com;0;0;263372;291;1002;0;0;0;20170315
3739;earthbar.com;0;0;269452;259;1050;0;0;0;20170215
3863;earthbar.com;0;0;262585;245;1043;0;0;0;20170115
3784;earthbar.com;0;0;263329;244;1087;0;0;0;20161215
2349;earthbar.com;0;0;294376;206;63;0;0;0;20161115
2544;earthbar.com;0;0;276739;449;30;0;0;0;20161015
2811;earthbar.com;0;0;255481;898;381;0;0;0;20160915
2591;earthbar.com;0;0;273439;947;111;0;0;0;20160815
2624;earthbar.com;0;0;269753;926;121;0;0;0;20160715
2624;earthbar.com;0;0;269989;968;144;0;0;0;20160615
2685;earthbar.com;0;0;264491;1200;285;0;0;0;20160515
2622;earthbar.com;0;0;263309;1511;1082;0;0;0;20160415
2530;earthbar.com;0;0;263750;1212;921;0;0;0;20160315
3139;earthbar.com;0;0;223480;1062;2463;0;0;0;20160215
3080;earthbar.com;0;0;226480;1075;2362;0;0;0;20160115
3088;earthbar.com;0;0;226567;1166;2068;0;0;0;20151215
2617;earthbar.com;0;0;258696;1109;2174;0;0;0;20151115
2590;earthbar.com;0;0;248895;1151;2440;0;0;0;20151015
2410;earthbar.com;0;0;250750;119;2149;0;0;0;20150915
2551;earthbar.com;0;0;242417;111;2188;0;0;0;20150815
2609;earthbar.com;0;0;235709;107;2652;0;0;0;20150715
2542;earthbar.com;0;0;237616;117;1047;0;0;0;20150615
2378;earthbar.com;0;0;234350;106;948;0;0;0;20150515
2680;earthbar.com;0;0;212338;122;1072;0;0;0;20150415
2542;earthbar.com;0;0;216306;134;637;0;0;0;20150315
2797;earthbar.com;0;0;202456;140;784;0;0;0;20150215
2837;earthbar.com;0;0;198791;135;718;0;0;0;20150115
3133;earthbar.com;0;0;183059;158;2671;0;0;0;20141215
3378;earthbar.com;0;0;189753;149;4262;0;0;0;20141115
2804;earthbar.com;0;0;217200;129;5626;0;0;0;20141015
2891;earthbar.com;0;0;213454;147;5712;0;0;0;20140915
2896;earthbar.com;0;0;214672;140;5708;0;0;0;20140815
1308;earthbar.com;0;0;315050;105;180;0;0;0;20140715
1239;earthbar.com;0;0;324295;96;179;0;0;0;20140615
1266;earthbar.com;0;0;314609;98;187;0;0;0;20140515
1501;earthbar.com;0;0;281880;92;288;0;0;0;20140415
1369;earthbar.com;0;0;301461;102;194;0;0;0;20140315
1337;earthbar.com;0;0;297732;111;1090;0;0;0;20140215
1398;earthbar.com;0;0;291139;117;1144;0;0;0;20140115
1362;earthbar.com;0;0;293369;106;857;0;0;0;20131215
1342;earthbar.com;0;0;268831;122;973;0;0;0;20131115
653;earthbar.com;0;0;334203;125;605;0;0;0;20131015
1871;earthbar.com;0;0;163434;110;5575;0;0;0;20130915
461;earthbar.com;0;0;433552;109;429;0;0;0;20130815
515;earthbar.com;0;0;400805;83;450;0;0;0;20130715
437;earthbar.com;0;0;435351;53;377;0;0;0;20130615
200;earthbar.com;0;0;749031;46;179;0;0;0;20130515
112;earthbar.com;0;0;1104840;4;11;0;0;0;20130415
141;earthbar.com;0;0;985040;14;41;0;0;0;20130315
50;earthbar.com;0;0;1812221;9;34;0;0;0;20130215
26;earthbar.com;0;0;2436627;12;25;0;0;0;20130115
1;earthbar.com;0;0;6440972;7;2;0;0;0;20121215
0;earthbar.com;0;0;11152182;7;0;0;0;0;20121115
0;earthbar.com;0;0;12055070;6;0;0;0;0;20121015
0;earthbar.com;0;0;11376997;6;2;0;0;0;20120915
0;earthbar.com;0;0;10839238;5;0;0;0;0;20120815
0;earthbar.com;0;0;8915856;9;0;0;0;0;20120715
0;earthbar.com;0;0;13996813;4;2;0;0;0;20120615
2;earthbar.com;0;0;6827016;5;2;0;0;0;20120515
4;earthbar.com;0;0;5865834;21;5;0;0;0;20120415
0;earthbar.com;0;0;13438422;1;0;0;0;0;20120315
26;earthbar.com;0;0;2920209;36;41;0;0;0;20120215
23;earthbar.com;0;0;2981915;38;30;0;0;0;20120115
