Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
5955;eddiesbakerycafe.com;0;0;272787;350;6054;0;0;0;20210615
5745;eddiesbakerycafe.com;0;0;279375;264;5858;0;0;0;20210515
5944;eddiesbakerycafe.com;0;0;266940;263;7100;0;0;0;20210415
5941;eddiesbakerycafe.com;0;0;261894;222;7557;0;0;0;20210315
5887;eddiesbakerycafe.com;0;0;264279;253;7448;0;0;0;20210215
5828;eddiesbakerycafe.com;0;0;264539;231;7532;0;0;0;20210115
5838;eddiesbakerycafe.com;0;0;260722;276;11562;0;0;0;20201215
5820;eddiesbakerycafe.com;0;0;258381;323;6319;0;0;0;20201115
4997;eddiesbakerycafe.com;0;0;289234;255;2428;0;0;0;20201015
4915;eddiesbakerycafe.com;0;0;289178;277;3179;0;0;0;20200915
4780;eddiesbakerycafe.com;0;0;294015;347;25;0;0;0;20200815
4792;eddiesbakerycafe.com;0;0;285633;397;20;0;0;0;20200715
4918;eddiesbakerycafe.com;0;0;279882;633;526;0;0;0;20200615
4853;eddiesbakerycafe.com;0;0;280528;707;5581;0;0;0;20200515
5007;eddiesbakerycafe.com;0;0;272990;736;5614;0;0;0;20200415
5039;eddiesbakerycafe.com;0;0;270856;831;879;0;0;0;20200315
4876;eddiesbakerycafe.com;0;0;275224;1114;17832;0;0;0;20200215
5576;eddiesbakerycafe.com;0;0;244875;1069;4799;0;0;0;20200115
5008;eddiesbakerycafe.com;0;0;265258;1012;1614;0;0;0;20191215
4831;eddiesbakerycafe.com;0;0;263819;958;662;0;0;0;20191115
4791;eddiesbakerycafe.com;0;0;258833;930;1226;0;0;0;20191015
4837;eddiesbakerycafe.com;0;0;251719;978;1267;0;0;0;20190915
4808;eddiesbakerycafe.com;0;0;251879;1001;1242;0;0;0;20190815
4921;eddiesbakerycafe.com;0;0;250867;1209;1355;0;0;0;20190715
4922;eddiesbakerycafe.com;0;0;250363;1347;1299;0;0;0;20190615
4256;eddiesbakerycafe.com;0;0;249421;1109;3600;0;0;0;20190515
4291;eddiesbakerycafe.com;0;0;247217;1059;3647;0;0;0;20190415
4224;eddiesbakerycafe.com;0;0;253078;872;3569;0;0;0;20190315
4158;eddiesbakerycafe.com;0;0;253842;645;3579;0;0;0;20190215
4230;eddiesbakerycafe.com;0;0;251159;635;3572;0;0;0;20190115
4156;eddiesbakerycafe.com;0;0;255287;552;3570;0;0;0;20181215
4115;eddiesbakerycafe.com;0;0;257218;570;3546;0;0;0;20181115
4113;eddiesbakerycafe.com;0;0;258686;552;3541;0;0;0;20181015
4210;eddiesbakerycafe.com;0;0;252295;565;3642;0;0;0;20180915
4197;eddiesbakerycafe.com;0;0;257701;719;3598;0;0;0;20180815
4672;eddiesbakerycafe.com;0;0;238540;1225;3848;0;0;0;20180715
4808;eddiesbakerycafe.com;0;0;232221;1068;3893;0;0;0;20180615
4379;eddiesbakerycafe.com;0;0;248368;1018;3702;0;0;0;20180515
4277;eddiesbakerycafe.com;0;0;250416;879;3681;0;0;0;20180415
4227;eddiesbakerycafe.com;0;0;253843;902;3663;0;0;0;20180315
4582;eddiesbakerycafe.com;0;0;245238;1479;5416;0;0;0;20180215
4262;eddiesbakerycafe.com;0;0;253635;1356;5211;0;0;0;20180115
1548;eddiesbakerycafe.com;0;0;476508;1325;2733;0;0;0;20171215
1585;eddiesbakerycafe.com;0;0;467474;1274;2735;0;0;0;20171115
