Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1977;fairview-farm.com;0;0;631273;133;69;0;0;0;20210615
1968;fairview-farm.com;0;0;631576;157;32;0;0;0;20210515
1851;fairview-farm.com;0;0;648527;162;38;0;0;0;20210415
1956;fairview-farm.com;0;0;612080;166;17;0;0;0;20210315
1949;fairview-farm.com;0;0;618399;162;10;0;0;0;20210215
2462;fairview-farm.com;0;0;515872;180;272;0;0;0;20210115
2415;fairview-farm.com;0;0;517023;173;44;0;0;0;20201215
2422;fairview-farm.com;0;0;508792;171;28;0;0;0;20201115
2476;fairview-farm.com;0;0;496114;168;7029;0;0;0;20201015
2579;fairview-farm.com;0;0;474696;160;211;0;0;0;20200915
2132;fairview-farm.com;0;0;542842;150;178;0;0;0;20200815
2051;fairview-farm.com;0;0;544703;160;197;0;0;0;20200715
2027;fairview-farm.com;0;0;548359;167;85;0;0;0;20200615
2024;fairview-farm.com;0;0;543834;183;13;0;0;0;20200515
2037;fairview-farm.com;0;0;534721;183;1;0;0;0;20200415
2044;fairview-farm.com;0;0;533713;167;49;0;0;0;20200315
2255;fairview-farm.com;0;0;489452;181;127;0;0;0;20200215
2198;fairview-farm.com;0;0;494449;189;62;0;0;0;20200115
2155;fairview-farm.com;0;0;498452;180;5;0;0;0;20191215
177;fairview-farm.com;0;0;2440049;176;32;0;0;0;20191115
197;fairview-farm.com;0;0;2244254;194;29;0;0;0;20191015
212;fairview-farm.com;0;0;2127943;198;45;0;0;0;20190915
252;fairview-farm.com;0;0;1924083;199;55;0;0;0;20190815
324;fairview-farm.com;0;0;1687188;209;62;0;0;0;20190715
246;fairview-farm.com;0;0;1966797;209;18;0;0;0;20190615
285;fairview-farm.com;0;0;1556758;162;131;0;0;0;20190515
233;fairview-farm.com;0;0;1745451;167;84;0;0;0;20190415
318;fairview-farm.com;0;0;1467746;176;100;0;0;0;20190315
409;fairview-farm.com;0;0;1258338;178;174;0;0;0;20190215
448;fairview-farm.com;0;0;1200308;182;200;0;0;0;20190115
405;fairview-farm.com;0;0;1278229;184;209;0;0;0;20181215
491;fairview-farm.com;0;0;1140179;186;313;0;0;0;20181115
243;fairview-farm.com;0;0;1767652;173;94;0;0;0;20181015
244;fairview-farm.com;0;0;1780607;164;92;0;0;0;20180915
314;fairview-farm.com;0;0;1545704;180;110;0;0;0;20180815
326;fairview-farm.com;0;0;1547608;186;126;0;0;0;20180715
368;fairview-farm.com;0;0;1427419;166;157;0;0;0;20180615
332;fairview-farm.com;0;0;1518895;169;141;0;0;0;20180515
597;fairview-farm.com;0;0;1046796;183;818;0;0;0;20180415
364;fairview-farm.com;0;0;1447499;197;182;0;0;0;20180315
