Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1286;fiestafarms.ca;0;0;859052;2284;159;0;0;0;20210615
1377;fiestafarms.ca;0;0;816465;2511;62;0;0;0;20210515
1220;fiestafarms.ca;0;0;874360;2119;38;0;0;0;20210415
1141;fiestafarms.ca;0;0;901383;2132;9;0;0;0;20210315
1273;fiestafarms.ca;0;0;841093;2107;35;0;0;0;20210215
1075;fiestafarms.ca;0;0;942154;2138;11;0;0;0;20210115
1224;fiestafarms.ca;0;0;850235;2113;24;0;0;0;20201215
1003;fiestafarms.ca;0;0;965449;1732;5;0;0;0;20201115
1025;fiestafarms.ca;0;0;943621;1661;12;0;0;0;20201015
1220;fiestafarms.ca;0;0;823724;1668;8;0;0;0;20200915
1024;fiestafarms.ca;0;0;921964;1753;87;0;0;0;20200815
971;fiestafarms.ca;0;0;935586;1695;180;0;0;0;20200715
1008;fiestafarms.ca;0;0;909441;1772;183;0;0;0;20200615
1172;fiestafarms.ca;0;0;809039;2459;192;0;0;0;20200515
1067;fiestafarms.ca;0;0;850871;2807;173;0;0;0;20200415
1078;fiestafarms.ca;0;0;845927;2697;301;0;0;0;20200315
1048;fiestafarms.ca;0;0;848970;2884;224;0;0;0;20200215
1357;fiestafarms.ca;0;0;702216;2789;187;0;0;0;20200115
1230;fiestafarms.ca;0;0;746670;2622;230;0;0;0;20191215
1160;fiestafarms.ca;0;0;741648;2699;278;0;0;0;20191115
1049;fiestafarms.ca;0;0;779358;2782;260;0;0;0;20191015
948;fiestafarms.ca;0;0;823072;2969;250;0;0;0;20190915
914;fiestafarms.ca;0;0;842070;2929;261;0;0;0;20190815
934;fiestafarms.ca;0;0;843857;2669;246;0;0;0;20190715
912;fiestafarms.ca;0;0;851604;2251;241;0;0;0;20190615
937;fiestafarms.ca;0;0;734353;2127;60;0;0;0;20190515
939;fiestafarms.ca;0;0;731459;2273;135;0;0;0;20190415
905;fiestafarms.ca;0;0;758520;2409;98;0;0;0;20190315
889;fiestafarms.ca;0;0;763153;2533;90;0;0;0;20190215
957;fiestafarms.ca;0;0;731603;2633;93;0;0;0;20190115
968;fiestafarms.ca;0;0;726512;2464;90;0;0;0;20181215
889;fiestafarms.ca;0;0;773790;2416;73;0;0;0;20181115
834;fiestafarms.ca;0;0;815332;2688;128;0;0;0;20181015
1085;fiestafarms.ca;0;0;683138;3224;145;0;0;0;20180915
972;fiestafarms.ca;0;0;745644;3364;133;0;0;0;20180815
914;fiestafarms.ca;0;0;792017;3295;168;0;0;0;20180715
850;fiestafarms.ca;0;0;827601;3260;102;0;0;0;20180615
836;fiestafarms.ca;0;0;834383;3256;123;0;0;0;20180515
1147;fiestafarms.ca;0;0;666537;3293;160;0;0;0;20180415
1040;fiestafarms.ca;0;0;718884;3142;156;0;0;0;20180315
914;fiestafarms.ca;0;0;789763;2751;85;0;0;0;20180215
801;fiestafarms.ca;0;0;817089;2611;138;0;0;0;20180115
686;fiestafarms.ca;0;0;848433;2452;117;0;0;0;20171215
638;fiestafarms.ca;0;0;884904;2543;49;0;0;0;20171115
724;fiestafarms.ca;0;0;809549;2565;34;0;0;0;20171015
669;fiestafarms.ca;0;0;861238;2753;160;0;0;0;20170915
654;fiestafarms.ca;0;0;887876;2796;110;0;0;0;20170815
611;fiestafarms.ca;0;0;894345;2836;184;0;0;0;20170715
533;fiestafarms.ca;0;0;1039343;3110;23;0;0;0;20170615
417;fiestafarms.ca;0;0;1308108;3115;33;0;0;0;20170515
393;fiestafarms.ca;0;0;1417319;3078;60;0;0;0;20170415
427;fiestafarms.ca;0;0;1231149;3014;32;0;0;0;20170315
451;fiestafarms.ca;0;0;1210722;2863;20;0;0;0;20170215
410;fiestafarms.ca;0;0;1312679;2900;17;0;0;0;20170115
319;fiestafarms.ca;0;0;1527648;2157;4;0;0;0;20161215
129;fiestafarms.ca;0;0;1877797;1426;0;0;0;0;20161115
137;fiestafarms.ca;0;0;1731109;1484;1;0;0;0;20161015
149;fiestafarms.ca;0;0;1663218;1537;1;0;0;0;20160915
173;fiestafarms.ca;0;0;1550167;1741;1;0;0;0;20160815
157;fiestafarms.ca;0;0;1627271;1726;1;0;0;0;20160715
156;fiestafarms.ca;0;0;1647293;1716;1;0;0;0;20160615
153;fiestafarms.ca;0;0;1665648;1707;1;0;0;0;20160515
124;fiestafarms.ca;0;0;1803190;1681;4;0;0;0;20160415
128;fiestafarms.ca;0;0;1758123;1711;4;0;0;0;20160315
125;fiestafarms.ca;0;0;1768777;1668;4;0;0;0;20160215
124;fiestafarms.ca;0;0;1772621;1603;4;0;0;0;20160115
248;fiestafarms.ca;0;0;1239099;1620;8;0;0;0;20151215
249;fiestafarms.ca;0;0;1275846;1500;6;0;0;0;20151115
242;fiestafarms.ca;0;0;1253418;1472;4;0;0;0;20151015
245;fiestafarms.ca;0;0;1171248;18;333;0;0;0;20150915
246;fiestafarms.ca;0;0;1179520;16;333;0;0;0;20150815
289;fiestafarms.ca;0;0;1071389;13;5;0;0;0;20150715
324;fiestafarms.ca;0;0;991028;15;11;0;0;0;20150615
87;fiestafarms.ca;0;0;1924796;11;11;0;0;0;20150515
84;fiestafarms.ca;0;0;1922355;12;8;0;0;0;20150415
75;fiestafarms.ca;0;0;2007340;11;317;0;0;0;20150315
80;fiestafarms.ca;0;0;1943715;9;320;0;0;0;20150215
86;fiestafarms.ca;0;0;1892110;12;323;0;0;0;20150115
77;fiestafarms.ca;0;0;2009919;12;1;0;0;0;20141215
111;fiestafarms.ca;0;0;1733470;14;2;0;0;0;20141115
97;fiestafarms.ca;0;0;1937226;16;3;0;0;0;20141015
115;fiestafarms.ca;0;0;1795204;18;4;0;0;0;20140915
127;fiestafarms.ca;0;0;1702264;21;6;0;0;0;20140815
54;fiestafarms.ca;0;0;1879812;23;0;0;0;0;20140715
94;fiestafarms.ca;0;0;1466589;25;8;0;0;0;20140615
195;fiestafarms.ca;0;0;1009457;21;0;0;0;0;20140515
49;fiestafarms.ca;0;0;1999034;20;0;0;0;0;20140415
64;fiestafarms.ca;0;0;1787021;20;0;0;0;0;20140315
43;fiestafarms.ca;0;0;2028872;19;38;0;0;0;20140215
66;fiestafarms.ca;0;0;1716613;23;58;0;0;0;20140115
2555;fiestafarms.ca;0;0;189781;27;2154;0;0;0;20131215
69;fiestafarms.ca;0;0;1558195;27;60;0;0;0;20131115
116;fiestafarms.ca;0;0;971114;33;24;0;0;0;20131015
122;fiestafarms.ca;0;0;950666;33;37;0;0;0;20130915
51;fiestafarms.ca;0;0;1542465;32;33;0;0;0;20130815
70;fiestafarms.ca;0;0;1325018;33;34;0;0;0;20130715
17;fiestafarms.ca;0;0;2487494;19;23;0;0;0;20130615
64;fiestafarms.ca;0;0;1426663;26;27;0;0;0;20130515
51;fiestafarms.ca;0;0;1660791;30;23;0;0;0;20130415
57;fiestafarms.ca;0;0;1608471;25;30;0;0;0;20130315
22;fiestafarms.ca;0;0;2603008;22;15;0;0;0;20130215
18;fiestafarms.ca;0;0;2862964;25;12;0;0;0;20130115
18;fiestafarms.ca;0;0;2821624;30;13;0;0;0;20121215
19;fiestafarms.ca;0;0;2755320;27;12;0;0;0;20121115
21;fiestafarms.ca;0;0;2610343;24;14;0;0;0;20121015
18;fiestafarms.ca;0;0;2998786;29;12;0;0;0;20120915
12;fiestafarms.ca;0;0;3423189;29;7;0;0;0;20120815
13;fiestafarms.ca;0;0;3487986;24;9;0;0;0;20120715
10;fiestafarms.ca;0;0;3855018;21;7;0;0;0;20120615
49;fiestafarms.ca;0;0;2263428;26;6;0;0;0;20120515
54;fiestafarms.ca;0;0;2250674;26;12;0;0;0;20120415
47;fiestafarms.ca;0;0;2384143;19;4;0;0;0;20120315
47;fiestafarms.ca;0;0;2264235;16;4;0;0;0;20120215
62;fiestafarms.ca;0;0;1966077;18;11;0;0;0;20120115
