Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
274;finnottes.com;0;0;2299276;232;55;0;0;0;20210615
200;finnottes.com;0;0;2738391;254;25;0;0;0;20210515
213;finnottes.com;0;0;2619516;249;15;0;0;0;20210415
186;finnottes.com;0;0;2786639;226;5;0;0;0;20210315
136;finnottes.com;0;0;3334661;243;3;0;0;0;20210215
55;finnottes.com;0;0;5401528;261;26;0;0;0;20210115
50;finnottes.com;0;0;5572781;230;6;0;0;0;20201215
36;finnottes.com;0;0;6576868;216;3;0;0;0;20201115
28;finnottes.com;0;0;7370969;195;5;0;0;0;20201015
51;finnottes.com;0;0;5491485;193;0;0;0;0;20200915
32;finnottes.com;0;0;6821910;206;0;0;0;0;20200815
61;finnottes.com;0;0;4912894;181;7;0;0;0;20200715
41;finnottes.com;0;0;5981512;232;6;0;0;0;20200615
30;finnottes.com;0;0;6796500;195;0;0;0;0;20200515
12;finnottes.com;0;0;9052417;192;0;0;0;0;20200415
9;finnottes.com;0;0;10101147;173;0;0;0;0;20200315
11;finnottes.com;0;0;9294960;256;3;0;0;0;20200215
35;finnottes.com;0;0;6103846;312;9;0;0;0;20200115
36;finnottes.com;0;0;6056271;332;5;0;0;0;20191215
54;finnottes.com;0;0;4631049;381;8;0;0;0;20191115
39;finnottes.com;0;0;5368533;308;11;0;0;0;20191015
17;finnottes.com;0;0;7668415;267;4;0;0;0;20190915
22;finnottes.com;0;0;6990232;247;3;0;0;0;20190815
39;finnottes.com;0;0;5537699;261;11;0;0;0;20190715
54;finnottes.com;0;0;4561300;256;56;0;0;0;20190615
47;finnottes.com;0;0;3999624;223;31;0;0;0;20190515
125;finnottes.com;0;0;2449035;210;58;0;0;0;20190415
267;finnottes.com;0;0;1623086;232;401;0;0;0;20190315
81;finnottes.com;0;0;3101020;197;94;0;0;0;20190215
27;finnottes.com;0;0;5215068;208;7;0;0;0;20190115
