Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
840;firegel.com;0;0;1148965;245;1030;0;0;0;20210615
912;firegel.com;0;0;1084266;248;1197;0;0;0;20210515
714;firegel.com;0;0;1258935;209;772;0;0;0;20210415
768;firegel.com;0;0;1181123;243;457;0;0;0;20210315
897;firegel.com;0;0;1072775;267;774;0;0;0;20210215
927;firegel.com;0;0;1043585;302;806;0;0;0;20210115
733;firegel.com;0;0;1210155;296;397;0;0;0;20201215
804;firegel.com;0;0;1125445;375;491;0;0;0;20201115
737;firegel.com;0;0;1184007;345;454;0;0;0;20201015
837;firegel.com;0;0;1072102;333;1357;0;0;0;20200915
733;firegel.com;0;0;1159433;267;1449;0;0;0;20200815
677;firegel.com;0;0;1198489;262;1081;0;0;0;20200715
648;firegel.com;0;0;1230706;318;770;0;0;0;20200615
711;firegel.com;0;0;1143407;331;1097;0;0;0;20200515
639;firegel.com;0;0;1207933;261;774;0;0;0;20200415
576;firegel.com;0;0;1297641;281;489;0;0;0;20200315
645;firegel.com;0;0;1183476;310;944;0;0;0;20200215
655;firegel.com;0;0;1161660;272;1063;0;0;0;20200115
519;firegel.com;0;0;1340729;241;424;0;0;0;20191215
479;firegel.com;0;0;1338859;240;334;0;0;0;20191115
475;firegel.com;0;0;1319345;245;438;0;0;0;20191015
418;firegel.com;0;0;1411803;195;312;0;0;0;20190915
440;firegel.com;0;0;1365419;192;405;0;0;0;20190815
430;firegel.com;0;0;1411194;199;550;0;0;0;20190715
424;firegel.com;0;0;1409738;173;720;0;0;0;20190615
358;firegel.com;0;0;1359432;212;468;0;0;0;20190515
478;firegel.com;0;0;1135051;183;949;0;0;0;20190415
906;firegel.com;0;0;758239;133;3149;0;0;0;20190315
296;firegel.com;0;0;1526817;95;440;0;0;0;20190215
258;firegel.com;0;0;1674513;90;304;0;0;0;20190115
224;firegel.com;0;0;1818138;95;158;0;0;0;20181215
240;firegel.com;0;0;1758946;80;242;0;0;0;20181115
262;firegel.com;0;0;1692113;69;205;0;0;0;20181015
247;firegel.com;0;0;1765644;76;164;0;0;0;20180915
370;firegel.com;0;0;1398353;86;806;0;0;0;20180815
219;firegel.com;0;0;1954993;89;140;0;0;0;20180715
234;firegel.com;0;0;1871828;113;188;0;0;0;20180615
225;firegel.com;0;0;1914322;88;201;0;0;0;20180515
261;firegel.com;0;0;1764097;99;330;0;0;0;20180415
305;firegel.com;0;0;1614138;108;490;0;0;0;20180315
173;firegel.com;0;0;2191472;98;152;0;0;0;20180215
289;firegel.com;0;0;1586075;118;573;0;0;0;20180115
304;firegel.com;0;0;1443090;89;710;0;0;0;20171215
286;firegel.com;0;0;1487830;107;696;0;0;0;20171115
290;firegel.com;0;0;1465649;95;830;0;0;0;20171015
304;firegel.com;0;0;1438719;89;942;0;0;0;20170915
