Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
36;francois-doucet.com;0;0;6641456;48;0;0;0;0;20210615
76;francois-doucet.com;0;0;4561439;65;0;0;0;0;20210515
90;francois-doucet.com;0;0;4148307;70;0;0;0;0;20210415
90;francois-doucet.com;0;0;4112923;78;0;0;0;0;20210315
110;francois-doucet.com;0;0;3722829;62;0;0;0;0;20210215
89;francois-doucet.com;0;0;4143098;51;0;0;0;0;20210115
88;francois-doucet.com;0;0;4152351;52;0;0;0;0;20201215
74;francois-doucet.com;0;0;4551323;62;0;0;0;0;20201115
69;francois-doucet.com;0;0;4747856;50;0;0;0;0;20201015
137;francois-doucet.com;0;0;3224342;45;0;0;0;0;20200915
133;francois-doucet.com;0;0;3255705;45;0;0;0;0;20200815
154;francois-doucet.com;0;0;2969884;46;0;0;0;0;20200715
86;francois-doucet.com;0;0;4057659;52;0;0;0;0;20200615
45;francois-doucet.com;0;0;5551421;41;0;0;0;0;20200515
36;francois-doucet.com;0;0;6106691;44;0;0;0;0;20200415
36;francois-doucet.com;0;0;6196981;48;0;0;0;0;20200315
28;francois-doucet.com;0;0;6836618;54;0;0;0;0;20200215
47;francois-doucet.com;0;0;5313268;61;0;0;0;0;20200115
44;francois-doucet.com;0;0;5430611;65;0;0;0;0;20191215
45;francois-doucet.com;0;0;5044203;48;0;0;0;0;20191115
65;francois-doucet.com;0;0;4134440;46;0;0;0;0;20191015
39;francois-doucet.com;0;0;5376239;47;0;0;0;0;20190915
76;francois-doucet.com;0;0;3779020;47;0;0;0;0;20190815
73;francois-doucet.com;0;0;3958720;50;0;0;0;0;20190715
62;francois-doucet.com;0;0;4209232;44;0;0;0;0;20190615
6;francois-doucet.com;0;0;8708589;13;0;0;0;0;20190515
6;francois-doucet.com;0;0;8416284;14;0;0;0;0;20190415
8;francois-doucet.com;0;0;7774447;11;0;0;0;0;20190315
11;francois-doucet.com;0;0;7118619;27;0;0;0;0;20190215
10;francois-doucet.com;0;0;7488772;16;0;0;0;0;20190115
10;francois-doucet.com;0;0;7383974;20;0;0;0;0;20181215
8;francois-doucet.com;0;0;8182440;21;0;0;0;0;20181115
27;francois-doucet.com;0;0;5353168;18;0;0;0;0;20181015
8;francois-doucet.com;0;0;8428650;15;0;0;0;0;20180915
6;francois-doucet.com;0;0;8809916;16;0;0;0;0;20180815
9;francois-doucet.com;0;0;8270488;18;0;0;0;0;20180715
28;francois-doucet.com;0;0;5468150;23;0;0;0;0;20180615
27;francois-doucet.com;0;0;5566068;21;0;0;0;0;20180515
