Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
37;gourmetimportshop.com;0;0;6595331;117;8;0;0;0;20210615
47;gourmetimportshop.com;0;0;5816624;129;0;0;0;0;20210515
67;gourmetimportshop.com;0;0;4863641;143;120;0;0;0;20210415
77;gourmetimportshop.com;0;0;4448523;127;161;0;0;0;20210315
897;gourmetimportshop.com;0;0;1073182;1072;206;0;0;0;20210215
1316;gourmetimportshop.com;0;0;817559;1419;259;0;0;0;20210115
1344;gourmetimportshop.com;0;0;795976;1376;179;0;0;0;20201215
1104;gourmetimportshop.com;0;0;903357;1431;228;0;0;0;20201115
1138;gourmetimportshop.com;0;0;876415;1425;317;0;0;0;20201015
1548;gourmetimportshop.com;0;0;693450;1419;229;0;0;0;20200915
1402;gourmetimportshop.com;0;0;737959;1449;184;0;0;0;20200815
1317;gourmetimportshop.com;0;0;753341;1465;173;0;0;0;20200715
1318;gourmetimportshop.com;0;0;751558;1410;157;0;0;0;20200615
1291;gourmetimportshop.com;0;0;754998;1570;147;0;0;0;20200515
1497;gourmetimportshop.com;0;0;669102;1887;249;0;0;0;20200415
2033;gourmetimportshop.com;0;0;535870;2049;623;0;0;0;20200315
1730;gourmetimportshop.com;0;0;593892;1777;599;0;0;0;20200215
1444;gourmetimportshop.com;0;0;671125;1378;522;0;0;0;20200115
1193;gourmetimportshop.com;0;0;762617;1214;412;0;0;0;20191215
980;gourmetimportshop.com;0;0;832717;1060;307;0;0;0;20191115
951;gourmetimportshop.com;0;0;833759;1119;249;0;0;0;20191015
1095;gourmetimportshop.com;0;0;744487;1389;302;0;0;0;20190915
1095;gourmetimportshop.com;0;0;742759;1435;331;0;0;0;20190815
1104;gourmetimportshop.com;0;0;751151;1351;292;0;0;0;20190715
1102;gourmetimportshop.com;0;0;746821;1341;282;0;0;0;20190615
332;gourmetimportshop.com;0;0;1423603;987;131;0;0;0;20190515
362;gourmetimportshop.com;0;0;1346369;926;131;0;0;0;20190415
332;gourmetimportshop.com;0;0;1432314;951;95;0;0;0;20190315
331;gourmetimportshop.com;0;0;1429080;909;127;0;0;0;20190215
320;gourmetimportshop.com;0;0;1476360;966;125;0;0;0;20190115
301;gourmetimportshop.com;0;0;1529082;1031;111;0;0;0;20181215
418;gourmetimportshop.com;0;0;1260917;1098;147;0;0;0;20181115
396;gourmetimportshop.com;0;0;1318928;996;158;0;0;0;20181015
425;gourmetimportshop.com;0;0;1272023;1185;150;0;0;0;20180915
445;gourmetimportshop.com;0;0;1246581;1219;172;0;0;0;20180815
376;gourmetimportshop.com;0;0;1417659;998;131;0;0;0;20180715
335;gourmetimportshop.com;0;0;1513045;939;113;0;0;0;20180615
338;gourmetimportshop.com;0;0;1502908;944;104;0;0;0;20180515
377;gourmetimportshop.com;0;0;1409847;915;129;0;0;0;20180415
414;gourmetimportshop.com;0;0;1334960;953;143;0;0;0;20180315
337;gourmetimportshop.com;0;0;1496191;1142;154;0;0;0;20180215
1594;gourmetimportshop.com;0;0;509392;1216;586;0;0;0;20180115
325;gourmetimportshop.com;0;0;1386483;1211;137;0;0;0;20171215
277;gourmetimportshop.com;0;0;1517887;1199;114;0;0;0;20171115
359;gourmetimportshop.com;0;0;1288671;1251;128;0;0;0;20171015
379;gourmetimportshop.com;0;0;1256899;963;165;0;0;0;20170915
246;gourmetimportshop.com;0;0;1645710;770;92;0;0;0;20170815
236;gourmetimportshop.com;0;0;1638482;704;69;0;0;0;20170715
188;gourmetimportshop.com;0;0;1937150;653;64;0;0;0;20170615
213;gourmetimportshop.com;0;0;1914964;681;107;0;0;0;20170515
249;gourmetimportshop.com;0;0;1828499;649;98;0;0;0;20170415
205;gourmetimportshop.com;0;0;1889069;632;94;0;0;0;20170315
146;gourmetimportshop.com;0;0;2319013;633;43;0;0;0;20170215
136;gourmetimportshop.com;0;0;2459114;695;37;0;0;0;20170115
109;gourmetimportshop.com;0;0;2744025;475;36;0;0;0;20161215
24;gourmetimportshop.com;0;0;3990338;364;16;0;0;0;20161115
31;gourmetimportshop.com;0;0;3428802;311;11;0;0;0;20161015
19;gourmetimportshop.com;0;0;4149338;343;10;0;0;0;20160915
21;gourmetimportshop.com;0;0;4031738;337;9;0;0;0;20160815
20;gourmetimportshop.com;0;0;4048922;354;7;0;0;0;20160715
31;gourmetimportshop.com;0;0;3509645;368;22;0;0;0;20160615
21;gourmetimportshop.com;0;0;4089955;353;13;0;0;0;20160515
32;gourmetimportshop.com;0;0;3366360;350;22;0;0;0;20160415
20;gourmetimportshop.com;0;0;3991668;363;17;0;0;0;20160315
20;gourmetimportshop.com;0;0;3954051;365;17;0;0;0;20160215
19;gourmetimportshop.com;0;0;4051814;348;17;0;0;0;20160115
22;gourmetimportshop.com;0;0;3888285;343;19;0;0;0;20151215
23;gourmetimportshop.com;0;0;3993926;284;17;0;0;0;20151115
15;gourmetimportshop.com;0;0;4592823;286;3;0;0;0;20151015
11;gourmetimportshop.com;0;0;4526036;8;4;0;0;0;20150915
10;gourmetimportshop.com;0;0;4746173;8;3;0;0;0;20150815
11;gourmetimportshop.com;0;0;4557609;8;3;0;0;0;20150715
16;gourmetimportshop.com;0;0;4106277;11;2;0;0;0;20150615
7;gourmetimportshop.com;0;0;4882369;9;6;0;0;0;20150515
19;gourmetimportshop.com;0;0;3593355;11;1;0;0;0;20150415
17;gourmetimportshop.com;0;0;3693974;9;4;0;0;0;20150315
19;gourmetimportshop.com;0;0;3569821;7;4;0;0;0;20150215
20;gourmetimportshop.com;0;0;3521078;11;5;0;0;0;20150115
23;gourmetimportshop.com;0;0;3426667;17;1;0;0;0;20141215
27;gourmetimportshop.com;0;13;3212840;15;1;13;0;0;20141115
13;gourmetimportshop.com;2;11;4482156;13;0;11;2;0;20141015
12;gourmetimportshop.com;45;44;4616959;19;0;44;45;69;20140915
12;gourmetimportshop.com;3;11;4551912;17;0;11;3;5;20140815
8;gourmetimportshop.com;8;25;3780138;9;0;25;8;19;20140715
12;gourmetimportshop.com;8;35;3297206;7;0;35;8;17;20140615
7;gourmetimportshop.com;50;75;3929679;7;0;75;50;76;20140515
7;gourmetimportshop.com;3;7;3904569;9;0;7;3;5;20140415
3;gourmetimportshop.com;0;0;5084962;5;0;0;0;0;20140315
2;gourmetimportshop.com;0;0;5099129;3;0;0;0;0;20140215
2;gourmetimportshop.com;0;0;5240963;5;0;0;0;0;20140115
2;gourmetimportshop.com;0;0;5375376;5;0;0;0;0;20131215
2;gourmetimportshop.com;0;0;4974693;5;0;0;0;0;20131115
1;gourmetimportshop.com;0;0;5540647;6;0;0;0;0;20131015
1;gourmetimportshop.com;0;0;5857483;6;0;0;0;0;20130915
1;gourmetimportshop.com;0;0;6109733;4;0;0;0;0;20130815
1;gourmetimportshop.com;0;0;5750337;4;0;0;0;0;20130715
1;gourmetimportshop.com;0;0;5636631;6;0;0;0;0;20130615
1;gourmetimportshop.com;0;0;5393538;7;0;0;0;0;20130515
2;gourmetimportshop.com;0;0;4935640;4;0;0;0;0;20130415
1;gourmetimportshop.com;0;0;6087957;11;0;0;0;0;20130315
2;gourmetimportshop.com;0;0;5393019;8;1;0;0;0;20130215
2;gourmetimportshop.com;0;0;5368351;4;1;0;0;0;20130115
1;gourmetimportshop.com;0;0;6291578;4;0;0;0;0;20121215
5;gourmetimportshop.com;0;0;4260382;7;2;0;0;0;20121115
4;gourmetimportshop.com;0;0;4677500;11;1;0;0;0;20121015
3;gourmetimportshop.com;0;0;5133211;13;1;0;0;0;20120915
6;gourmetimportshop.com;0;0;4367364;13;3;0;0;0;20120815
8;gourmetimportshop.com;0;0;4067067;12;5;0;0;0;20120715
5;gourmetimportshop.com;0;0;4705575;11;5;0;0;0;20120615
3;gourmetimportshop.com;0;0;5952605;10;3;0;0;0;20120515
4;gourmetimportshop.com;0;0;5915543;13;4;0;0;0;20120415
8;gourmetimportshop.com;0;0;4533675;14;6;0;0;0;20120315
6;gourmetimportshop.com;0;0;4721194;13;7;0;0;0;20120215
8;gourmetimportshop.com;0;0;4242751;11;6;0;0;0;20120115
