Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
15810;freshco.com;0;0;129050;18924;15280;0;0;0;20210615
15797;freshco.com;0;0;128801;13763;13575;0;0;0;20210515
15718;freshco.com;0;0;126948;10119;12810;0;0;0;20210415
15410;freshco.com;0;0;125759;9878;7162;0;0;0;20210315
15162;freshco.com;0;0;124033;11379;7519;0;0;0;20210215
13913;freshco.com;0;0;131894;8822;7290;0;0;0;20210115
13830;freshco.com;0;0;131062;8396;7032;0;0;0;20201215
14866;freshco.com;0;0;122292;5437;3879;0;0;0;20201115
17147;freshco.com;0;0;108233;5631;10525;0;0;0;20201015
14810;freshco.com;0;0;120212;6000;3296;0;0;0;20200915
17958;freshco.com;0;0;103310;6538;6406;0;0;0;20200815
18411;freshco.com;0;0;98280;5123;7253;0;0;0;20200715
18498;freshco.com;0;0;97940;6327;7206;0;0;0;20200615
18442;freshco.com;0;0;97613;6805;7568;0;0;0;20200515
18495;freshco.com;0;0;97927;7308;7449;0;0;0;20200415
17426;freshco.com;0;0;102206;5445;8618;0;0;0;20200315
18117;freshco.com;0;0;98511;7552;9819;0;0;0;20200215
18445;freshco.com;0;0;95542;10372;14392;0;0;0;20200115
16765;freshco.com;0;0;103143;10532;16284;0;0;0;20191215
13419;freshco.com;2;2;119741;5997;11564;2;2;0;20191115
10402;freshco.com;10;6;142365;8342;7385;6;10;0;20191015
10248;freshco.com;0;0;141548;6590;6967;0;0;0;20190915
10540;freshco.com;0;0;137688;5628;7276;0;0;0;20190815
10581;freshco.com;0;0;138693;5487;7399;0;0;0;20190715
10635;freshco.com;0;0;138155;4446;7570;0;0;0;20190615
12704;freshco.com;0;0;108167;6974;4001;0;0;0;20190515
12874;freshco.com;0;0;106837;5285;3910;0;0;0;20190415
13026;freshco.com;0;0;106512;4674;4048;0;0;0;20190315
12776;freshco.com;0;0;106906;5291;4085;0;0;0;20190215
12593;freshco.com;0;0;108442;4598;4010;0;0;0;20190115
12601;freshco.com;0;0;108406;3188;4177;0;0;0;20181215
12229;freshco.com;0;0;110707;2698;3972;0;0;0;20181115
12145;freshco.com;0;0;111659;2760;3987;0;0;0;20181015
12488;freshco.com;0;0;107043;2764;4046;0;0;0;20180915
12286;freshco.com;0;0;111282;3005;3968;0;0;0;20180815
12942;freshco.com;0;0;106801;3077;4067;0;0;0;20180715
10716;freshco.com;0;0;123694;4239;3939;0;0;0;20180615
10432;freshco.com;0;0;125805;3825;3846;0;0;0;20180515
10199;freshco.com;0;0;126894;3829;3733;0;0;0;20180415
10335;freshco.com;0;0;126001;3876;3741;0;0;0;20180315
11924;freshco.com;0;0;116260;4903;3967;0;0;0;20180215
13146;freshco.com;0;0;104065;4520;3667;0;0;0;20180115
12301;freshco.com;0;0;96702;3961;8687;0;0;0;20171215
12120;freshco.com;0;0;98903;3907;8661;0;0;0;20171115
12240;freshco.com;0;0;98632;3749;7763;0;0;0;20171015
12377;freshco.com;0;0;98233;3446;8955;0;0;0;20170915
12035;freshco.com;0;0;101460;3313;7744;0;0;0;20170815
11987;freshco.com;0;0;89803;3279;8789;0;0;0;20170715
12204;freshco.com;0;0;102107;3587;8948;0;0;0;20170615
18211;freshco.com;0;0;79328;3457;17581;0;0;0;20170515
22226;freshco.com;0;0;72197;3320;17020;0;0;0;20170415
12519;freshco.com;0;0;101921;3285;7880;0;0;0;20170315
12678;freshco.com;0;0;100910;3037;8740;0;0;0;20170215
