Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
142;friskycowgelato.com;0;0;3303744;79;32;0;0;0;20210615
146;friskycowgelato.com;0;0;3248360;85;74;0;0;0;20210515
146;friskycowgelato.com;0;0;3227594;58;40;0;0;0;20210415
147;friskycowgelato.com;0;0;3171278;53;40;0;0;0;20210315
147;friskycowgelato.com;0;0;3191710;45;40;0;0;0;20210215
147;friskycowgelato.com;0;0;3189497;48;47;0;0;0;20210115
136;friskycowgelato.com;0;0;3305061;43;16;0;0;0;20201215
129;friskycowgelato.com;0;0;3390696;35;0;0;0;0;20201115
137;friskycowgelato.com;0;0;3276661;37;20;0;0;0;20201015
129;friskycowgelato.com;0;0;3336765;35;0;0;0;0;20200915
131;friskycowgelato.com;0;0;3281196;45;3;0;0;0;20200815
131;friskycowgelato.com;0;0;3238750;41;2;0;0;0;20200715
131;friskycowgelato.com;0;0;3224007;41;0;0;0;0;20200615
136;friskycowgelato.com;0;0;3110711;37;25;0;0;0;20200515
132;friskycowgelato.com;0;0;3118176;38;8;0;0;0;20200415
131;friskycowgelato.com;0;0;3157336;38;7;0;0;0;20200315
147;friskycowgelato.com;0;0;2913200;38;14;0;0;0;20200215
145;friskycowgelato.com;0;0;2904402;49;10;0;0;0;20200115
80;friskycowgelato.com;0;0;3984022;54;24;0;0;0;20191215
82;friskycowgelato.com;0;0;3715212;49;24;0;0;0;20191115
72;friskycowgelato.com;0;0;3921191;36;0;0;0;0;20191015
72;friskycowgelato.com;0;0;3876120;25;0;0;0;0;20190915
72;friskycowgelato.com;0;0;3916163;24;0;0;0;0;20190815
72;friskycowgelato.com;0;0;3976823;29;0;0;0;0;20190715
72;friskycowgelato.com;0;0;3905376;28;0;0;0;0;20190615
2;friskycowgelato.com;0;0;11697481;31;0;0;0;0;20190515
0;friskycowgelato.com;0;0;36775831;30;0;0;0;0;20190415
0;friskycowgelato.com;0;0;42135577;30;0;0;0;0;20190315
1;friskycowgelato.com;0;0;13063234;31;2;0;0;0;20190215
0;friskycowgelato.com;0;0;23184853;27;0;0;0;0;20190115
0;friskycowgelato.com;0;0;43570043;20;0;0;0;0;20181215
0;friskycowgelato.com;0;0;29173493;26;0;0;0;0;20181115
4;friskycowgelato.com;0;0;10191600;12;6;0;0;0;20181015
1;friskycowgelato.com;0;0;14184821;7;2;0;0;0;20180915
0;friskycowgelato.com;0;0;19449205;12;0;0;0;0;20180815
0;friskycowgelato.com;0;0;30743031;5;0;0;0;0;20180715
0;friskycowgelato.com;0;0;0;0;0;0;0;0;20180615
0;friskycowgelato.com;0;0;0;0;0;0;0;0;20180515
0;friskycowgelato.com;0;0;0;0;0;0;0;0;20180415
0;friskycowgelato.com;0;0;0;0;0;0;0;0;20180315
0;friskycowgelato.com;0;0;0;0;0;0;0;0;20180215
0;friskycowgelato.com;0;0;0;0;0;0;0;0;20180115
0;friskycowgelato.com;0;0;0;0;0;0;0;0;20171215
0;friskycowgelato.com;0;0;0;0;0;0;0;0;20171115
0;friskycowgelato.com;0;0;0;0;0;0;0;0;20171015
0;friskycowgelato.com;0;0;0;0;0;0;0;0;20170915
0;friskycowgelato.com;0;0;0;0;0;0;0;0;20170815
0;friskycowgelato.com;0;0;0;0;0;0;0;0;20170715
0;friskycowgelato.com;0;0;0;0;0;0;0;0;20170615
0;friskycowgelato.com;0;0;0;0;0;0;0;0;20170515
0;friskycowgelato.com;0;0;0;0;0;0;0;0;20170415
