Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
3625;trainafoods.com;0;0;400913;2283;2712;0;0;0;20210615
3133;trainafoods.com;0;0;445660;2289;2368;0;0;0;20210515
3707;trainafoods.com;0;0;384960;2326;3436;0;0;0;20210415
4701;trainafoods.com;0;0;314450;2315;4192;0;0;0;20210315
6132;trainafoods.com;0;0;255875;2495;5432;0;0;0;20210215
5111;trainafoods.com;0;0;293775;2577;4202;0;0;0;20210115
4871;trainafoods.com;0;0;301144;2502;4421;0;0;0;20201215
4641;trainafoods.com;0;0;309039;2210;4156;0;0;0;20201115
4761;trainafoods.com;0;0;300491;2158;4204;0;0;0;20201015
4982;trainafoods.com;0;0;286195;2307;4930;0;0;0;20200915
4068;trainafoods.com;0;0;333072;2278;3533;0;0;0;20200815
3921;trainafoods.com;0;0;333588;2229;3640;0;0;0;20200715
3734;trainafoods.com;0;0;346164;2280;3601;0;0;0;20200615
4426;trainafoods.com;0;0;301518;1963;4948;0;0;0;20200515
1961;trainafoods.com;0;0;549794;1784;1148;0;0;0;20200415
2747;trainafoods.com;0;0;428537;1838;1899;0;0;0;20200315
2397;trainafoods.com;0;0;468116;1793;1796;0;0;0;20200215
1972;trainafoods.com;0;0;535276;1548;1417;0;0;0;20200115
1862;trainafoods.com;0;0;554272;1387;1566;0;0;0;20191215
1594;trainafoods.com;0;0;593577;1294;1777;0;0;0;20191115
1541;trainafoods.com;0;0;595395;1284;1679;0;0;0;20191015
1574;trainafoods.com;0;0;576837;1249;1706;0;0;0;20190915
1972;trainafoods.com;0;0;488335;1233;1953;0;0;0;20190815
1685;trainafoods.com;0;0;556149;1283;1791;0;0;0;20190715
1776;trainafoods.com;9;2;532751;1210;1836;2;9;56;20190615
941;trainafoods.com;0;2;732283;1361;326;2;0;0;20190515
1008;trainafoods.com;2;1;697083;1394;350;1;2;1;20190415
945;trainafoods.com;0;0;737125;1306;322;0;0;0;20190315
1010;trainafoods.com;0;0;700020;1157;430;0;0;0;20190215
