Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
301751;hersheys.com;11272;20;10355;26284;145912;20;11272;1759;20210615
249529;hersheys.com;8005;17;12228;24880;124633;17;8005;2411;20210515
268671;hersheys.com;8533;27;11342;29383;115417;27;8533;3004;20210415
794803;hersheys.com;27137;154;4299;53617;478302;154;27137;34123;20210315
2005507;hersheys.com;37467;567;1909;92624;1488592;567;37467;54853;20210215
1879093;hersheys.com;12892;138;2002;93468;1346543;138;12892;10309;20210115
1937407;hersheys.com;90217;1256;1943;92537;1548717;1256;90217;114135;20201215
1886338;hersheys.com;81092;1106;1988;92357;1545090;1106;81092;78016;20201115
1810031;hersheys.com;60166;1199;2023;90069;1112142;1199;60166;44575;20201015
1731012;hersheys.com;52261;1685;2063;92418;1320073;1685;52261;49970;20200915
1601499;hersheys.com;48096;2124;2216;94977;1033112;2124;48096;35111;20200815
1543204;hersheys.com;42987;940;2200;93382;1009079;940;42987;34624;20200715
1470375;hersheys.com;65909;1124;2288;97327;975790;1124;65909;67533;20200615
1367000;hersheys.com;67633;837;2418;99022;748828;837;67633;57452;20200515
1356405;hersheys.com;78565;724;2440;93288;744493;724;78565;69955;20200415
1194579;hersheys.com;87939;1546;2726;93645;820866;1546;87939;75231;20200315
1209950;hersheys.com;63567;512;2693;95215;1447121;512;63567;64334;20200215
1161188;hersheys.com;13804;292;2749;97848;1071806;292;13804;9978;20200115
1123961;hersheys.com;174700;4631;2862;94811;1011801;4631;174700;191801;20191215
1013996;hersheys.com;116412;2902;3048;92709;903984;2902;116412;127948;20191115
971568;hersheys.com;22642;904;3052;91292;629969;904;22642;14184;20191015
954545;hersheys.com;4340;249;3058;90930;628663;249;4340;4544;20190915
962860;hersheys.com;16920;587;3051;93633;655424;587;16920;13532;20190815
937870;hersheys.com;1;2;3126;92397;629573;2;1;1;20190715
928454;hersheys.com;1919;34;3156;86767;620063;34;1919;3272;20190615
798352;hersheys.com;1828;27;3279;83174;764695;27;1828;2406;20190515
799304;hersheys.com;28249;262;3278;81908;770513;262;28249;19004;20190415
731555;hersheys.com;59711;592;3529;80403;713449;592;59711;54804;20190315
751170;hersheys.com;8457;248;3426;78954;762856;248;8457;8393;20190215
726902;hersheys.com;1098;31;3515;76069;751954;31;1098;1599;20190115
712665;hersheys.com;11233;205;3577;74140;714244;205;11233;10589;20181215
679107;hersheys.com;1338;33;3729;76354;668805;33;1338;2449;20181115
627984;hersheys.com;37790;217;3952;85755;588638;217;37790;36310;20181015
691892;hersheys.com;40471;211;3377;90093;663778;211;40471;40517;20180915
758886;hersheys.com;17416;165;3256;83493;768383;165;17416;20893;20180815
629313;hersheys.com;14017;49;3873;74499;596997;49;14017;15039;20180715
672428;hersheys.com;20084;119;3651;69926;647742;119;20084;23185;20180615
695891;hersheys.com;15496;45;3561;70317;677059;45;15496;18530;20180515
749589;hersheys.com;2279;50;3330;68282;753753;50;2279;1543;20180415
783458;hersheys.com;1072;29;3182;68445;823712;29;1072;858;20180315
912142;hersheys.com;5791;102;2964;96396;1002497;102;5791;5791;20180215
777129;hersheys.com;9059;142;3256;92654;842508;142;9059;13381;20180115
582670;hersheys.com;11211;217;3602;94076;714338;217;11211;15758;20171215
595819;hersheys.com;35987;2275;3556;95055;736475;2275;35987;48185;20171115
585221;hersheys.com;0;0;3649;93121;748109;0;0;0;20171015
613042;hersheys.com;192754;7886;3491;89755;788302;7886;192754;244075;20170915
592186;hersheys.com;119607;2465;3656;92908;745944;2465;119607;170068;20170815
496831;hersheys.com;37954;935;3504;86170;574853;935;37954;60214;20170715
645436;hersheys.com;71211;1563;3382;80651;816293;1563;71211;99838;20170615
696296;hersheys.com;80814;1224;3324;84852;836270;1224;80814;124979;20170515
746078;hersheys.com;100416;1809;3327;85651;921862;1809;100416;156165;20170415
652722;hersheys.com;66442;1094;3369;86451;798853;1094;66442;98134;20170315
691346;hersheys.com;59840;1221;3165;86599;837455;1221;59840;96043;20170215
663690;hersheys.com;59792;928;3282;83296;808834;928;59792;97063;20170115
627475;hersheys.com;26172;1303;3386;79922;741126;1303;26172;42330;20161215
552330;hersheys.com;7439;536;3109;70545;687971;536;7439;11552;20161115
565533;hersheys.com;9025;1186;3089;77438;696840;1186;9025;18423;20161015
550717;hersheys.com;15743;3224;3170;80406;666688;3224;15743;31294;20160915
590710;hersheys.com;24002;4491;2978;87413;753748;4491;24002;45132;20160815
553597;hersheys.com;31648;4623;3180;84501;713764;4623;31648;56832;20160715
554852;hersheys.com;21400;5433;3181;81092;706139;5433;21400;40909;20160615
541463;hersheys.com;28577;6090;3267;80165;679173;6090;28577;44839;20160515
554697;hersheys.com;47469;6857;3133;82133;638586;6857;47469;69626;20160415
614620;hersheys.com;50705;5913;2688;82474;672530;5913;50705;64665;20160315
563625;hersheys.com;31539;5440;2944;82744;584436;5440;31539;50289;20160215
554849;hersheys.com;39285;5269;2985;80611;566264;5269;39285;56698;20160115
556827;hersheys.com;31584;5479;2978;84676;572966;5479;31584;51927;20151215
533128;hersheys.com;27938;7044;3154;80622;575088;7044;27938;46490;20151115
601797;hersheys.com;37349;8145;2683;94617;753327;8145;37349;47424;20151015
539120;hersheys.com;42794;4318;2867;18648;636989;4318;42794;55064;20150915
564878;hersheys.com;32096;3732;2739;18138;680938;3732;32096;47605;20150815
551888;hersheys.com;28316;3700;2721;18194;652218;3700;28316;41674;20150715
487610;hersheys.com;39315;5300;3009;19013;524664;5300;39315;55369;20150615
580553;hersheys.com;26386;3277;2350;17910;611529;3277;26386;38065;20150515
544011;hersheys.com;5729;650;2430;15976;700660;650;5729;4780;20150415
538480;hersheys.com;2836;84;2436;16112;640147;84;2836;3545;20150315
566005;hersheys.com;1546;30;2312;16389;718740;30;1546;2187;20150215
612265;hersheys.com;119;7;2162;16524;796142;7;119;19;20150115
509337;hersheys.com;2290;146;2526;15645;589846;146;2290;1626;20141215
551753;hersheys.com;13086;9515;2600;17327;645658;9515;13086;5884;20141115
596887;hersheys.com;65442;4232;2384;16202;615588;4232;65442;52530;20141015
579338;hersheys.com;9;1;2446;16381;603663;1;9;7;20140915
583068;hersheys.com;0;3;2431;16984;607922;3;0;1;20140815
523893;hersheys.com;0;0;2368;20006;426444;0;0;0;20140715
527349;hersheys.com;0;0;2329;21202;432780;0;0;0;20140615
545285;hersheys.com;0;132;2300;21266;473493;132;0;0;20140515
537132;hersheys.com;712;886;2330;20284;442950;886;712;201;20140415
508130;hersheys.com;2650;140;2435;19526;413247;140;2650;1608;20140315
478629;hersheys.com;63;300;2451;18976;414501;300;63;1;20140215
468966;hersheys.com;7890;364;2515;19119;409370;364;7890;12899;20140115
471029;hersheys.com;25238;4942;2513;18262;402503;4942;25238;19188;20131215
413259;hersheys.com;38415;5637;2536;18035;362122;5637;38415;29342;20131115
304999;hersheys.com;31112;2798;2308;18413;289082;2798;31112;23510;20131015
334298;hersheys.com;126;110;2113;18614;324387;110;126;59;20130915
326173;hersheys.com;19;21;2136;18921;315577;21;19;11;20130815
295138;hersheys.com;56;51;2356;18796;294869;51;56;58;20130715
240925;hersheys.com;2583;1226;2567;15966;282711;1226;2583;2246;20130615
272440;hersheys.com;4645;2350;2336;17251;302875;2350;4645;3913;20130515
280944;hersheys.com;0;0;2439;17980;322717;0;0;0;20130415
281193;hersheys.com;20269;773;2460;18476;317819;773;20269;19496;20130315
301666;hersheys.com;4;2;2322;17799;319282;2;4;2;20130215
306630;hersheys.com;0;2;2335;18307;331639;2;0;0;20130115
297923;hersheys.com;12598;3004;2398;17173;308019;3004;12598;11072;20121215
277420;hersheys.com;29866;5206;2547;16774;296460;5206;29866;23335;20121115
321829;hersheys.com;119;131;2244;17375;332180;131;119;80;20121015
311804;hersheys.com;0;4;2327;15843;328515;4;0;0;20120915
303009;hersheys.com;0;1;2391;15621;306885;1;0;0;20120815
329049;hersheys.com;5;5;2285;17190;333506;5;5;2;20120715
336148;hersheys.com;473;284;2252;17387;343546;284;473;401;20120615
351622;hersheys.com;4;2;2233;15056;335007;2;4;4;20120515
328117;hersheys.com;0;1;2366;15017;321206;1;0;0;20120415
345316;hersheys.com;894;237;2346;15464;313268;237;894;493;20120315
326382;hersheys.com;0;5;2525;11793;301846;5;0;0;20120215
386169;hersheys.com;14;3;2137;19454;339529;3;14;17;20120115
