Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
309;gilhooleys.com;0;0;2145858;43;131;0;0;0;20210615
222;gilhooleys.com;0;0;2584853;49;83;0;0;0;20210515
126;gilhooleys.com;0;0;3491812;61;45;0;0;0;20210415
152;gilhooleys.com;0;0;3114326;58;3;0;0;0;20210315
143;gilhooleys.com;0;0;3232310;54;2;0;0;0;20210215
142;gilhooleys.com;0;0;3242319;58;86;0;0;0;20210115
136;gilhooleys.com;0;0;3297101;55;0;0;0;0;20201215
102;gilhooleys.com;0;0;3835832;50;16;0;0;0;20201115
79;gilhooleys.com;0;0;4383046;43;22;0;0;0;20201015
85;gilhooleys.com;0;0;4182345;51;19;0;0;0;20200915
80;gilhooleys.com;0;0;4282084;57;0;0;0;0;20200815
79;gilhooleys.com;0;0;4277133;54;0;0;0;0;20200715
112;gilhooleys.com;0;0;3526529;60;0;0;0;0;20200615
81;gilhooleys.com;0;0;4102364;62;0;0;0;0;20200515
85;gilhooleys.com;0;0;3954929;59;2;0;0;0;20200415
41;gilhooleys.com;0;0;5873387;51;2;0;0;0;20200315
52;gilhooleys.com;0;0;5113704;81;0;0;0;0;20200215
49;gilhooleys.com;0;0;5215696;91;0;0;0;0;20200115
53;gilhooleys.com;0;0;5002710;95;0;0;0;0;20191215
108;gilhooleys.com;0;0;3199037;110;3;0;0;0;20191115
20;gilhooleys.com;0;0;7209890;58;0;0;0;0;20191015
25;gilhooleys.com;0;0;6577043;54;0;0;0;0;20190915
24;gilhooleys.com;0;0;6792425;53;0;0;0;0;20190815
18;gilhooleys.com;0;0;7801531;59;0;0;0;0;20190715
17;gilhooleys.com;0;0;7752725;56;0;0;0;0;20190615
110;gilhooleys.com;0;0;2619943;75;0;0;0;0;20190515
113;gilhooleys.com;0;0;2581994;91;1;0;0;0;20190415
114;gilhooleys.com;0;0;2586754;82;0;0;0;0;20190315
371;gilhooleys.com;0;0;1335001;141;43;0;0;0;20190215
294;gilhooleys.com;0;0;1552142;159;43;0;0;0;20190115
227;gilhooleys.com;0;0;1800857;167;48;0;0;0;20181215
447;gilhooleys.com;0;0;1209242;222;48;0;0;0;20181115
327;gilhooleys.com;0;0;1481548;290;34;0;0;0;20181015
259;gilhooleys.com;0;0;1719607;246;43;0;0;0;20180915
278;gilhooleys.com;0;0;1663677;221;33;0;0;0;20180815
212;gilhooleys.com;0;0;1995129;281;15;0;0;0;20180715
418;gilhooleys.com;0;0;1318537;224;43;0;0;0;20180615
270;gilhooleys.com;0;0;1721867;214;43;0;0;0;20180515
354;gilhooleys.com;0;0;1464148;225;14;0;0;0;20180415
351;gilhooleys.com;0;0;1481173;218;14;0;0;0;20180315
253;gilhooleys.com;0;0;1770171;237;14;0;0;0;20180215
102;gilhooleys.com;0;0;2832538;160;0;0;0;0;20180115
41;gilhooleys.com;0;0;4290171;146;0;0;0;0;20171215
39;gilhooleys.com;0;0;4393059;151;0;0;0;0;20171115
50;gilhooleys.com;0;0;3802093;98;0;0;0;0;20171015
55;gilhooleys.com;0;0;3645729;99;0;0;0;0;20170915
58;gilhooleys.com;0;0;3560947;96;0;0;0;0;20170815
28;gilhooleys.com;0;0;4830854;87;0;0;0;0;20170715
84;gilhooleys.com;0;0;2951723;107;0;0;0;0;20170615
80;gilhooleys.com;0;0;3144042;100;0;0;0;0;20170515
73;gilhooleys.com;0;0;3387854;86;0;0;0;0;20170415
57;gilhooleys.com;0;0;3659730;78;0;0;0;0;20170315
15;gilhooleys.com;0;0;6377442;23;0;0;0;0;20170215
29;gilhooleys.com;0;0;5226761;61;0;0;0;0;20170115
44;gilhooleys.com;0;0;4290517;86;0;0;0;0;20161215
36;gilhooleys.com;0;0;3369345;72;0;0;0;0;20161115
50;gilhooleys.com;0;0;2799152;74;0;0;0;0;20161015
34;gilhooleys.com;0;0;3291357;63;0;0;0;0;20160915
35;gilhooleys.com;0;0;3265185;79;0;0;0;0;20160815
36;gilhooleys.com;0;0;3245840;79;0;0;0;0;20160715
32;gilhooleys.com;0;0;3419770;88;0;0;0;0;20160615
30;gilhooleys.com;0;0;3558224;91;0;0;0;0;20160515
30;gilhooleys.com;0;0;3451714;90;0;0;0;0;20160415
30;gilhooleys.com;0;0;3404395;90;0;0;0;0;20160315
30;gilhooleys.com;0;0;3381139;90;0;0;0;0;20160215
29;gilhooleys.com;0;0;3418930;94;0;0;0;0;20160115
25;gilhooleys.com;0;0;3710250;24;0;0;0;0;20151215
20;gilhooleys.com;0;0;4237236;26;0;0;0;0;20151115
25;gilhooleys.com;0;0;3766072;77;0;0;0;0;20151015
0;gilhooleys.com;0;0;8967896;1;0;0;0;0;20150915
5;gilhooleys.com;0;0;5651090;2;0;0;0;0;20150815
0;gilhooleys.com;0;0;10626218;1;0;0;0;0;20150715
0;gilhooleys.com;0;0;11319451;1;0;0;0;0;20150615
1;gilhooleys.com;0;0;6958752;1;0;0;0;0;20150515
4;gilhooleys.com;0;0;5624963;2;0;0;0;0;20150415
0;gilhooleys.com;0;0;10824819;1;0;0;0;0;20150315
4;gilhooleys.com;0;0;5475354;2;0;0;0;0;20150215
0;gilhooleys.com;0;0;7881293;1;0;0;0;0;20150115
0;gilhooleys.com;0;0;10537416;1;0;0;0;0;20141215
0;gilhooleys.com;0;0;0;0;0;0;0;0;20141115
0;gilhooleys.com;0;0;9120811;1;0;0;0;0;20141015
9;gilhooleys.com;0;0;4953547;2;0;0;0;0;20140915
9;gilhooleys.com;0;0;5051053;2;0;0;0;0;20140815
0;gilhooleys.com;0;0;0;0;0;0;0;0;20140715
0;gilhooleys.com;0;0;0;0;0;0;0;0;20140615
0;gilhooleys.com;0;0;0;0;0;0;0;0;20140515
0;gilhooleys.com;0;0;0;0;0;0;0;0;20140415
0;gilhooleys.com;0;0;0;0;0;0;0;0;20140315
0;gilhooleys.com;0;0;0;0;0;0;0;0;20140215
0;gilhooleys.com;0;0;0;0;0;0;0;0;20140115
