Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
893;glykasweets.com;0;0;1103277;345;1289;0;0;0;20210615
578;glykasweets.com;0;0;1461271;354;662;0;0;0;20210515
534;glykasweets.com;0;0;1517156;347;491;0;0;0;20210415
494;glykasweets.com;0;0;1571043;330;293;0;0;0;20210315
571;glykasweets.com;0;0;1443751;331;304;0;0;0;20210215
438;glykasweets.com;0;0;1699336;318;148;0;0;0;20210115
448;glykasweets.com;0;0;1661714;309;292;0;0;0;20201215
516;glykasweets.com;0;0;1505420;266;640;0;0;0;20201115
362;glykasweets.com;0;0;1868239;254;353;0;0;0;20201015
368;glykasweets.com;0;0;1826248;257;269;0;0;0;20200915
332;glykasweets.com;0;0;1922190;255;159;0;0;0;20200815
273;glykasweets.com;0;0;2131996;247;192;0;0;0;20200715
460;glykasweets.com;0;0;1537850;254;281;0;0;0;20200615
350;glykasweets.com;0;0;1802143;294;274;0;0;0;20200515
333;glykasweets.com;0;0;1828470;275;367;0;0;0;20200415
389;glykasweets.com;0;0;1668672;266;313;0;0;0;20200315
203;glykasweets.com;0;0;2429359;261;61;0;0;0;20200215
302;glykasweets.com;0;0;1898996;275;220;0;0;0;20200115
227;glykasweets.com;0;0;2237064;258;66;0;0;0;20191215
258;glykasweets.com;0;0;1957813;239;151;0;0;0;20191115
383;glykasweets.com;0;0;1510457;246;219;0;0;0;20191015
335;glykasweets.com;0;0;1619157;259;223;0;0;0;20190915
192;glykasweets.com;0;0;2262249;256;144;0;0;0;20190815
219;glykasweets.com;0;0;2133920;236;154;0;0;0;20190715
226;glykasweets.com;0;0;2065343;233;167;0;0;0;20190615
112;glykasweets.com;0;0;2602342;213;68;0;0;0;20190515
97;glykasweets.com;0;0;2802325;234;60;0;0;0;20190415
89;glykasweets.com;0;0;2934553;193;27;0;0;0;20190315
53;glykasweets.com;0;0;3836196;173;23;0;0;0;20190215
43;glykasweets.com;0;0;4243770;179;15;0;0;0;20190115
59;glykasweets.com;12926;20;3659798;175;26;20;12926;4631;20181215
46;glykasweets.com;333;8;4190076;148;22;8;333;198;20181115
41;glykasweets.com;9702;50;4474306;162;15;50;9702;4991;20181015
53;glykasweets.com;12178;32;4025829;163;18;32;12178;4261;20180915
68;glykasweets.com;991;30;3554989;167;26;30;991;522;20180815
39;glykasweets.com;1;1;4780133;137;16;1;1;0;20180715
45;glykasweets.com;0;2;4432750;135;15;2;0;0;20180615
37;glykasweets.com;0;0;4870681;138;17;0;0;0;20180515
75;glykasweets.com;0;0;3496157;164;90;0;0;0;20180415
43;glykasweets.com;0;0;4638803;165;28;0;0;0;20180315
28;glykasweets.com;0;0;5322601;160;13;0;0;0;20180215
60;glykasweets.com;0;0;3771627;192;13;0;0;0;20180115
37;glykasweets.com;0;0;4474597;178;8;0;0;0;20171215
32;glykasweets.com;0;1;4773921;186;8;1;0;0;20171115
32;glykasweets.com;0;0;4739546;130;9;0;0;0;20171015
40;glykasweets.com;0;0;4319875;154;10;0;0;0;20170915
33;glykasweets.com;0;0;4632430;147;10;0;0;0;20170815
50;glykasweets.com;0;0;3753448;146;33;0;0;0;20170715
