Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
175;gofreeshop.com;0;0;2951342;91;3;0;0;0;20210615
173;gofreeshop.com;0;0;2963157;82;1;0;0;0;20210515
154;gofreeshop.com;0;0;3136725;71;0;0;0;0;20210415
150;gofreeshop.com;0;0;3136959;68;0;0;0;0;20210315
145;gofreeshop.com;0;0;3209461;68;0;0;0;0;20210215
146;gofreeshop.com;0;0;3195996;62;0;0;0;0;20210115
145;gofreeshop.com;0;0;3181175;64;1;0;0;0;20201215
152;gofreeshop.com;0;0;3094012;80;12;0;0;0;20201115
121;gofreeshop.com;0;0;3504396;64;11;0;0;0;20201015
125;gofreeshop.com;0;0;3397741;61;0;0;0;0;20200915
137;gofreeshop.com;0;0;3206028;70;0;0;0;0;20200815
72;gofreeshop.com;0;0;4544283;63;0;0;0;0;20200715
50;gofreeshop.com;0;0;5439225;73;0;0;0;0;20200615
26;gofreeshop.com;0;0;7103432;71;35;0;0;0;20200515
22;gofreeshop.com;0;0;7594277;57;46;0;0;0;20200415
18;gofreeshop.com;0;0;8088712;45;10;0;0;0;20200315
19;gofreeshop.com;0;0;7837240;47;12;0;0;0;20200215
19;gofreeshop.com;0;0;7809296;52;12;0;0;0;20200115
32;gofreeshop.com;0;0;6466788;55;13;0;0;0;20191215
19;gofreeshop.com;0;0;7507538;58;18;0;0;0;20191115
15;gofreeshop.com;0;0;8137516;64;17;0;0;0;20191015
29;gofreeshop.com;0;0;6117462;72;33;0;0;0;20190915
27;gofreeshop.com;0;0;6415512;84;32;0;0;0;20190815
31;gofreeshop.com;0;0;6162043;102;35;0;0;0;20190715
31;gofreeshop.com;0;0;6069752;92;36;0;0;0;20190615
100;gofreeshop.com;0;0;2747880;86;17;0;0;0;20190515
105;gofreeshop.com;0;0;2681883;83;18;0;0;0;20190415
94;gofreeshop.com;0;0;2845905;79;18;0;0;0;20190315
100;gofreeshop.com;0;0;2784957;51;15;0;0;0;20190215
79;gofreeshop.com;0;0;3178628;62;10;0;0;0;20190115
84;gofreeshop.com;0;0;3068114;66;22;0;0;0;20181215
91;gofreeshop.com;0;0;2970860;67;23;0;0;0;20181115
95;gofreeshop.com;0;0;2960937;63;26;0;0;0;20181015
92;gofreeshop.com;0;0;3042665;68;28;0;0;0;20180915
98;gofreeshop.com;0;0;2959670;72;28;0;0;0;20180815
