Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1514;goldysbreakfastbistro.com;0;0;765836;103;1112;0;0;0;20210615
1694;goldysbreakfastbistro.com;0;0;704493;68;1947;0;0;0;20210515
1367;goldysbreakfastbistro.com;0;0;807202;54;902;0;0;0;20210415
1131;goldysbreakfastbistro.com;0;0;906948;45;756;0;0;0;20210315
683;goldysbreakfastbistro.com;0;0;1286981;50;593;0;0;0;20210215
1431;goldysbreakfastbistro.com;0;0;769496;53;1237;0;0;0;20210115
1425;goldysbreakfastbistro.com;0;0;763215;58;1287;0;0;0;20201215
1346;goldysbreakfastbistro.com;0;0;784769;50;907;0;0;0;20201115
1102;goldysbreakfastbistro.com;0;0;896488;55;243;0;0;0;20201015
1406;goldysbreakfastbistro.com;0;0;743889;58;522;0;0;0;20200915
1654;goldysbreakfastbistro.com;0;0;654375;47;76;0;0;0;20200815
1724;goldysbreakfastbistro.com;0;0;619359;47;59;0;0;0;20200715
1055;goldysbreakfastbistro.com;0;0;880790;48;36;0;0;0;20200615
1573;goldysbreakfastbistro.com;0;0;654430;57;83;0;0;0;20200515
1527;goldysbreakfastbistro.com;0;0;659539;49;337;0;0;0;20200415
1510;goldysbreakfastbistro.com;0;0;665310;58;1199;0;0;0;20200315
2465;goldysbreakfastbistro.com;0;0;458565;72;242;0;0;0;20200215
2505;goldysbreakfastbistro.com;0;0;448674;72;295;0;0;0;20200115
2125;goldysbreakfastbistro.com;0;0;503693;80;318;0;0;0;20191215
1172;goldysbreakfastbistro.com;0;0;736655;84;288;0;0;0;20191115
1188;goldysbreakfastbistro.com;0;0;714810;93;291;0;0;0;20191015
1299;goldysbreakfastbistro.com;0;0;660758;117;291;0;0;0;20190915
1344;goldysbreakfastbistro.com;0;0;643264;145;363;0;0;0;20190815
1398;goldysbreakfastbistro.com;0;0;636080;135;331;0;0;0;20190715
1400;goldysbreakfastbistro.com;0;0;631500;125;430;0;0;0;20190615
1086;goldysbreakfastbistro.com;0;0;664438;100;944;0;0;0;20190515
1007;goldysbreakfastbistro.com;0;0;697425;130;889;0;0;0;20190415
882;goldysbreakfastbistro.com;0;0;772447;113;930;0;0;0;20190315
1071;goldysbreakfastbistro.com;0;0;672257;112;992;0;0;0;20190215
1349;goldysbreakfastbistro.com;0;0;577210;96;1282;0;0;0;20190115
1337;goldysbreakfastbistro.com;0;0;581716;98;1283;0;0;0;20181215
1266;goldysbreakfastbistro.com;0;0;606346;136;1078;0;0;0;20181115
1442;goldysbreakfastbistro.com;0;0;558198;223;1382;0;0;0;20181015
1238;goldysbreakfastbistro.com;0;0;622716;263;1480;0;0;0;20180915
1277;goldysbreakfastbistro.com;0;0;617264;424;1563;0;0;0;20180815
1200;goldysbreakfastbistro.com;0;0;654360;210;1215;0;0;0;20180715
1291;goldysbreakfastbistro.com;0;0;617445;169;994;0;0;0;20180615
1332;goldysbreakfastbistro.com;0;0;601604;158;1301;0;0;0;20180515
1232;goldysbreakfastbistro.com;0;0;633388;173;1227;0;0;0;20180415
1241;goldysbreakfastbistro.com;0;0;633617;202;1227;0;0;0;20180315
1569;goldysbreakfastbistro.com;0;0;541753;361;1478;0;0;0;20180215
935;goldysbreakfastbistro.com;0;0;733099;291;124;0;0;0;20180115
948;goldysbreakfastbistro.com;0;0;673399;280;97;0;0;0;20171215
1055;goldysbreakfastbistro.com;0;0;621447;315;97;0;0;0;20171115
1160;goldysbreakfastbistro.com;0;0;581376;259;75;0;0;0;20171015
1200;goldysbreakfastbistro.com;0;0;570837;230;254;0;0;0;20170915
1145;goldysbreakfastbistro.com;0;0;599093;232;46;0;0;0;20170815
1059;goldysbreakfastbistro.com;0;0;601600;209;47;0;0;0;20170715
978;goldysbreakfastbistro.com;0;0;682905;195;44;0;0;0;20170615
1083;goldysbreakfastbistro.com;0;0;684464;161;42;0;0;0;20170515
2350;goldysbreakfastbistro.com;0;0;438591;146;48;0;0;0;20170415
1103;goldysbreakfastbistro.com;0;0;645849;152;38;0;0;0;20170315
1185;goldysbreakfastbistro.com;0;0;621837;154;45;0;0;0;20170215
1183;goldysbreakfastbistro.com;0;0;628630;155;35;0;0;0;20170115
1204;goldysbreakfastbistro.com;0;0;616073;144;39;0;0;0;20161215
1010;goldysbreakfastbistro.com;0;0;542053;120;39;0;0;0;20161115
1041;goldysbreakfastbistro.com;0;0;522226;119;27;0;0;0;20161015
1115;goldysbreakfastbistro.com;0;0;496952;109;25;0;0;0;20160915
1115;goldysbreakfastbistro.com;0;0;501495;90;22;0;0;0;20160815
1119;goldysbreakfastbistro.com;0;0;498322;81;22;0;0;0;20160715
1184;goldysbreakfastbistro.com;0;0;479901;71;9;0;0;0;20160615
1217;goldysbreakfastbistro.com;0;0;469340;72;21;0;0;0;20160515
1023;goldysbreakfastbistro.com;0;0;515997;70;119;0;0;0;20160415
1021;goldysbreakfastbistro.com;0;0;507487;70;119;0;0;0;20160315
1017;goldysbreakfastbistro.com;0;0;506773;70;119;0;0;0;20160215
1042;goldysbreakfastbistro.com;0;0;497901;66;119;0;0;0;20160115
861;goldysbreakfastbistro.com;0;0;571901;67;104;0;0;0;20151215
856;goldysbreakfastbistro.com;0;0;581016;58;104;0;0;0;20151115
751;goldysbreakfastbistro.com;0;0;610897;56;0;0;0;0;20151015
826;goldysbreakfastbistro.com;0;0;543373;25;0;0;0;0;20150915
602;goldysbreakfastbistro.com;0;0;679262;23;0;0;0;0;20150815
580;goldysbreakfastbistro.com;0;0;692232;23;0;0;0;0;20150715
483;goldysbreakfastbistro.com;0;0;770832;22;0;0;0;0;20150615
160;goldysbreakfastbistro.com;0;0;1403835;19;0;0;0;0;20150515
162;goldysbreakfastbistro.com;0;0;1369865;16;0;0;0;0;20150415
259;goldysbreakfastbistro.com;0;0;1030760;15;9;0;0;0;20150315
295;goldysbreakfastbistro.com;0;0;963008;17;10;0;0;0;20150215
67;goldysbreakfastbistro.com;0;0;2128819;9;1;0;0;0;20150115
65;goldysbreakfastbistro.com;0;0;2172242;9;0;0;0;0;20141215
854;goldysbreakfastbistro.com;0;0;520417;154;43;0;0;0;20141115
923;goldysbreakfastbistro.com;0;0;492772;153;169;0;0;0;20141015
668;goldysbreakfastbistro.com;0;0;622351;19;80;0;0;0;20140915
666;goldysbreakfastbistro.com;0;0;627250;21;80;0;0;0;20140815
63;goldysbreakfastbistro.com;0;0;1762781;10;20;0;0;0;20140715
56;goldysbreakfastbistro.com;0;0;1861998;8;20;0;0;0;20140615
51;goldysbreakfastbistro.com;0;0;1954585;7;19;0;0;0;20140515
72;goldysbreakfastbistro.com;0;0;1681514;11;20;0;0;0;20140415
73;goldysbreakfastbistro.com;0;0;1670966;11;20;0;0;0;20140315
51;goldysbreakfastbistro.com;0;0;1890208;8;4;0;0;0;20140215
39;goldysbreakfastbistro.com;0;0;2165763;8;4;0;0;0;20140115
54;goldysbreakfastbistro.com;0;0;1861693;9;4;0;0;0;20131215
29;goldysbreakfastbistro.com;0;0;2300431;12;6;0;0;0;20131115
335;goldysbreakfastbistro.com;0;0;519104;45;400;0;0;0;20131015
326;goldysbreakfastbistro.com;0;0;532002;48;393;0;0;0;20130915
317;goldysbreakfastbistro.com;0;0;551038;35;382;0;0;0;20130815
256;goldysbreakfastbistro.com;0;0;630815;40;289;0;0;0;20130715
7;goldysbreakfastbistro.com;0;0;3513347;9;8;0;0;0;20130615
415;goldysbreakfastbistro.com;0;0;468084;35;767;0;0;0;20130515
286;goldysbreakfastbistro.com;0;0;630161;28;426;0;0;0;20130415
300;goldysbreakfastbistro.com;0;0;623058;40;404;0;0;0;20130315
655;goldysbreakfastbistro.com;0;0;388813;62;568;0;0;0;20130215
619;goldysbreakfastbistro.com;0;0;415151;68;554;0;0;0;20130115
345;goldysbreakfastbistro.com;0;0;620358;19;191;0;0;0;20121215
388;goldysbreakfastbistro.com;0;0;581377;19;195;0;0;0;20121115
421;goldysbreakfastbistro.com;0;0;539305;37;236;0;0;0;20121015
389;goldysbreakfastbistro.com;0;0;604620;31;365;0;0;0;20120915
399;goldysbreakfastbistro.com;0;0;596438;46;423;0;0;0;20120815
439;goldysbreakfastbistro.com;0;0;577637;56;312;0;0;0;20120715
491;goldysbreakfastbistro.com;0;0;541720;61;364;0;0;0;20120615
377;goldysbreakfastbistro.com;0;0;712143;31;274;0;0;0;20120515
381;goldysbreakfastbistro.com;0;0;743086;43;324;0;0;0;20120415
