Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
0;goodbeans.nl;0;0;23153127;12;0;0;0;0;20210615
3;goodbeans.nl;0;0;14452936;14;0;0;0;0;20210515
0;goodbeans.nl;0;0;25821283;13;0;0;0;0;20210415
0;goodbeans.nl;0;0;56043906;14;0;0;0;0;20210315
0;goodbeans.nl;0;0;24187486;9;0;0;0;0;20210215
0;goodbeans.nl;0;0;24497129;9;0;0;0;0;20210115
0;goodbeans.nl;0;0;57046412;16;0;0;0;0;20201215
0;goodbeans.nl;0;0;26525228;20;0;0;0;0;20201115
0;goodbeans.nl;0;0;46782981;20;0;0;0;0;20201015
0;goodbeans.nl;0;0;28926717;33;0;0;0;0;20200915
0;goodbeans.nl;0;0;24281346;32;0;0;0;0;20200815
0;goodbeans.nl;0;0;38379241;24;0;0;0;0;20200715
0;goodbeans.nl;0;0;36026065;27;0;0;0;0;20200615
0;goodbeans.nl;0;0;57389206;30;0;0;0;0;20200515
0;goodbeans.nl;0;0;41706374;10;0;0;0;0;20200415
0;goodbeans.nl;0;0;58704221;10;0;0;0;0;20200315
0;goodbeans.nl;0;0;43536117;26;0;0;0;0;20200215
0;goodbeans.nl;0;0;42324207;3;0;0;0;0;20200115
0;goodbeans.nl;0;0;42560170;6;0;0;0;0;20191215
0;goodbeans.nl;0;0;41323456;5;0;0;0;0;20191115
0;goodbeans.nl;0;0;0;0;0;0;0;0;20191015
0;goodbeans.nl;0;0;0;0;0;0;0;0;20190915
0;goodbeans.nl;0;0;0;0;0;0;0;0;20190815
0;goodbeans.nl;0;0;0;0;0;0;0;0;20190715
0;goodbeans.nl;0;0;0;0;0;0;0;0;20190615
0;goodbeans.nl;0;0;0;0;0;0;0;0;20190515
0;goodbeans.nl;0;0;0;0;0;0;0;0;20190415
0;goodbeans.nl;0;0;0;0;0;0;0;0;20190315
0;goodbeans.nl;0;0;24005802;1;0;0;0;0;20190215
0;goodbeans.nl;0;0;15954023;2;0;0;0;0;20190115
0;goodbeans.nl;0;0;29882632;12;0;0;0;0;20181215
0;goodbeans.nl;0;0;39676377;21;0;0;0;0;20181115
0;goodbeans.nl;0;0;38889374;14;0;0;0;0;20181015
0;goodbeans.nl;0;0;39361936;12;0;0;0;0;20180915
0;goodbeans.nl;0;0;19088276;13;0;0;0;0;20180815
0;goodbeans.nl;0;0;49775569;20;0;0;0;0;20180715
0;goodbeans.nl;0;0;23058590;21;0;0;0;0;20180615
0;goodbeans.nl;0;0;39146298;19;0;0;0;0;20180515
0;goodbeans.nl;0;0;23862565;15;0;0;0;0;20180415
0;goodbeans.nl;0;0;45164217;6;0;0;0;0;20180315
0;goodbeans.nl;0;0;24510919;3;0;0;0;0;20180215
0;goodbeans.nl;0;0;27867112;1;0;0;0;0;20180115
0;goodbeans.nl;0;0;43725010;1;0;0;0;0;20171215
0;goodbeans.nl;0;0;46452761;1;0;0;0;0;20171115
1;goodbeans.nl;0;0;11657142;2;0;0;0;0;20171015
4;goodbeans.nl;0;0;9379481;2;0;0;0;0;20170915
0;goodbeans.nl;0;0;35862354;3;0;0;0;0;20170815
0;goodbeans.nl;0;0;34320427;5;0;0;0;0;20170715
0;goodbeans.nl;0;0;43223588;7;0;0;0;0;20170615
0;goodbeans.nl;0;0;16585673;3;0;0;0;0;20170515
0;goodbeans.nl;0;0;0;0;0;0;0;0;20170415
0;goodbeans.nl;0;0;0;0;0;0;0;0;20170315
0;goodbeans.nl;0;0;0;0;0;0;0;0;20170215
0;goodbeans.nl;0;0;0;0;0;0;0;0;20170115
0;goodbeans.nl;0;0;0;0;0;0;0;0;20161215
0;goodbeans.nl;0;0;0;0;0;0;0;0;20161115
0;goodbeans.nl;0;0;0;0;0;0;0;0;20161015
0;goodbeans.nl;0;0;0;0;0;0;0;0;20160915
0;goodbeans.nl;0;0;0;0;0;0;0;0;20160815
0;goodbeans.nl;0;0;0;0;0;0;0;0;20160715
0;goodbeans.nl;0;0;0;0;0;0;0;0;20160615
0;goodbeans.nl;0;0;0;0;0;0;0;0;20160515
0;goodbeans.nl;0;0;0;0;0;0;0;0;20160415
0;goodbeans.nl;0;0;0;0;0;0;0;0;20160315
0;goodbeans.nl;0;0;0;0;0;0;0;0;20160215
0;goodbeans.nl;0;0;0;0;0;0;0;0;20160115
0;goodbeans.nl;0;0;0;0;0;0;0;0;20151215
0;goodbeans.nl;0;0;0;0;0;0;0;0;20151115
0;goodbeans.nl;0;0;0;0;0;0;0;0;20151015
0;goodbeans.nl;0;0;0;0;0;0;0;0;20150915
0;goodbeans.nl;0;0;0;0;0;0;0;0;20150815
0;goodbeans.nl;0;0;0;0;0;0;0;0;20150715
0;goodbeans.nl;0;0;0;0;0;0;0;0;20150615
0;goodbeans.nl;0;0;0;0;0;0;0;0;20150515
0;goodbeans.nl;0;0;0;0;0;0;0;0;20150415
0;goodbeans.nl;0;0;0;0;0;0;0;0;20150315
0;goodbeans.nl;0;0;0;0;0;0;0;0;20150215
0;goodbeans.nl;0;0;0;0;0;0;0;0;20150115
0;goodbeans.nl;0;0;0;0;0;0;0;0;20141215
0;goodbeans.nl;0;0;0;0;0;0;0;0;20141115
0;goodbeans.nl;0;0;0;0;0;0;0;0;20141015
0;goodbeans.nl;0;0;0;0;0;0;0;0;20140915
0;goodbeans.nl;0;0;0;0;0;0;0;0;20140815
