Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
239;gourmetpantryonline.com;0;0;2486011;346;572;0;0;0;20210615
248;gourmetpantryonline.com;0;0;2428041;387;576;0;0;0;20210515
316;gourmetpantryonline.com;0;0;2090046;392;588;0;0;0;20210415
411;gourmetpantryonline.com;0;0;1759176;373;329;0;0;0;20210315
412;gourmetpantryonline.com;0;0;1769823;359;335;0;0;0;20210215
346;gourmetpantryonline.com;0;0;1962474;295;312;0;0;0;20210115
332;gourmetpantryonline.com;0;0;1994148;334;5;0;0;0;20201215
330;gourmetpantryonline.com;0;0;1987427;307;0;0;0;0;20201115
335;gourmetpantryonline.com;0;0;1961758;237;2;0;0;0;20201015
347;gourmetpantryonline.com;0;0;1892574;211;4;0;0;0;20200915
338;gourmetpantryonline.com;0;0;1901229;223;0;0;0;0;20200815
268;gourmetpantryonline.com;0;0;2153654;216;0;0;0;0;20200715
283;gourmetpantryonline.com;0;0;2076668;199;0;0;0;0;20200615
295;gourmetpantryonline.com;0;0;2001480;264;333;0;0;0;20200515
296;gourmetpantryonline.com;0;0;1964328;285;18;0;0;0;20200415
328;gourmetpantryonline.com;0;0;1855125;222;90;0;0;0;20200315
331;gourmetpantryonline.com;0;0;1813602;227;72;0;0;0;20200215
332;gourmetpantryonline.com;0;0;1792958;319;17;0;0;0;20200115
320;gourmetpantryonline.com;0;0;1817535;319;1;0;0;0;20191215
294;gourmetpantryonline.com;0;0;1811054;370;145;0;0;0;20191115
272;gourmetpantryonline.com;0;0;1861838;409;136;0;0;0;20191015
289;gourmetpantryonline.com;0;0;1772757;453;134;0;0;0;20190915
286;gourmetpantryonline.com;0;0;1785274;464;132;0;0;0;20190815
291;gourmetpantryonline.com;0;0;1801796;370;165;0;0;0;20190715
290;gourmetpantryonline.com;0;0;1783292;314;165;0;0;0;20190615
261;gourmetpantryonline.com;0;0;1638030;232;13;0;0;0;20190515
268;gourmetpantryonline.com;0;0;1609692;262;13;0;0;0;20190415
260;gourmetpantryonline.com;0;0;1648617;286;16;0;0;0;20190315
271;gourmetpantryonline.com;0;0;1608111;265;13;0;0;0;20190215
266;gourmetpantryonline.com;0;0;1647471;273;7;0;0;0;20190115
260;gourmetpantryonline.com;0;0;1666007;268;6;0;0;0;20181215
255;gourmetpantryonline.com;0;0;1697436;318;6;0;0;0;20181115
