Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
24;graciaschocolate.com;0;0;7841680;19;0;0;0;0;20210615
26;graciaschocolate.com;0;0;7631476;21;0;0;0;0;20210515
24;graciaschocolate.com;0;0;7664157;21;0;0;0;0;20210415
26;graciaschocolate.com;0;0;7405719;25;0;0;0;0;20210315
24;graciaschocolate.com;0;0;7862074;29;0;0;0;0;20210215
1;graciaschocolate.com;0;0;16985272;28;0;0;0;0;20210115
25;graciaschocolate.com;0;0;7604098;33;0;0;0;0;20201215
27;graciaschocolate.com;0;0;7481797;20;0;0;0;0;20201115
25;graciaschocolate.com;0;0;7678956;21;0;0;0;0;20201015
24;graciaschocolate.com;0;0;7809954;26;0;0;0;0;20200915
24;graciaschocolate.com;0;0;7730580;30;0;0;0;0;20200815
24;graciaschocolate.com;0;0;7579802;38;0;0;0;0;20200715
24;graciaschocolate.com;0;0;7470454;38;0;0;0;0;20200615
24;graciaschocolate.com;0;0;7265590;29;0;0;0;0;20200515
24;graciaschocolate.com;0;0;7353611;23;0;0;0;0;20200415
24;graciaschocolate.com;0;0;7430177;19;0;0;0;0;20200315
24;graciaschocolate.com;0;0;7171992;23;0;0;0;0;20200215
24;graciaschocolate.com;0;0;7304784;37;0;0;0;0;20200115
54;graciaschocolate.com;0;0;4967638;49;3;0;0;0;20191215
51;graciaschocolate.com;0;0;4797389;51;27;0;0;0;20191115
87;graciaschocolate.com;0;0;3528098;50;39;0;0;0;20191015
87;graciaschocolate.com;0;0;3498154;36;39;0;0;0;20190915
87;graciaschocolate.com;0;0;3510562;42;39;0;0;0;20190815
159;graciaschocolate.com;0;0;2572487;64;57;0;0;0;20190715
159;graciaschocolate.com;0;0;2526112;63;57;0;0;0;20190615
141;graciaschocolate.com;0;0;2304905;68;27;0;0;0;20190515
457;graciaschocolate.com;0;0;1167645;74;90;0;0;0;20190415
137;graciaschocolate.com;0;0;2344576;85;27;0;0;0;20190315
840;graciaschocolate.com;0;0;792734;72;162;0;0;0;20190215
285;graciaschocolate.com;0;0;1580257;63;54;0;0;0;20190115
136;graciaschocolate.com;0;0;2389506;61;27;0;0;0;20181215
140;graciaschocolate.com;0;0;2378892;65;27;0;0;0;20181115
29;graciaschocolate.com;0;0;5258304;66;5;0;0;0;20181015
140;graciaschocolate.com;0;0;2432329;80;27;0;0;0;20180915
281;graciaschocolate.com;0;0;1651230;97;54;0;0;0;20180815
30;graciaschocolate.com;0;0;5354403;131;5;0;0;0;20180715
29;graciaschocolate.com;0;0;5435851;163;5;0;0;0;20180615
13;graciaschocolate.com;0;0;7365314;150;2;0;0;0;20180515
42;graciaschocolate.com;0;0;4655438;120;38;0;0;0;20180415
405;graciaschocolate.com;0;0;1354785;112;109;0;0;0;20180315
102;graciaschocolate.com;0;0;2902912;117;55;0;0;0;20180215
15;graciaschocolate.com;0;0;6776876;116;13;0;0;0;20180115
25;graciaschocolate.com;0;0;5217658;124;9;0;0;0;20171215
19;graciaschocolate.com;0;0;5698990;97;17;0;0;0;20171115
9;graciaschocolate.com;0;0;7155833;103;5;0;0;0;20171015
2;graciaschocolate.com;0;0;10741509;77;0;0;0;0;20170915
2;graciaschocolate.com;0;0;10677326;102;0;0;0;0;20170815
7;graciaschocolate.com;0;0;7332785;125;6;0;0;0;20170715
12;graciaschocolate.com;0;0;6489689;145;6;0;0;0;20170615
27;graciaschocolate.com;0;0;5227274;166;12;0;0;0;20170515
62;graciaschocolate.com;0;0;3652428;179;65;0;0;0;20170415
12;graciaschocolate.com;0;0;6614370;163;6;0;0;0;20170315
6;graciaschocolate.com;0;0;8493402;146;6;0;0;0;20170215
13;graciaschocolate.com;0;0;6849909;149;6;0;0;0;20170115
48;graciaschocolate.com;0;0;4121609;147;43;0;0;0;20161215
6;graciaschocolate.com;0;0;6490557;115;0;0;0;0;20161115
18;graciaschocolate.com;0;0;4201598;125;3;0;0;0;20161015
18;graciaschocolate.com;0;0;4254809;108;0;0;0;0;20160915
43;graciaschocolate.com;0;0;3004941;109;1;0;0;0;20160815
92;graciaschocolate.com;0;0;2129799;109;0;0;0;0;20160715
93;graciaschocolate.com;0;0;2135226;109;1;0;0;0;20160615
92;graciaschocolate.com;0;0;2149349;101;2;0;0;0;20160515
43;graciaschocolate.com;0;0;2944463;80;38;0;0;0;20160415
43;graciaschocolate.com;0;0;2920674;76;119;0;0;0;20160315
91;graciaschocolate.com;0;0;2070282;69;212;0;0;0;20160215
