Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
295;greentech.nl;0;0;2204991;752;62;0;0;0;20210615
315;greentech.nl;0;0;2116155;737;286;0;0;0;20210515
364;greentech.nl;0;0;1919536;739;175;0;0;0;20210415
249;greentech.nl;0;0;2371498;746;17;0;0;0;20210315
259;greentech.nl;0;0;2328921;747;34;0;0;0;20210215
251;greentech.nl;0;0;2368453;835;26;0;0;0;20210115
243;greentech.nl;0;0;2391942;879;17;0;0;0;20201215
266;greentech.nl;0;0;2260567;918;20;0;0;0;20201115
238;greentech.nl;0;0;2400507;955;11;0;0;0;20201015
244;greentech.nl;0;0;2333078;981;37;0;0;0;20200915
282;greentech.nl;0;0;2119352;956;35;0;0;0;20200815
314;greentech.nl;0;0;1958379;950;29;0;0;0;20200715
325;greentech.nl;0;0;1912516;1045;29;0;0;0;20200615
293;greentech.nl;0;0;2008052;1071;24;0;0;0;20200515
297;greentech.nl;0;0;1960588;974;15;0;0;0;20200415
277;greentech.nl;0;0;2054666;998;12;0;0;0;20200315
222;greentech.nl;0;0;2302035;910;28;0;0;0;20200215
351;greentech.nl;0;0;1731953;930;480;0;0;0;20200115
259;greentech.nl;0;0;2066904;923;46;0;0;0;20191215
197;greentech.nl;0;0;2295821;914;382;0;0;0;20191115
191;greentech.nl;0;0;2284640;918;475;0;0;0;20191015
194;greentech.nl;0;0;2238776;928;473;0;0;0;20190915
194;greentech.nl;0;0;2243672;865;383;0;0;0;20190815
200;greentech.nl;0;0;2254684;860;510;0;0;0;20190715
337;greentech.nl;0;0;1626190;766;667;0;0;0;20190615
137;greentech.nl;0;1;2335291;456;299;1;0;0;20190515
110;greentech.nl;5;7;2619992;518;29;7;5;3;20190415
59;greentech.nl;136;2;3581489;531;8;2;136;440;20190315
65;greentech.nl;0;0;3479184;690;10;0;0;0;20190215
76;greentech.nl;0;0;3244327;507;34;0;0;0;20190115
77;greentech.nl;0;0;3215257;524;4;0;0;0;20181215
70;greentech.nl;0;0;3407623;881;6;0;0;0;20181115
62;greentech.nl;0;0;3677219;584;7;0;0;0;20181015
94;greentech.nl;0;0;3006607;644;27;0;0;0;20180915
113;greentech.nl;0;0;2743268;643;43;0;0;0;20180815
150;greentech.nl;0;0;2417744;505;33;0;0;0;20180715
65;greentech.nl;139;4;3733728;447;47;4;139;455;20180615
60;greentech.nl;0;3;3886862;376;44;3;0;0;20180515
61;greentech.nl;0;0;3907692;363;7;0;0;0;20180415
54;greentech.nl;0;0;4138270;332;1;0;0;0;20180315
45;greentech.nl;0;0;4308975;368;0;0;0;0;20180215
47;greentech.nl;0;0;4275642;347;0;0;0;0;20180115
15;greentech.nl;0;0;6146761;280;1;0;0;0;20171215
16;greentech.nl;0;0;6047366;257;0;0;0;0;20171115
6;greentech.nl;0;0;8081343;215;2;0;0;0;20171015
21;greentech.nl;0;0;5555548;217;3;0;0;0;20170915
15;greentech.nl;0;0;6048332;211;3;0;0;0;20170815
14;greentech.nl;0;0;6019702;190;4;0;0;0;20170715
20;greentech.nl;0;0;5578791;240;7;0;0;0;20170615
34;greentech.nl;0;0;4750655;301;24;0;0;0;20170515
