Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
17299429;thekitchn.com;0;0;214;1788028;15800863;0;0;0;20210615
17465809;thekitchn.com;0;0;217;1777484;16218837;0;0;0;20210515
17356803;thekitchn.com;0;0;220;1742763;14521006;0;0;0;20210415
17535122;thekitchn.com;0;0;203;1758303;17085289;0;0;0;20210315
18092516;thekitchn.com;0;0;200;1757413;17638485;0;0;0;20210215
17755109;thekitchn.com;0;0;201;1705359;17101624;0;0;0;20210115
18382022;thekitchn.com;0;0;195;1713082;21500126;0;0;0;20201215
20169870;thekitchn.com;0;0;170;1713231;21148814;0;0;0;20201115
20421821;thekitchn.com;0;0;168;1713882;18998356;0;0;0;20201015
20133979;thekitchn.com;0;0;162;1699208;19366311;0;0;0;20200915
20287125;thekitchn.com;0;0;158;1705633;22076518;0;0;0;20200815
17950635;thekitchn.com;0;0;171;1691239;19289967;0;0;0;20200715
18864287;thekitchn.com;0;0;164;1754492;19942398;0;0;0;20200615
19660132;thekitchn.com;0;0;152;1773757;20970425;0;0;0;20200515
20735342;thekitchn.com;57;2;151;1711982;21892933;2;57;81;20200415
19324010;thekitchn.com;0;0;162;1720003;21457343;0;0;0;20200315
17283706;thekitchn.com;0;0;180;1769108;16068466;0;0;0;20200215
16358087;thekitchn.com;0;0;192;2017342;14747755;0;0;0;20200115
16701969;thekitchn.com;0;0;191;2167021;15488005;0;0;0;20191215
16097301;thekitchn.com;0;0;199;2298035;14693026;0;0;0;20191115
15145482;thekitchn.com;0;0;200;2269268;9965998;0;0;0;20191015
13771529;thekitchn.com;0;0;223;2182656;8981692;0;0;0;20190915
14301886;thekitchn.com;0;0;204;2153832;9348110;0;0;0;20190815
14344706;thekitchn.com;0;0;209;2199914;9337247;0;0;0;20190715
12810949;thekitchn.com;0;0;237;2067761;8272676;0;0;0;20190615
5953471;thekitchn.com;0;0;478;1483153;4909466;0;0;0;20190515
6421650;thekitchn.com;0;0;443;1536506;5186792;0;0;0;20190415
7369187;thekitchn.com;0;0;382;1691269;6073509;0;0;0;20190315
11856947;thekitchn.com;0;0;230;1879735;10747815;0;0;0;20190215
11689239;thekitchn.com;106;9;232;1909670;10439862;9;106;56;20190115
11147716;thekitchn.com;0;0;250;1947139;9771880;0;0;0;20181215
10914822;thekitchn.com;0;0;260;1918425;9605779;0;0;0;20181115
10546501;thekitchn.com;0;0;269;1839936;9339793;0;0;0;20181015
8479697;thekitchn.com;0;0;294;1683597;7480715;0;0;0;20180915
10146825;thekitchn.com;0;0;282;1749982;9130853;0;0;0;20180815
13579679;thekitchn.com;0;0;210;2052072;11973627;0;0;0;20180715
14134443;thekitchn.com;0;0;206;2055496;12100114;0;0;0;20180615
13388803;thekitchn.com;0;0;216;2071733;11507155;0;0;0;20180515
12060135;thekitchn.com;0;0;241;1858944;10690052;0;0;0;20180415
10744580;thekitchn.com;0;0;273;1788561;9344072;0;0;0;20180315
11840412;thekitchn.com;0;0;276;2199905;9658215;0;0;0;20180215
11482072;thekitchn.com;0;0;268;2103903;9128297;0;0;0;20180115
10158784;thekitchn.com;0;0;245;2094436;7634225;0;0;0;20171215
10199026;thekitchn.com;0;0;240;2094493;7694655;0;0;0;20171115
10545359;thekitchn.com;0;0;238;2084828;7948755;0;0;0;20171015
10592521;thekitchn.com;0;0;228;2060508;8061998;0;0;0;20170915
10532642;thekitchn.com;0;0;232;2013794;7931207;0;0;0;20170815
9101719;thekitchn.com;0;0;217;1943570;6183915;0;0;0;20170715
11026329;thekitchn.com;0;0;216;2008091;8212760;0;0;0;20170615
12282739;thekitchn.com;0;0;202;1970493;9259832;0;0;0;20170515
13377356;thekitchn.com;0;0;196;1915745;9845996;0;0;0;20170415
11602214;thekitchn.com;0;0;206;2029852;8693033;0;0;0;20170315
12005456;thekitchn.com;0;0;192;2129246;8999555;0;0;0;20170215
13374638;thekitchn.com;0;0;164;2242369;10209432;0;0;0;20170115
12893788;thekitchn.com;0;0;168;2009284;10125063;0;0;0;20161215
10785395;thekitchn.com;0;0;173;1573107;9111517;0;0;0;20161115
11068578;thekitchn.com;0;0;169;1579070;9468801;0;0;0;20161015
10755617;thekitchn.com;0;0;172;1568151;9240255;0;0;0;20160915
10453549;thekitchn.com;0;0;187;1638405;9109466;0;0;0;20160815
10513564;thekitchn.com;0;0;184;1693042;9210213;0;0;0;20160715
10135649;thekitchn.com;0;0;186;1696995;8927229;0;0;0;20160615
9421604;thekitchn.com;0;0;200;1693407;8248983;0;0;0;20160515
8739203;thekitchn.com;0;0;219;1693369;8008893;0;0;0;20160415
7953111;thekitchn.com;0;0;230;1681789;7099126;0;0;0;20160315
7939168;thekitchn.com;0;0;227;1684282;7071473;0;0;0;20160215
8381001;thekitchn.com;0;0;208;1677027;7604576;0;0;0;20160115
8515110;thekitchn.com;0;0;207;1827847;7696692;0;0;0;20151215
7650730;thekitchn.com;0;0;252;1791451;7094020;0;0;0;20151115
6489553;thekitchn.com;0;0;282;1783676;9024807;0;0;0;20151015
6481298;thekitchn.com;0;0;266;331103;7549839;0;0;0;20150915
6520970;thekitchn.com;0;0;268;325024;7760530;0;0;0;20150815
6381452;thekitchn.com;0;0;255;326758;8669348;0;0;0;20150715
5978262;thekitchn.com;0;0;274;313436;5640606;0;0;0;20150615
5357378;thekitchn.com;0;0;274;286510;4949716;0;0;0;20150515
4539404;thekitchn.com;0;0;312;256931;4148840;0;0;0;20150415
