Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
207;hamlet.be;0;0;2693978;70;84;0;0;0;20210615
53;hamlet.be;0;0;5525626;32;13;0;0;0;20210515
6;hamlet.be;0;0;11567829;14;0;0;0;0;20210415
5;hamlet.be;0;0;11604186;8;0;0;0;0;20210315
18;hamlet.be;0;0;8487058;4;0;0;0;0;20210215
5;hamlet.be;0;0;12006272;6;1;0;0;0;20210115
8;hamlet.be;0;0;10641493;15;0;0;0;0;20201215
95;hamlet.be;0;0;3997560;45;0;0;0;0;20201115
396;hamlet.be;0;0;1768410;83;3;0;0;0;20201015
763;hamlet.be;0;0;1142099;131;67;0;0;0;20200915
749;hamlet.be;0;0;1143049;135;21;0;0;0;20200815
724;hamlet.be;0;0;1145893;138;3;0;0;0;20200715
664;hamlet.be;0;0;1210942;125;3;0;0;0;20200615
550;hamlet.be;0;0;1354250;133;19;0;0;0;20200515
480;hamlet.be;0;0;1454854;111;63;0;0;0;20200415
474;hamlet.be;0;0;1471892;102;85;0;0;0;20200315
469;hamlet.be;0;0;1457056;109;0;0;0;0;20200215
357;hamlet.be;0;0;1714993;113;0;0;0;0;20200115
356;hamlet.be;0;0;1702355;95;0;0;0;0;20191215
356;hamlet.be;0;0;1612288;107;86;0;0;0;20191115
362;hamlet.be;0;0;1563702;112;85;0;0;0;20191015
351;hamlet.be;0;0;1574163;94;84;0;0;0;20190915
353;hamlet.be;0;0;1567414;87;84;0;0;0;20190815
366;hamlet.be;0;0;1563304;86;85;0;0;0;20190715
352;hamlet.be;0;0;1583859;81;84;0;0;0;20190615
167;hamlet.be;0;0;2102833;86;154;0;0;0;20190515
168;hamlet.be;0;0;2089846;82;154;0;0;0;20190415
159;hamlet.be;0;0;2163565;78;154;0;0;0;20190315
159;hamlet.be;0;0;2175177;83;155;0;0;0;20190215
160;hamlet.be;0;0;2190229;88;157;0;0;0;20190115
165;hamlet.be;0;0;2157804;104;157;0;0;0;20181215
250;hamlet.be;0;0;1717368;96;270;0;0;0;20181115
293;hamlet.be;0;0;1581854;85;278;0;0;0;20181015
209;hamlet.be;0;0;1946856;84;212;0;0;0;20180915
240;hamlet.be;0;0;1810573;85;236;0;0;0;20180815
