Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
129652;heinens.com;0;0;22013;42363;223967;0;0;0;20210615
134898;heinens.com;0;0;21231;42814;241199;0;0;0;20210515
162401;heinens.com;0;0;17618;67529;386752;0;0;0;20210415
133572;heinens.com;0;0;20496;68061;148622;0;0;0;20210315
132476;heinens.com;0;0;20460;66403;136933;0;0;0;20210215
158144;heinens.com;0;0;17417;62581;491275;0;0;0;20210115
120868;heinens.com;0;0;21865;55874;137609;0;0;0;20201215
133071;heinens.com;0;0;20084;55895;220496;0;0;0;20201115
281497;heinens.com;0;0;10414;48035;839897;0;0;0;20201015
107152;heinens.com;0;0;23574;33979;97826;0;0;0;20200915
116081;heinens.com;0;0;22026;21870;140118;0;0;0;20200815
80296;heinens.com;0;0;29379;23873;59684;0;0;0;20200715
100630;heinens.com;0;0;24224;24387;113180;0;0;0;20200615
68362;heinens.com;0;0;33628;24384;67226;0;0;0;20200515
266171;heinens.com;0;0;10508;26112;1269894;0;0;0;20200415
273770;heinens.com;0;0;10102;24458;1443491;0;0;0;20200315
74079;heinens.com;0;0;31334;24495;84667;0;0;0;20200215
192143;heinens.com;0;0;13539;24901;1005612;0;0;0;20200115
274064;heinens.com;0;0;9937;23332;1628206;0;0;0;20191215
67732;heinens.com;0;0;32218;22715;118309;0;0;0;20191115
67891;heinens.com;0;0;31234;23736;151521;0;0;0;20191015
74964;heinens.com;0;0;28565;22546;157417;0;0;0;20190915
93674;heinens.com;0;0;23598;22970;179552;0;0;0;20190815
76862;heinens.com;0;0;28082;20353;158267;0;0;0;20190715
107833;heinens.com;0;0;20883;18048;200389;0;0;0;20190615
434836;heinens.com;0;0;5728;16865;1288093;0;0;0;20190515
434604;heinens.com;0;0;5698;16519;1286571;0;0;0;20190415
585752;heinens.com;0;0;4339;13923;1803902;0;0;0;20190315
70773;heinens.com;0;0;27163;9930;54666;0;0;0;20190215
433334;heinens.com;0;0;5635;10130;1284278;0;0;0;20190115
88789;heinens.com;0;0;22341;8984;115729;0;0;0;20181215
283473;heinens.com;0;0;8163;8789;776722;0;0;0;20181115
357154;heinens.com;0;0;6646;6464;1029740;0;0;0;20181015
281788;heinens.com;0;0;7652;5169;774524;0;0;0;20180915
410749;heinens.com;0;0;5699;5637;1211790;0;0;0;20180815
154327;heinens.com;0;0;13384;6347;343718;0;0;0;20180715
432573;heinens.com;0;0;5498;12737;1283156;0;0;0;20180615
358445;heinens.com;0;0;6467;15277;1030333;0;0;0;20180515
96714;heinens.com;0;0;19870;16258;142597;0;0;0;20180415
96495;heinens.com;0;0;19884;16136;142380;0;0;0;20180315
458904;heinens.com;0;0;5541;16582;1209290;0;0;0;20180215
106878;heinens.com;0;0;18377;14871;48882;0;0;0;20180115
71850;heinens.com;0;0;22457;14102;13636;0;0;0;20171215
73775;heinens.com;0;0;22381;14052;20176;0;0;0;20171115
80590;heinens.com;0;0;20837;14883;42150;0;0;0;20171015
75388;heinens.com;0;0;22122;14894;25494;0;0;0;20170915
69606;heinens.com;0;0;23863;13934;7426;0;0;0;20170815
69020;heinens.com;0;0;20041;13763;7518;0;0;0;20170715
69705;heinens.com;0;0;24114;15659;7366;0;0;0;20170615
73635;heinens.com;0;0;24377;15499;19420;0;0;0;20170515
70377;heinens.com;0;0;27014;15618;8488;0;0;0;20170415
70254;heinens.com;0;0;24109;14794;8282;0;0;0;20170315
70862;heinens.com;0;0;23916;14242;9969;0;0;0;20170215
57907;heinens.com;0;0;28618;13517;6851;0;0;0;20170115
69959;heinens.com;0;0;23751;11789;7671;0;0;0;20161215
14822;heinens.com;0;0;70504;8887;5670;0;0;0;20161115
13079;heinens.com;0;0;78140;9384;4940;0;0;0;20161015
14654;heinens.com;0;0;70962;9323;6330;0;0;0;20160915
14684;heinens.com;0;0;71116;9664;5943;0;0;0;20160815
17666;heinens.com;0;0;61186;8627;16002;0;0;0;20160715
17430;heinens.com;0;0;61725;7722;15791;0;0;0;20160615
14160;heinens.com;0;0;72534;7624;5023;0;0;0;20160515
13339;heinens.com;0;0;74489;7458;3597;0;0;0;20160415
10636;heinens.com;0;0;86736;7436;3047;0;0;0;20160315
10192;heinens.com;0;0;89487;7377;2091;0;0;0;20160215
10153;heinens.com;0;0;89592;7390;1993;0;0;0;20160115
10248;heinens.com;0;0;89020;7725;2242;0;0;0;20151215
6539;heinens.com;0;0;127957;6240;1723;0;0;0;20151115
6333;heinens.com;0;0;125160;6288;1809;0;0;0;20151015
5952;heinens.com;0;0;125484;205;1460;0;0;0;20150915
6145;heinens.com;0;0;123388;207;1674;0;0;0;20150815
6466;heinens.com;0;0;116935;219;2508;0;0;0;20150715
6012;heinens.com;0;0;122281;186;649;0;0;0;20150615
5912;heinens.com;0;0;115973;178;557;0;0;0;20150515
6046;heinens.com;0;0;112994;194;2229;0;0;0;20150415
4707;heinens.com;0;0;135088;160;828;0;0;0;20150315
4633;heinens.com;0;0;137091;148;636;0;0;0;20150215
4590;heinens.com;0;0;137176;140;622;0;0;0;20150115
4564;heinens.com;0;0;136902;133;605;0;0;0;20141215
7922;heinens.com;0;0;97281;215;1052;0;0;0;20141115
4065;heinens.com;0;0;163225;138;7637;0;0;0;20141015
3997;heinens.com;0;0;166306;129;7694;0;0;0;20140915
3967;heinens.com;0;0;168485;138;7648;0;0;0;20140815
3555;heinens.com;0;5;156853;96;890;5;0;0;20140715
3527;heinens.com;0;0;156460;89;830;0;0;0;20140615
3474;heinens.com;0;0;155134;89;846;0;0;0;20140515
3543;heinens.com;38;115;154148;89;885;115;38;23;20140415
3497;heinens.com;745;380;155602;90;828;380;745;793;20140315
3423;heinens.com;7;5;154229;98;267;5;7;10;20140215
3457;heinens.com;12;21;154165;108;342;21;12;14;20140115
3549;heinens.com;80;144;150359;99;372;144;80;92;20131215
3368;heinens.com;496;413;140922;97;245;413;496;688;20131115
5956;heinens.com;0;0;68359;101;783;0;0;0;20131015
5958;heinens.com;0;0;68543;98;781;0;0;0;20130915
6010;heinens.com;0;0;68334;86;987;0;0;0;20130815
6084;heinens.com;0;0;67394;163;850;0;0;0;20130715
5831;heinens.com;0;0;65739;114;640;0;0;0;20130615
5787;heinens.com;0;0;67784;131;2708;0;0;0;20130515
8535;heinens.com;0;0;52905;187;4417;0;0;0;20130415
9496;heinens.com;0;0;49289;203;4915;0;0;0;20130315
10020;heinens.com;0;0;47976;304;5763;0;0;0;20130215
9502;heinens.com;0;0;51463;264;4167;0;0;0;20130115
8135;heinens.com;0;0;59213;288;3313;0;0;0;20121215
8110;heinens.com;0;0;59927;277;3423;0;0;0;20121115
8112;heinens.com;0;0;60072;261;3401;0;0;0;20121015
7937;heinens.com;0;0;63257;236;3018;0;0;0;20120915
7920;heinens.com;0;0;63667;249;3122;0;0;0;20120815
9709;heinens.com;0;0;56005;297;3037;0;0;0;20120715
9241;heinens.com;0;0;59031;283;2963;0;0;0;20120615
9851;heinens.com;0;0;58682;193;2106;0;0;0;20120515
8088;heinens.com;0;0;70592;193;1999;0;0;0;20120415
5307;heinens.com;0;0;107399;84;603;0;0;0;20120315
5280;heinens.com;0;0;109595;83;560;0;0;0;20120215
5286;heinens.com;0;0;109646;81;568;0;0;0;20120115
