Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
2160;heritagefoods.in;0;0;591407;4162;226;0;0;0;20210615
2633;heritagefoods.in;0;0;508612;3293;963;0;0;0;20210515
1664;heritagefoods.in;0;0;700835;2932;237;0;0;0;20210415
1816;heritagefoods.in;0;0;646180;2945;203;0;0;0;20210315
1767;heritagefoods.in;0;0;664465;3344;155;0;0;0;20210215
1752;heritagefoods.in;0;0;664114;3072;132;0;0;0;20210115
1629;heritagefoods.in;0;0;692630;1966;248;0;0;0;20201215
1556;heritagefoods.in;0;0;706127;1107;245;0;0;0;20201115
1792;heritagefoods.in;0;0;631289;2761;119;0;0;0;20201015
1556;heritagefoods.in;0;0;690791;3455;119;0;0;0;20200915
1433;heritagefoods.in;0;0;726241;3537;25;0;0;0;20200815
1382;heritagefoods.in;1;1;727603;2224;60;1;1;0;20200715
1410;heritagefoods.in;0;0;715875;2448;32;0;0;0;20200615
1371;heritagefoods.in;1;1;722853;3202;38;1;1;0;20200515
1339;heritagefoods.in;1;2;725133;2767;31;2;1;0;20200415
1263;heritagefoods.in;0;1;756350;2113;27;1;0;0;20200315
1035;heritagefoods.in;2;1;856386;2007;16;1;2;0;20200215
920;heritagefoods.in;0;0;922421;2939;8;0;0;0;20200115
925;heritagefoods.in;0;0;910721;3495;12;0;0;0;20191215
1032;heritagefoods.in;0;0;803783;2059;70;0;0;0;20191115
977;heritagefoods.in;0;0;818415;1964;70;0;0;0;20191015
914;heritagefoods.in;0;0;844297;1465;106;0;0;0;20190915
840;heritagefoods.in;0;0;892328;1795;100;0;0;0;20190815
789;heritagefoods.in;0;0;947794;1765;106;0;0;0;20190715
781;heritagefoods.in;0;0;946071;1693;106;0;0;0;20190615
396;heritagefoods.in;0;0;1278077;621;30;0;0;0;20190515
431;heritagefoods.in;0;0;1210358;789;28;0;0;0;20190415
512;heritagefoods.in;0;0;1097359;1138;46;0;0;0;20190315
771;heritagefoods.in;0;0;839534;990;196;0;0;0;20190215
716;heritagefoods.in;0;0;889697;1095;175;0;0;0;20190115
742;heritagefoods.in;0;0;869855;1179;184;0;0;0;20181215
852;heritagefoods.in;0;0;795932;985;221;0;0;0;20181115
896;heritagefoods.in;0;0;776696;1255;181;0;0;0;20181015
794;heritagefoods.in;0;0;847215;1411;226;0;0;0;20180915
778;heritagefoods.in;0;0;868646;1495;232;0;0;0;20180815
795;heritagefoods.in;0;0;871736;1036;292;0;0;0;20180715
691;heritagefoods.in;0;0;951745;1148;237;0;0;0;20180615
682;heritagefoods.in;0;0;957756;1060;279;0;0;0;20180515
