Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
191838;thehersheycompany.com;0;0;15491;25550;80931;0;0;0;20210615
207490;thehersheycompany.com;0;0;14394;24111;88218;0;0;0;20210515
204904;thehersheycompany.com;0;0;14390;24097;107033;0;0;0;20210415
200961;thehersheycompany.com;0;0;14295;24557;239347;0;0;0;20210315
55963;thehersheycompany.com;0;0;42542;23685;42696;0;0;0;20210215
56310;thehersheycompany.com;0;0;42053;23725;43207;0;0;0;20210115
61010;thehersheycompany.com;0;0;38939;23880;44820;0;0;0;20201215
57472;thehersheycompany.com;603;96;40805;20269;40128;96;603;1763;20201115
51564;thehersheycompany.com;471;103;44240;21331;27676;103;471;1015;20201015
48512;thehersheycompany.com;1001;245;45891;21825;39838;245;1001;3065;20200915
105719;thehersheycompany.com;0;0;23875;23560;90044;0;0;0;20200815
58112;thehersheycompany.com;0;0;38609;22188;46724;0;0;0;20200715
57416;thehersheycompany.com;0;0;38988;22843;48129;0;0;0;20200615
59019;thehersheycompany.com;0;0;37995;23579;46883;0;0;0;20200515
55522;thehersheycompany.com;0;0;40191;21964;41755;0;0;0;20200415
66511;thehersheycompany.com;164;74;34478;21617;45028;74;164;276;20200315
65098;thehersheycompany.com;768;65;34933;21697;108095;65;768;3821;20200215
64815;thehersheycompany.com;452;10;34367;23082;38958;10;452;2909;20200115
65704;thehersheycompany.com;0;0;33980;23053;41080;0;0;0;20191215
60535;thehersheycompany.com;0;0;35494;22651;47556;0;0;0;20191115
59345;thehersheycompany.com;0;0;35041;23478;46424;0;0;0;20191015
87653;thehersheycompany.com;0;0;24980;23604;63103;0;0;0;20190915
58576;thehersheycompany.com;0;0;35024;23408;48549;0;0;0;20190815
59627;thehersheycompany.com;0;13;34664;22468;45438;13;0;0;20190715
56916;thehersheycompany.com;852;89;35861;21481;45144;89;852;337;20190615
49759;thehersheycompany.com;406;15;36462;17427;60368;15;406;87;20190515
45974;thehersheycompany.com;2;2;38924;16117;54090;2;2;0;20190415
70574;thehersheycompany.com;269;38;27240;16253;73133;38;269;333;20190315
44776;thehersheycompany.com;533;17;39514;16300;48640;17;533;1119;20190215
38983;thehersheycompany.com;0;0;44121;16379;44283;0;0;0;20190115
46939;thehersheycompany.com;0;0;37865;16949;49443;0;0;0;20181215
100048;thehersheycompany.com;0;0;20063;19401;93632;0;0;0;20181115
98581;thehersheycompany.com;0;0;20231;20150;91917;0;0;0;20181015
73517;thehersheycompany.com;0;0;24700;22069;69718;0;0;0;20180915
68922;thehersheycompany.com;0;0;26969;21846;66071;0;0;0;20180815
98135;thehersheycompany.com;0;0;19781;19541;90037;0;0;0;20180715
66647;thehersheycompany.com;0;0;27692;19409;66386;0;0;0;20180615
67853;thehersheycompany.com;0;0;27132;18180;67553;0;0;0;20180515
68523;thehersheycompany.com;0;0;26803;16440;71408;0;0;0;20180415
56971;thehersheycompany.com;0;0;31329;15802;65115;0;0;0;20180315
71360;thehersheycompany.com;0;0;26979;18634;73766;0;0;0;20180215
93172;thehersheycompany.com;0;0;20606;21421;80240;0;0;0;20180115
103303;thehersheycompany.com;0;0;16323;23715;92694;0;0;0;20171215
133913;thehersheycompany.com;0;0;13169;30821;110171;0;0;0;20171115
136649;thehersheycompany.com;0;0;13067;32374;110444;0;0;0;20171015
145595;thehersheycompany.com;0;0;12451;30458;114988;0;0;0;20170915
144612;thehersheycompany.com;0;0;12613;32689;114256;0;0;0;20170815
131441;thehersheycompany.com;0;0;11388;32726;99582;0;0;0;20170715
155122;thehersheycompany.com;0;0;11999;32242;125617;0;0;0;20170615
163111;thehersheycompany.com;0;0;12124;32679;131893;0;0;0;20170515
189243;thehersheycompany.com;2;2;11304;33131;162356;2;2;0;20170415
151194;thehersheycompany.com;0;0;12243;31938;121957;0;0;0;20170315
136491;thehersheycompany.com;0;0;13348;27784;114309;0;0;0;20170215
134629;thehersheycompany.com;0;0;13563;24106;104251;0;0;0;20170115
136291;thehersheycompany.com;0;0;13123;21623;110510;0;0;0;20161215
100755;thehersheycompany.com;0;0;13928;16655;71881;0;0;0;20161115
107694;thehersheycompany.com;0;0;13230;17011;82870;0;0;0;20161015
101091;thehersheycompany.com;0;0;14058;16673;81989;0;0;0;20160915
101725;thehersheycompany.com;0;0;13949;18103;82301;0;0;0;20160815
102180;thehersheycompany.com;0;0;13965;18511;82742;0;0;0;20160715
101776;thehersheycompany.com;0;0;13995;20358;82130;0;0;0;20160615
100068;thehersheycompany.com;0;0;14217;22465;82902;0;0;0;20160515
136171;thehersheycompany.com;0;0;10685;26223;134090;0;0;0;20160415
142200;thehersheycompany.com;0;0;9948;25198;148541;0;0;0;20160315
138818;thehersheycompany.com;0;0;10094;25097;149226;0;0;0;20160215
137224;thehersheycompany.com;0;0;10166;25341;141057;0;0;0;20160115
142037;thehersheycompany.com;0;0;9869;28237;133177;0;0;0;20151215
142717;thehersheycompany.com;0;0;9986;28425;120845;0;0;0;20151115
129997;thehersheycompany.com;0;0;10268;29472;113827;0;0;0;20151015
122906;thehersheycompany.com;0;0;10342;5356;103276;0;0;0;20150915
109665;thehersheycompany.com;0;0;11385;5454;92901;0;0;0;20150815
122891;thehersheycompany.com;0;0;10108;5413;88348;0;0;0;20150715
122037;thehersheycompany.com;0;0;9962;5325;78183;0;0;0;20150615
115656;thehersheycompany.com;0;0;9751;5092;82885;0;0;0;20150515
114103;thehersheycompany.com;0;0;9648;5307;97159;0;0;0;20150415
111587;thehersheycompany.com;0;0;9639;5674;109039;0;0;0;20150315
118337;thehersheycompany.com;0;0;9171;6076;127805;0;0;0;20150215
114283;thehersheycompany.com;0;0;9463;5692;116749;0;0;0;20150115
112350;thehersheycompany.com;0;0;9466;5509;111010;0;0;0;20141215
123148;thehersheycompany.com;0;0;9745;5773;113296;0;0;0;20141115
122663;thehersheycompany.com;0;0;9550;5558;124566;0;0;0;20141015
107564;thehersheycompany.com;0;0;10740;5260;108196;0;0;0;20140915
101189;thehersheycompany.com;0;0;11342;5192;107993;0;0;0;20140815
86911;thehersheycompany.com;0;0;11694;5605;78939;0;0;0;20140715
90730;thehersheycompany.com;0;0;11117;5540;118469;0;0;0;20140615
88881;thehersheycompany.com;0;0;11173;6187;75630;0;0;0;20140515
84481;thehersheycompany.com;0;0;11769;5914;65785;0;0;0;20140415
88814;thehersheycompany.com;0;0;11214;6017;74567;0;0;0;20140315
79424;thehersheycompany.com;0;0;11972;5634;58999;0;0;0;20140215
81019;thehersheycompany.com;0;0;11774;5848;59200;0;0;0;20140115
82801;thehersheycompany.com;0;0;11572;5748;62715;0;0;0;20131215
71322;thehersheycompany.com;0;0;11766;5670;61234;0;0;0;20131115
52422;thehersheycompany.com;0;0;11032;5931;60819;0;0;0;20131015
52693;thehersheycompany.com;0;0;10978;5899;62857;0;0;0;20130915
50295;thehersheycompany.com;0;0;11346;5986;60790;0;0;0;20130815
48335;thehersheycompany.com;0;0;11718;5811;60001;0;0;0;20130715
38440;thehersheycompany.com;0;0;13307;4892;49410;0;0;0;20130615
46267;thehersheycompany.com;0;0;11514;4998;53510;0;0;0;20130515
49247;thehersheycompany.com;0;0;11763;5169;55359;0;0;0;20130415
49078;thehersheycompany.com;0;0;11924;5510;54642;0;0;0;20130315
53744;thehersheycompany.com;0;0;11068;5690;57167;0;0;0;20130215
48334;thehersheycompany.com;0;0;12525;6062;47821;0;0;0;20130115
49988;thehersheycompany.com;0;0;12250;5550;55604;0;0;0;20121215
55679;thehersheycompany.com;0;0;11122;5568;54718;0;0;0;20121115
54443;thehersheycompany.com;0;9;11359;5570;57197;9;0;0;20121015
53443;thehersheycompany.com;0;0;11841;5384;57164;0;0;0;20120915
57256;thehersheycompany.com;0;0;11201;5598;80354;0;0;0;20120815
58991;thehersheycompany.com;0;0;11367;5430;87856;0;0;0;20120715
51753;thehersheycompany.com;0;0;12969;4805;84677;0;0;0;20120615
40395;thehersheycompany.com;0;0;17031;3702;68455;0;0;0;20120515
49172;thehersheycompany.com;0;0;14198;3897;53044;0;0;0;20120415
51791;thehersheycompany.com;0;0;14020;3899;48200;0;0;0;20120315
44964;thehersheycompany.com;0;0;16371;3804;43246;0;0;0;20120215
54164;thehersheycompany.com;0;0;13865;4464;47751;0;0;0;20120115
